KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
1669.01|5183357|12.744|175.1800272|0.0047496|61.037011679|0.000336645|26.570396|13.11384|0.022549|0.001559|+0.000018|-0.003100|2.50|0.71|+1.19|-0.23|0.8897|0.3098|+0.0048|-0.6147|88.24|8.85086|0.12312|6372|186|158|-214|4.453|0.182|0.048|-0.316|1.066|0.1685|0.210|-0.127|1.015|0.288|0.482|-0.094|0|0|0.3101|509|446.0|13.1|39.0|19.37790|40.39772|0.2969|0.3084|0|0|0.09525|+0.65815|-0.00714|15.81|22.11|-4.46
1670.01|5184709|13.170|141.0752706|0.0022920|10.579068084|0.000027436|11.930397|5.96088|0.027388|0.005123|+0.001453|-0.008793|3.08|0.85|+1.45|-0.26|0.9849|0.3270|+0.0000|-0.6540|85.37|1.98727|0.15624|6258|206.5|194|-219|4.449|0.1715|0.044|-0.299|1.087|0.1735|0.232|-0.115|1.031|0.286|0.485|-0.088|0|0|0.0971|899|388.3|17.5|22.0|19.40800|40.33399|0.3166|0.3029|0|0|0.28703|+16.63569|-0.04827|154.75|223.30|-42.48
1671.01|5195172|12.134|134.3738876|0.0035498|1.480280588|0.000006628|4.689999|0.69575|0.007131|0.000278|+0.000373|-0.000182|0.98|0.16|+0.17|-0.14|0.1270|0.2354|+0.3440|-0.1269|88.24|2.42852|0.12306|5897|116.5|111|-122|4.250|0.1215|0.131|-0.112|1.026|0.0795|0.088|-0.071|1.259|0.198|0.212|-0.184|0|0|0.0257|1821|61.0|3.4|21.6|19.60754|40.36297|0.3756|0.2790|0|0|0.89061|+0.13212|-0.35322|2597.27|1222.93|-855.60
1672.01|5269467|13.339|137.5135619|0.0042831|33.867853104|0.000170405|54.339988|24.77265|0.030005|0.005423|+0.008351|-0.002495|2.26|0.18|+0.17|-0.20|0.6804|0.2650|+0.0211|-0.5088|89.38|3.68213|0.12845|4564|132.5|141|-124|4.593|0.036|0.044|-0.028|0.683|0.063|0.069|-0.057|0.691|0.056|0.052|-0.061|0|0|0.1805|394|958.5|46.7|24.0|19.34044|40.49066|0.6481|0.0927|0|0|2.64631|+3.61922|-2.26275|5.69|1.74|-1.45
1673.01|5271608|13.798|133.4416111|0.0036658|2.490473889|0.000009745|9.152869|1.54898|0.015070|0.000530|+0.000763|-0.000296|1.64|0.42|+0.64|-0.19|0.1391|0.2282|+0.3173|-0.1391|89.38|2.09457|0.08528|6067|197|182|-212|4.433|0.172|0.071|-0.273|0.981|0.1275|0.139|-0.116|0.997|0.251|0.387|-0.115|0|0|0.0358|1412|268.8|14.4|23.4|19.38225|40.43116|0.3352|0.2952|0|0|2.33865|+0.39578|-0.80435|940.43|1099.22|-302.04
1674.01|5357470|13.320|133.0030565|0.0012224|2.172587352|0.000008142|2.879728|1.17343|0.861281|0.367400|+0.138705|-0.596096|91.32|28.31|+38.38|-18.24|1.8484|0.3571|+0.1389|-0.5753|49.85|1.64419|0.09924|6038|180|197|-163|4.340|0.2385|0.204|-0.273|0.753|0.07|0.106|-0.034|0.971|0.301|0.408|-0.194|0|0|0.0299|1518|314.2|15.0|35.0|19.34961|40.55927|0.3176|0.2974|0|0|0.09571|+0.11700|-0.03173|1254.52|1622.48|-534.51
1675.01|5360920|14.070|144.4531957|0.0021962|14.624046134|0.000038277|16.236978|5.61744|0.174312|0.302030|+0.487201|-0.116860|15.70|3.42|+5.56|-1.29|1.1305|0.3155|+0.4946|-0.1365|85.94|2.19304|0.13078|5771|158.5|156|-161|4.562|0.1395|0.033|-0.246|0.905|0.097|0.093|-0.101|0.825|0.180|0.292|-0.068|0|0|0.1133|687|1207.4|59.1|26.3|19.42248|40.55820|0.3711|0.2796|0|0|0.37865|+0.13100|-0.07175|52.63|54.72|-13.06
1676.01|5443775|11.558|131.5674827|0.0009367|3.307669557|0.000003631|12.458773|6.00499|0.015301|0.001141|+0.001764|-0.000519|1.79|0.50|+0.80|-0.20|0.5967|0.2679|+0.1506|-0.3852|87.09|1.66923|0.03272|6063|168|146|-190|4.396|0.1835|0.077|-0.29|1.036|0.162|0.206|-0.118|1.070|0.302|0.483|-0.121|0|0|0.0440|1319|256.2|4.6|72.0|19.35574|40.65306|0.3457|0.2929|0|0|3.34379|+3.22334|-0.27032|715.19|941.85|-219.88
1677.01|5526717|12.686|178.1560518|0.0027887|52.068860137|0.000190259|131.969641|18.50948|0.020800|0.000710|+0.000788|-0.000633|1.82|0.39|+0.65|-0.13|0.1498|0.2263|+0.3028|-0.1497|89.95|3.04355|0.09102|5693|149.5|162|-137|4.574|0.1315|0.029|-0.234|0.880|0.093|0.101|-0.085|0.802|0.172|0.287|-0.057|0|0|0.2616|440|521.3|22.5|24.9|19.31196|40.70046|0.3857|0.2715|0|0|16.03701|+2.24928|-5.12145|8.84|9.39|-1.92
1678.01|5527172|11.175|132.8653990|0.0000928|3.183961138|0.000000347|6.485795|0.05338|0.194108|0.000259|+0.000300|-0.000219|17.51|4.74|+8.07|-1.40|0.6703|0.0031|+0.0034|-0.0028|84.22|3.74088|0.00703|5889|184|188|-180|4.562|0.1735|0.032|-0.315|0.906|0.1035|0.110|-0.097|0.826|0.224|0.381|-0.066|0|0|0.0410|1166|39528.5|50.0|1094.7|19.32120|40.72392|0.3375|0.2951|0|0|0.50911|+0.00419|-0.00715|436.88|620.94|-110.21
1679.01|5529643|14.307|131.7915020|0.0020972|0.759765589|0.000001794|1.148910|0.39599|0.133037|0.160457|+0.307617|-0.013297|14.72|3.48|+5.60|-1.37|1.1061|0.1681|+0.3220|-0.0143|15.47|5.28909|0.13090|6163|193|168|-218|4.461|0.1575|0.047|-0.268|1.079|0.1615|0.192|-0.131|1.013|0.240|0.386|-0.094|0|0|0.0167|2117|514.9|10.0|68.7|19.36740|40.70857|0.3313|0.2998|0|0|0.04970|+0.05139|-0.00175|4750.75|5339.45|-1365.32
1680.01|5530882|12.775|132.9511116|0.0074681|5.082541992|0.000049872|13.483247|2.51313|0.008779|0.000491|+0.000496|-0.000486|0.80|0.20|+0.34|-0.06|0.2479|0.2319|+0.2159|-0.2479|88.81|2.81885|0.28921|5709|152.5|159|-146|4.557|0.1605|0.029|-0.292|0.920|0.0945|0.098|-0.091|0.837|0.210|0.356|-0.064|0|0|0.0563|971|92.2|8.3|13.8|19.39488|40.77103|0.3945|0.2665|0|0|1.79506|+0.33458|-1.06475|210.13|266.34|-48.55
