koi,koi,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands
K00049.01,K00049.01,0.026,44.0,0.5,6.11e-12,7.26e-14,2.83e-08,1.65e-12,1.88e-64,6.66e-66,4.11e-17,1.47e-20,6.58e-08,8.34e-11,8.23e-17,8.6e-20,0.0,0.0,0.0,0.0,10.8,1.0,10.8,0.205,8.51e-11,9527334.0,8.313783059,,CANDIDATE,1.0,1.0,False,False,False,False,93.3027,,False,1.0
K00051.01,K00051.01,0.462,280.0,0.66,1.02e-08,2.12e-09,0.00897,6.92e-05,0.557,0.812,3.32e-08,4.23e-09,0.123,0.024,0.000592,7.23e-05,0.0,0.0,0.0,0.0,8.57,0.164,9.26,0.001,0.836,6056992.0,10.43114796,,CANDIDATE,1.0,0.43,False,False,False,False,504.92395,,False,1.0
K00052.01,K00052.01,0.199,1555.0,0.5,0.17,0.0119,0.0576,8.78e-05,0.343,0.126,1.28e-08,1.54e-10,0.00167,5.17e-05,8.16e-18,1.36e-19,0.0,0.0,0.0,0.0,13.5,0.862,14.07,0.01,0.138,3558981.0,2.987862296,,FALSE POSITIVE,1.0,1.0,False,True,False,False,2589.5552,,False,1.0
K00053.01,K00053.01,0.098,896.0,0.5,0.524,0.313,0.217,0.00308,0.0759,0.0858,1.67e-09,1.32e-10,0.0334,0.00227,7.3e-24,3.5e-25,0.0,0.0,0.0,0.0,0.898,0.596,1.748,0.029,0.404,2445975.0,3.388886432,,FALSE POSITIVE,0.25,0.76,False,False,True,False,408.14505,,False,1.0
K00061.01,K00061.01,0.209,20.0,0.5,6.51e-18,1.24e-15,0.000107,0.00214,1.28e-10,7.65e-08,0.00213,0.284,4.74e-11,8.42e-09,0.00589,0.714,0.0,0.0,0.0,0.0,3.62e-22,2.86e-20,0.008127,0.001,1.0,8248939.0,1.633460327,,FALSE POSITIVE,1.4e-101,1.0,False,False,True,False,101.367065,,False,1.0
K00063.01,K00063.01,0.059,38.0,0.5,0.00298,0.000266,0.00225,6.66e-07,0.0123,0.00409,5.97e-07,1.45e-09,0.000364,2.2e-06,1.16e-20,3.77e-23,0.0,0.0,0.0,0.0,7.59,0.996,7.608,0.051,0.00435,11554435.0,9.434151089,,CONFIRMED,1.0,1.0,False,False,False,False,689.7444,,False,1.0
K00064.01,K00064.01,0.039,70.0,0.5,0.0773,0.00211,0.471,0.000227,5.37,0.294,2.39,0.0187,0.187,0.00171,2.66e-06,1.22e-08,0.0,0.0,0.0,0.0,2.32,0.683,10.82,0.066,0.317,7051180.0,1.95108234,,CANDIDATE,1.0,1.0,False,True,False,False,266.94406,,False,1.0
K00066.01,K00066.01,0.291,590.0,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.64,True,True,True,True,,AllWithinRocheError,False,
K00068.01,K00068.01,0.231,416.0,0.5,2.94,0.0957,2.49,0.00392,5.8,0.823,3.94,0.0629,0.87,0.00654,0.176,0.000719,0.0,0.0,0.0,0.0,0.981,0.00719,17.2,0.001,0.993,,,,,0.043,0.56,True,True,True,True,,,False,
K00069.01,K00069.01,0.016,6.0,3.6,1.17e-11,6.97e-14,0.000345,1.63e-08,1.77e-19,3.71e-21,2.6e-05,6.04e-09,0.000906,0.000128,8.33e-16,1.12e-16,0.0,0.0,0.0,0.0,11.7,1.0,11.7,0.159,0.000128,3544595.0,4.726739475,,CONFIRMED,,0.0,False,False,False,False,248.16423,,False,1.0
