koi,koi.1,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands,FPP_max,FPP_std,kepnum
K00240.01,K00240.01,0.036,118.0,0.5,1.18730589e-29,5.60852837e-31,1.4552e-09,3.8629e-12,1.47900001621e-08,3.50200003788e-09,5.4757e-18,8.392e-20,4.56000000734e-14,3.22100000488e-16,1.19180000001e-21,6.64000000004e-24,0.0,0.0,0.0,0.0,2.931,1.0,2.94,0.062,3.505075e-09,8026752,4.28686431,4.77358247112,CANDIDATE,1.0,1.0,False,False,False,False,52.45479,,False,1,1.34e-08,4.09454529413e-09,Kepler-502 b
K00242.01,K00242.01,0.057,89.0,0.5,5.975989e-53,1.83017153e-53,4.321e-15,2.6502e-17,2.4464e-28,3.96e-28,4.227378043e-27,1.505468392e-28,1.320000636e-17,8.70464766e-19,9.20700012571e-40,4.42500005391e-41,0.0,0.0,0.0,0.0,1.0918,1.0,1.08,0.051,2.22e-17,3642741,7.258447213,6.26532699334,CANDIDATE,1.0,1.0,False,False,False,False,299.5617,,False,1,2.22e-16,7.02025640557e-17,Kepler-503 b
K00249.01,K00249.01,0.045,96.0,0.5,3.04427e-16,2.38191e-18,1.9983e-05,3.0464e-09,1.07852e-20,2.41096e-22,8.3224e-09,4.1972e-12,0.010235,1.048e-05,0.0001195848,6.56754e-08,0.0,0.0,0.0,0.0,26.99,1.0,27.11,0.156,1.0541e-05,9390653,9.549275422,1.59479266356,CANDIDATE,1.0,1.0,False,False,False,False,116.40893,,False,1,1.69e-05,3.43208860932e-06,Kepler-504 b
K00255.01,K00255.01,0.045,166.0,0.5,1.864492e-31,8.53338e-33,5.19657544e-13,2.70829259e-16,2.78281105008e-27,3.56621430011e-28,7.26587e-20,1.028474e-22,0.008377,4.375e-05,6.76400000119e-08,2.37800000045e-10,0.0,0.0,0.0,0.0,4.675,1.0,4.628,0.206,4.375e-05,7021681,27.52197994,2.60073880519,CANDIDATE,1.0,1.0,False,False,False,False,85.13882,,False,2,8.53e-05,2.32562655835e-05,Kepler-505 b
K00257.01,K00257.01,0.021,13.0,2.19,0.0405814,0.000322183,0.000533,4.146e-08,0.241,0.006997,8.71e-05,2.9486e-08,1.0573e-09,1.6315e-11,3.8972523611e-14,4.5365070657e-16,0.0,0.0,0.0,0.0,11.59,0.9926,11.87,0.204,0.007317,5514383,6.8834055,2.7296307661,CANDIDATE,1.0,1.0,False,False,False,False,168.35489,,False,1,0.0124,0.00231200754516,Kepler-506 b
K00265.01,K00265.01,0.009,11.0,0.66,5.85214e-08,6.21474e-10,0.00022056,1.0009e-07,4.3730014e-08,2.901000894e-09,0.00013668,2.909e-07,0.003253,1.389e-05,6.4578e-06,2.3048e-08,0.0,0.0,0.0,0.0,3.964,1.0,3.973,0.134,1.4304e-05,12024120,3.568096926,1.29840658086,CANDIDATE,1.0,1.0,False,False,False,False,44.608185,,False,1,2.77e-05,6.68359550608e-06,Kepler-507 b
K00266.01,K00266.01,0.012,20.0,0.84,8.022e-08,1.7391e-08,1.8839e-05,2.2087e-08,5.2318e-06,5.4391e-06,7.5841855e-12,3.4321774e-14,4.562e-05,3.981e-06,8.81200316e-10,6.77900239e-11,1.8e-06,1.085e-08,0.0,0.0,0.9982,1.0,0.9941,0.172,9.467e-06,7375348,25.30889748,1.63830187879,CANDIDATE,1.0,1.0,False,False,False,False,41.655724,,False,2,1.64e-05,4.31838460024e-06,Kepler-508 b
K00276.01,K00276.01,0.019,26.0,0.5,0.00075093,5.9736e-05,2.6528e-08,7.5261e-12,0.018069,0.004186,6.550007966e-06,1.1670011269e-08,6.802e-09,4.1469e-11,5.5796e-11,2.1637e-13,0.0,0.0,0.0,0.0,2.475,0.9958,2.48,0.211,0.004246,11133306,41.74600392,2.48624087037,CANDIDATE,1.0,1.0,False,False,False,False,93.14925,,False,1,0.00748,0.00172495539395,Kepler-509 b
K00281.01,K00281.01,0.016,15.0,0.72,1.982846e-38,1.706346e-38,3.41593e-12,2.04407e-14,1.54865e-13,5.51707e-13,1.6499e-13,4.015e-15,4.70329e-06,1.094744e-06,4.10763e-14,5.50677e-15,0.0,0.0,0.0,0.0,0.1163,1.0,0.118,0.208,1.094744e-06,4143755,19.55659418,2.46704883558,CANDIDATE,1.0,1.0,False,False,False,False,78.70969,,False,1,3.86e-06,1.28684949436e-06,Kepler-510 b
K00284.04,K00284.04,0.01,66.0,4.2,5.97e-07,3.179e-06,5.23e-07,2.0038e-08,1.2884e-05,0.0003745,1.2911e-09,3.7189e-10,1.437e-05,0.0003806,2.2322e-06,3.4012e-05,0.00444,0.002342,0.0,0.0,0.05258,0.9968,0.05707,0.114,0.003136,6021275,110.2869374,1.18205486995,CANDIDATE,1.0,0.89,False,False,False,False,10.010857,,False,4,0.0036,0.000254698078342,Kepler-132 e
