kepoi_name,kepid,fpp_koi_period,fpp_ror,fpp_prad,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_spec_occrate,fpp_prob,fpp_score,fpp_fail_reason,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_slogg,fpp_slogg_err1,fpp_slogg_err2,fpp_smet,fpp_smet_err1,fpp_smet_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2,fpp_max_av,fpp_pr_steff_mu,fpp_pr_steff_sig,fpp_pr_slogg_mu,fpp_pr_slogg_sig,fpp_pr_smet_mu,fpp_pr_smet_sig
K00070.01,6850504,10.854,0.030,3.04,30,0.50,1.2e-104,4.3e-07,1e-06,2.1e-16,2e-10,8.5e-19,0.192,1.4e-06,1,,5634,71.0,-75.798,4.49,0.037,-0.067,0.03,0.098,-0.1,0.93,0.065,-0.045,0.96,0.034,-0.036,9.57,0.284,-0.342,296,21.557,-15.877,0.16,0.063,-0.066,0.28,5465,109,4.45,0.09,0.02,0.15
K00070.02,6850504,3.696,0.018,1.82,17,0.50,1.2e-105,2.4e-13,6.9e-07,3.5e-36,2.5e-08,6.3e-19,0.180,7.1e-07,1,,5634,75.947,-75.798,4.49,0.038,-0.064,0.02,0.101,-0.097,0.93,0.066,-0.046,0.96,0.035,-0.036,9.58,0.274,-0.34,296,21.449,-15.953,0.16,0.063,-0.069,0.28,5465,109,4.45,0.09,0.02,0.15
K00070.03,6850504,77.612,0.026,2.63,78,0.50,5.8e-21,2.7e-05,8.7e-09,6.2e-27,8.5e-15,6.8e-13,0.205,2.7e-05,1,,5633,73.658,-74.977,4.49,0.039,-0.066,0.02,0.106,-0.095,0.93,0.065,-0.047,0.96,0.033,-0.037,9.58,0.276,-0.347,297,21.315,-16.087,0.16,0.065,-0.066,0.28,5465,109,4.45,0.09,0.02,0.15
K00070.04,6850504,6.099,0.008,0.81,25,0.90,2.8e-72,3e-20,6.9e-05,1.8e-18,1.3e-07,1e-06,0.062,7e-05,1,,5633,74.685,-74.036,4.49,0.037,-0.066,0.03,0.102,-0.103,0.93,0.065,-0.046,0.96,0.034,-0.035,9.57,0.275,-0.351,296,21.202,-15.733,0.16,0.064,-0.066,0.28,5465,109,4.45,0.09,0.02,0.15
K00070.05,6850504,19.578,0.009,0.91,42,2.04,1.3e-25,8.7e-08,0.0057,4e-10,1.2e-05,0.00016,0.075,0.0059,1,,5634,72.697,-76.409,4.49,0.04,-0.066,0.02,0.098,-0.095,0.93,0.066,-0.047,0.96,0.035,-0.037,9.58,0.276,-0.356,296,21.746,-16.007,0.16,0.065,-0.071,0.28,5465,109,4.45,0.09,0.02,0.15
K00072.01,11904151,0.837,0.013,1.54,9,1.05,1e-45,6.6e-24,0.00011,0,1.7e-08,3e-22,0.145,0.00011,1,,5795,54.994,-51.349,4.36,0.03,-0.029,-0.04,0.096,-0.122,1.09,0.045,-0.043,0.98,0.036,-0.045,9.86,0.059,-0.078,190,8.504,-8.224,0.05,0.046,-0.035,0.14,5676,85,4.35,0.03,-0.12,0.15
K00072.02,11904151,45.294,0.020,2.37,29,1.83,3.6e-23,3.5e-05,1.2e-07,1.2e-16,4.3e-17,7.6e-24,0.214,3.5e-05,1,,5794,54.278,-53.42,4.35,0.029,-0.028,-0.04,0.099,-0.116,1.09,0.046,-0.042,0.98,0.036,-0.047,9.86,0.063,-0.077,190,8.445,-7.977,0.05,0.046,-0.036,0.14,5676,85,4.35,0.03,-0.12,0.15
K00074.01,6889235,5.189,0.025,3.89,25,1.95,0,6.3e-13,1.4e-21,0,0.0028,2.4e-26,0.122,0.0039,1,,9667,300.781,-383.153,4.32,0.059,-0.04,-1.01,0.117,-0.131,1.43,0.078,-0.14,1.56,0.04,-0.117,9.01,0.03,-0.009,555,30.508,-62.187,0.17,0.06,-0.077,0.79,nan,nan,nan,nan,nan,nan
K00075.01,7199397,105.882,0.037,8.42,47,2.37,4.7e-17,4.1e-66,5.1e-62,2.2e-25,1.9e-69,4.2e-83,0.058,0.00011,1,,6039,70.82,-69.037,3.92,0.046,-0.053,0.03,0.074,-0.03,2.09,0.183,-0.153,1.31,0.134,-0.061,9.59,0.066,-0.107,349,31.565,-25.906,0.15,0.056,-0.056,0.29,5903,79,3.76,0.08,-0.14,0.15
K00076.01,9955262,77.480,0.033,6.32,397,1.77,5.8e-16,4.4e-05,6.3e-76,3.3e-23,4.7e-23,1.5e-64,0.051,4.4e-05,1,,7066,140.154,-169.216,4.13,0.104,-0.126,-0.04,0.162,-0.15,1.76,0.354,-0.266,1.50,0.159,-0.123,9.14,0.091,-0.067,286,58.547,-43.523,0.22,0.067,-0.093,0.32,nan,nan,nan,nan,nan,nan
K00080.01,9552608,9.251,0.267,46.21,95,0.50,2.4e-06,0.96,0.029,2.2e-07,0.0057,0.00043,0.001,1,1,,8512,293.979,-292.948,4.22,0.067,-0.074,-0.55,0.101,-0.129,1.59,0.183,-0.166,1.54,0.087,-0.106,9.05,0.058,-0.032,545,64.979,-61.038,0.46,0.092,-0.102,1.16,nan,nan,nan,nan,nan,nan
