kepoi_name,kepid,fpp_koi_period,fpp_ror,fpp_prad,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_spec_occrate,fpp_prob,fpp_score,fpp_fail_reason,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_slogg,fpp_slogg_err1,fpp_slogg_err2,fpp_smet,fpp_smet_err1,fpp_smet_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2,fpp_max_av,fpp_pr_steff_mu,fpp_pr_steff_sig,fpp_pr_slogg_mu,fpp_pr_slogg_sig,fpp_pr_smet_mu,fpp_pr_smet_sig
K03231.01,10489539,19.764,0.007,1.00,76,0.69,8.8e-127,5.9e-61,0.00028,2.4e-23,4.2e-15,1.7e-06,0.093,0.007,0.99,,6371,103.051,-142.46,4.26,0.125,-0.135,-0.16,0.192,-0.222,1.31,0.26,-0.21,1.14,0.13,-0.103,9.47,0.184,-0.191,407,80.881,-68.506,0.44,0.051,-0.089,0.51,nan,nan,nan,nan,nan,nan
K03232.01,9569711,6.059,0.012,1.29,23,0.75,2.7e-07,0.47,0.001,5.6e-06,0.012,8e-05,0.119,0.49,1,,5838,53.109,-57.519,4.47,0.026,-0.036,0.04,0.1,-0.104,0.99,0.043,-0.039,1.03,0.03,-0.035,9.37,0.219,-0.205,312,14.373,-13.44,0.10,0.028,-0.044,0.14,5734,104,4.46,0.05,0.04,0.15
K03234.01,10057494,2.418,0.006,0.79,11,0.93,1.5e-181,3e-14,0.3,1e-27,0.0095,0.034,0.059,1,0.35,,6371,68.739,-78.031,4.35,0.038,-0.046,-0.07,0.119,-0.103,1.21,0.083,-0.072,1.18,0.053,-0.055,9.27,0.154,-0.127,451,33.501,-28.988,0.15,0.035,-0.051,0.20,6258,112,4.31,0.08,0.00,0.15
K03236.01,7902003,7.130,0.005,0.74,16,3.30,6.2e-47,8e-06,0.042,1.1e-08,0.00052,0.047,0.047,0.09,1,,6474,98.099,-95.816,4.28,0.055,-0.065,0.02,0.108,-0.115,1.35,0.133,-0.114,1.27,0.064,-0.071,9.27,0.121,-0.127,506,51.587,-44.154,0.25,0.07,-0.071,0.59,6312,114,3.96,0.20,0.10,0.15
K03237.01,6587796,33.420,0.021,2.36,102,0.75,9.6e-66,0.029,0.046,3.8e-11,0.018,4.6e-08,0.212,0.094,1,,5876,69.585,-74.897,4.43,0.042,-0.071,0.04,0.102,-0.096,1.03,0.087,-0.057,1.04,0.038,-0.039,9.50,0.231,-0.283,332,28.582,-19.832,0.17,0.056,-0.063,0.26,5731,104,4.37,0.10,0.08,0.15
K03238.01,9489953,58.345,0.285,47.11,482,0.84,2.1e-63,6.2e-21,0.97,2e-12,1.7e-06,0.029,0.001,1,1,,6398,287.848,-236.608,4.18,0.172,-0.227,0.06,0.129,-0.128,1.52,0.677,-0.337,1.30,0.281,-0.156,9.35,0.161,-0.167,496,227.121,-112.777,0.54,0.195,-0.151,1.23,nan,nan,nan,nan,nan,nan
K03239.01,5305240,1.071,0.006,0.81,9,0.50,1.9e-06,0.00049,0.066,0.00069,0.0055,0.022,0.093,0.095,1,,6078,231.569,-199.508,4.30,0.144,-0.261,0.05,0.131,-0.138,1.23,0.62,-0.217,1.13,0.242,-0.108,9.49,0.19,-0.209,383,196.544,-69.796,0.44,0.165,-0.143,0.76,nan,nan,nan,nan,nan,nan
K03240.01,6206559,1.245,0.006,0.73,15,0.93,3.3e-21,4.6e-36,7e-26,9e-10,6.6e-10,0.76,0.045,1,0.76,,5956,90.381,-102.121,4.38,0.073,-0.126,0.09,0.147,-0.148,1.11,0.188,-0.107,1.09,0.069,-0.062,9.53,0.203,-0.314,312,53.071,-32.253,0.30,0.044,-0.081,0.36,nan,nan,nan,nan,nan,nan
K03241.01,9532117,8.214,0.008,1.19,59,2.07,2e-32,8.7e-06,0.13,1.1e-07,0.0078,0.14,0.116,0.28,1,,6615,100.219,-128.738,4.28,0.067,-0.066,-0.07,0.186,-0.182,1.36,0.141,-0.149,1.27,0.096,-0.099,9.24,0.13,-0.116,511,54.959,-57.466,0.39,0.042,-0.074,0.45,nan,nan,nan,nan,nan,nan
K03242.01,6928906,1.549,0.004,0.55,13,4.00,0,2.1e-140,0,0,1.8e-50,0,0.013,1,0.00039,,7644,100.455,-109.267,4.34,0.052,-0.06,-0.68,0.226,-0.166,1.25,0.147,-0.098,1.25,0.091,-0.06,9.12,0.09,-0.057,633,72.524,-49.951,0.26,0.014,-0.031,0.28,nan,nan,nan,nan,nan,nan
K03243.01,9821151,8.429,0.010,1.25,38,1.77,2.5e-32,7.7e-08,0.26,2.2e-09,0.019,0.72,0.115,1,1,,6343,75.53,-79.478,4.37,0.053,-0.051,-0.14,0.176,-0.197,1.15,0.097,-0.101,1.14,0.074,-0.083,9.26,0.185,-0.134,437,39.834,-40.787,0.16,0.018,-0.037,0.18,nan,nan,nan,nan,nan,nan
K03244.01,6850665,214.718,0.113,8.97,711,0.50,8.2e-233,3.8e-148,0.0022,9.9e-76,4.9e-54,0.0035,0.060,1,0.006,,4921,62.445,-67.884,4.60,0.033,-0.041,-0.12,0.162,-0.21,0.73,0.038,-0.054,0.76,0.043,-0.055,9.70,0.348,-0.425,157,8.893,-12.582,0.17,0.071,-0.086,0.29,nan,nan,nan,nan,nan,nan
K03245.01,8073705,10.601,0.008,0.96,20,1.77,2.2e-144,1.8e-12,0.00075,6e-20,8.8e-07,4.7e-05,0.080,0.0008,1,,6214,70.591,-76.064,4.40,0.042,-0.059,-0.12,0.103,-0.107,1.10,0.088,-0.068,1.10,0.048,-0.051,9.33,0.201,-0.18,421,35.576,-27.229,0.12,0.037,-0.055,0.18,6035,120,4.21,0.17,-0.16,0.15
K03246.01,9885417,0.690,0.010,0.81,12,0.50,5.1e-26,3.4e-09,1.3e-19,5.2e-22,1,1.7e-16,0.052,1,1,,4864,44.034,-46.502,4.61,0.007,-0.006,0.06,0.105,-0.103,0.74,0.011,-0.015,0.81,0.018,-0.023,9.29,0.233,-0.145,160,3.461,-3.731,0.14,0.049,-0.062,0.21,4872,97,4.62,0.01,0.10,0.15
K03247.01,3336476,1.891,0.004,0.54,6,1.68,0,3.5e-64,3.3e-83,7.1e-209,5.3e-21,8.3e-64,0.001,0.79,0.21,,8696,147.529,-141.76,4.39,0.034,-0.037,-0.92,0.126,-0.112,1.23,0.072,-0.064,1.35,0.057,-0.046,9.04,0.061,-0.029,763,46.734,-39.817,0.33,0.018,-0.036,0.36,nan,nan,nan,nan,nan,nan
K03248.01,10917433,6.913,0.006,0.65,18,1.47,1.9e-22,5.5e-08,0.015,1.7e-06,0.00072,0.0066,0.017,0.022,1,,5863,61.061,-72.711,4.45,0.042,-0.07,-0.01,0.105,-0.111,1.00,0.082,-0.055,1.02,0.036,-0.042,9.51,0.238,-0.288,336,28.091,-20.127,0.16,0.036,-0.053,0.21,5761,115,4.38,0.10,0.00,0.15
K03249.01,9083564,0.918,0.007,0.91,21,0.81,0,3.4e-183,0,1.1e-128,1.3e-63,2.3e-30,0.084,1,0,,6427,84.401,-104.789,4.35,0.054,-0.062,-0.13,0.177,-0.187,1.20,0.123,-0.11,1.17,0.083,-0.085,9.26,0.172,-0.132,463,49.49,-45.914,0.26,0.031,-0.058,0.30,nan,nan,nan,nan,nan,nan
K03250.01,7335713,0.574,0.011,0.93,176,2.19,8e-103,0,5.4e-18,8.7e-52,1.2e-65,1,0.082,1,1,,5117,43.65,-49.459,4.58,0.029,-0.052,-0.06,0.151,-0.186,0.78,0.039,-0.046,0.82,0.039,-0.049,9.67,0.355,-0.397,192,10.61,-12.058,0.13,0.026,-0.049,0.17,nan,nan,nan,nan,nan,nan
K03253.01,2707985,1.891,0.005,0.73,6,2.88,0,5.6e-116,3.6e-109,9e-203,4.6e-45,4e-37,0.049,1,0,,8013,109.728,-120.406,4.32,0.047,-0.045,-0.61,0.165,-0.187,1.33,0.1,-0.104,1.35,0.074,-0.079,9.09,0.081,-0.052,710,53.708,-57.249,0.43,0.019,-0.041,0.46,nan,nan,nan,nan,nan,nan
K03254.01,9899141,1.333,0.004,0.44,8,2.16,1.4e-104,4.8e-67,7.9e-136,1.2e-23,3.6e-19,1.1e-35,0.001,1,0.004,,5846,73.923,-96.598,4.44,0.054,-0.111,0.03,0.144,-0.166,1.01,0.137,-0.079,1.03,0.051,-0.059,9.51,0.282,-0.316,334,46.222,-27.491,0.28,0.041,-0.074,0.34,nan,nan,nan,nan,nan,nan
K03255.01,8183288,66.651,0.021,1.60,119,0.57,2e-33,2.8e-13,0.00013,1.1e-17,6.4e-09,7.5e-07,0.155,0.00021,1,,4614,53.683,-53.513,4.63,0.009,-0.014,0.01,0.099,-0.101,0.70,0.014,-0.019,0.74,0.022,-0.028,9.48,0.316,-0.266,308,8.272,-9.096,0.24,0.073,-0.079,0.61,4550,81,4.63,0.02,0.00,0.15
K03257.01,nan,nan,0.037,2.80,595,0.50,5.8e-37,7e-07,0.015,5.6e-20,0.00056,0.014,0.202,0.029,1,,4690,35.295,-40.198,4.62,0.027,-0.021,-0.09,0.178,-0.158,0.69,0.027,-0.04,0.74,0.038,-0.043,9.51,0.393,-0.301,608,26.817,-37.839,0.32,0.019,-0.04,0.35,nan,nan,nan,nan,nan,nan
K03258.01,4366323,40.351,0.021,1.58,302,1.83,1.2e-42,6e-05,0.0036,2.8e-15,8.7e-05,0.00082,0.156,0.0046,1,,5703,57.548,-60.243,4.64,0.023,-0.028,-0.89,0.192,-0.133,0.69,0.037,-0.026,0.76,0.034,-0.027,9.37,0.218,-0.174,916,52.183,-41.256,0.34,0.015,-0.03,0.36,nan,nan,nan,nan,nan,nan
K03259.01,2853029,72.933,0.025,2.21,423,1.62,4.7e-42,0.035,0.012,6.6e-16,0.0022,0.0095,0.219,0.059,1,,5401,42.931,-40.384,4.57,0.02,-0.02,-0.09,0.128,-0.127,0.81,0.03,-0.034,0.89,0.031,-0.038,9.27,0.267,-0.173,955,39.175,-42.711,0.35,0.012,-0.027,0.37,5316,85,4.47,0.07,0.14,0.15
K03260.01,12156174,56.675,0.028,2.72,226,1.05,1e-85,0.011,0.0012,5.6e-36,0.0025,0.00019,0.201,0.015,1,,5708,52.268,-57.993,4.53,0.022,-0.023,-0.08,0.114,-0.118,0.89,0.036,-0.037,0.97,0.036,-0.04,9.23,0.217,-0.138,803,34.689,-36.368,0.19,0.034,-0.053,0.24,5541,83,4.19,0.20,0.14,0.15
K03261.01,12055539,12.271,0.016,1.36,90,1.38,2.4e-103,1.5e-09,0.0001,1e-16,8.8e-06,8.8e-07,0.129,0.00011,1,,5880,62.599,-69.479,4.58,0.022,-0.026,-0.62,0.129,-0.179,0.78,0.032,-0.033,0.84,0.033,-0.036,9.31,0.245,-0.202,657,31.247,-31.931,0.17,0.02,-0.04,0.19,nan,nan,nan,nan,nan,nan
K03262.01,12056139,13.227,0.015,1.25,95,1.62,0,1.1e-54,0.0014,6.3e-72,1.9e-12,0.00049,0.122,0.015,0.99,,6038,66.79,-66.83,4.59,0.023,-0.021,-0.89,0.198,-0.148,0.76,0.035,-0.031,0.83,0.038,-0.03,9.27,0.177,-0.149,895,45.43,-43.275,0.18,0.014,-0.026,0.20,nan,nan,nan,nan,nan,nan
K03263.01,11853130,76.879,0.162,8.07,987,0.50,0.05,0.86,0.00076,0.0014,0.0051,1.4e-06,0.054,0.91,1,,3686,35.012,-33.573,4.80,0.032,-0.028,-0.14,0.084,-0.075,0.46,0.029,-0.03,0.48,0.031,-0.031,9.54,0.4,-0.346,234,19.698,-19.258,0.09,0.024,-0.041,0.13,3638,72,4.83,0.04,-0.06,0.15
K03264.01,9345933,13.015,0.019,1.29,140,1.86,3.6e-183,2.4e-20,0.00074,1.8e-26,3.6e-09,7.5e-05,0.126,0.0016,1,,4806,37.48,-37.941,4.67,0.023,-0.028,-0.51,0.167,-0.181,0.62,0.035,-0.027,0.66,0.042,-0.028,9.47,0.398,-0.309,645,39.296,-31.734,0.26,0.015,-0.03,0.28,nan,nan,nan,nan,nan,nan
K03265.01,10030778,29.473,0.500,41.98,8821,0.50,3.7e-25,0.83,0.082,4.6e-16,0.05,0.039,0.001,1,1,,6029,67.764,-70.589,4.59,0.024,-0.021,-0.84,0.193,-0.167,0.77,0.034,-0.034,0.84,0.04,-0.033,9.28,0.184,-0.157,1139,55.484,-57.822,0.65,0.018,-0.037,0.68,nan,nan,nan,nan,nan,nan
K03266.01,8826007,54.509,0.029,2.19,245,0.90,2e-27,3e-08,0.001,2.7e-14,1.7e-06,0.00018,0.218,0.0012,1,,4639,39.771,-57.709,4.62,0.026,-0.028,-0.06,0.15,-0.161,0.69,0.024,-0.041,0.73,0.032,-0.042,9.64,0.359,-0.352,504,21.203,-32.345,0.39,0.04,-0.069,0.44,nan,nan,nan,nan,nan,nan
K03267.01,8620402,14.196,0.014,1.24,77,1.08,2.2e-90,4.1e-08,0.0012,1.1e-16,3.6e-05,0.0016,0.119,0.0029,1,,6084,66.407,-70.769,4.56,0.022,-0.026,-0.68,0.151,-0.181,0.81,0.037,-0.034,0.88,0.032,-0.04,9.23,0.217,-0.153,793,40.593,-37.527,0.29,0.016,-0.033,0.31,nan,nan,nan,nan,nan,nan
K03268.01,8379021,11.525,0.232,19.00,219,1.59,1.6e-07,0.23,0.53,0.00023,0.034,0.21,0.040,0.99,1,,5705,59.282,-64.737,4.60,0.024,-0.026,-0.58,0.146,-0.192,0.75,0.035,-0.037,0.81,0.043,-0.041,9.38,0.276,-0.23,886,47.862,-47.703,0.54,0.02,-0.043,0.57,nan,nan,nan,nan,nan,nan
K03269.01,8104030,46.840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UnphysicalMCMC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
K03270.01,6612327,21.993,0.285,21.97,643,4.00,4.9e-173,2.8e-42,0.056,1.4e-38,3.4e-08,0.94,0.017,1,1,,5287,44.312,-48.267,4.62,0.029,-0.034,-0.44,0.225,-0.201,0.71,0.054,-0.041,0.76,0.068,-0.046,9.40,0.366,-0.28,655,53.324,-42.168,0.33,0.016,-0.032,0.35,nan,nan,nan,nan,nan,nan
K03271.01,7285757,19.549,0.024,1.83,192,2.79,5.6e-15,0.012,0.1,2e-07,0.0022,0.092,0.179,0.21,1,,5526,53.359,-59.114,4.63,0.029,-0.021,-0.69,0.162,-0.188,0.70,0.028,-0.037,0.76,0.032,-0.036,9.39,0.268,-0.222,866,39.932,-50.527,0.38,0.016,-0.033,0.40,nan,nan,nan,nan,nan,nan
K03271.02,7285757,7.418,0.014,1.07,96,2.79,3.1e-97,5.2e-13,0.0025,9.1e-24,2.1e-06,0.0021,0.100,0.0046,1,,5524,53.344,-58.662,4.63,0.029,-0.023,-0.69,0.169,-0.195,0.70,0.029,-0.039,0.76,0.033,-0.037,9.39,0.264,-0.238,866,41.622,-51.88,0.38,0.016,-0.033,0.40,nan,nan,nan,nan,nan,nan
K03272.01,4948730,23.029,0.199,21.70,416,0.50,1.1e-63,1.7e-07,0.6,8.7e-18,0.067,0.33,0.017,1,1,,6382,267.543,-225.112,4.45,0.066,-0.069,-0.47,0.181,-0.15,1.00,0.129,-0.105,1.02,0.095,-0.083,9.23,0.212,-0.141,940,136.521,-108.265,0.76,0.158,-0.143,1.45,nan,nan,nan,nan,nan,nan
K03273.01,5211922,27.685,0.045,4.33,189,0.50,2.6e-28,0.007,0.00041,5e-13,0.00011,2.9e-07,0.094,0.0076,1,,5809,192.486,-177.794,4.52,0.058,-0.075,-0.27,0.187,-0.202,0.88,0.107,-0.093,0.93,0.088,-0.088,9.40,0.313,-0.26,875,115.803,-100.142,0.78,0.142,-0.138,1.30,nan,nan,nan,nan,nan,nan
K03274.01,5280587,35.622,0.023,1.96,221,0.75,5.3e-95,2e-06,0.00033,1.6e-27,0.00019,1.7e-05,0.201,0.0006,1,,5916,63.879,-69.562,4.58,0.022,-0.024,-0.65,0.148,-0.192,0.78,0.03,-0.037,0.85,0.035,-0.038,9.30,0.21,-0.18,904,40.572,-47.173,0.45,0.017,-0.037,0.47,nan,nan,nan,nan,nan,nan
K03275.01,5303346,37.325,0.351,30.08,2454,0.51,6.1e-27,0.2,0.72,6.5e-08,0.04,0.036,0.003,0.99,1,,5340,54.836,-69.038,4.58,0.036,-0.045,-0.18,0.168,-0.231,0.79,0.047,-0.062,0.84,0.049,-0.071,9.49,0.396,-0.335,557,36.122,-47.666,0.41,0.032,-0.063,0.46,nan,nan,nan,nan,nan,nan
K03276.01,3858879,25.952,0.322,28.86,2643,1.32,0,3.7e-45,0.00042,3.2e-221,1.5e-26,0.0022,0.004,1,0.003,,6116,67.028,-74.12,4.56,0.022,-0.024,-0.67,0.14,-0.177,0.82,0.036,-0.035,0.89,0.031,-0.037,9.19,0.198,-0.133,937,44.268,-43.736,0.42,0.018,-0.036,0.44,nan,nan,nan,nan,nan,nan
K03277.01,3120904,42.914,0.012,1.55,57,1.14,1.8e-59,0.00065,3.3e-05,1.8e-14,6.9e-05,2.2e-06,0.151,0.0034,1,,6167,85.318,-90.761,4.36,0.05,-0.069,0.06,0.106,-0.104,1.19,0.11,-0.082,1.16,0.049,-0.05,9.37,0.181,-0.193,565,52.479,-43.723,0.32,0.054,-0.063,0.42,6049,121,3.80,0.21,0.18,0.15
K03278.01,3342467,88.181,0.030,2.54,361,0.60,2.3e-111,0.0016,6.2e-06,1.7e-38,8.3e-08,1.6e-09,0.206,0.0019,1,,5596,50.109,-58.605,4.58,0.028,-0.039,-0.39,0.216,-0.196,0.78,0.065,-0.046,0.84,0.068,-0.057,9.35,0.307,-0.232,646,56.883,-41.708,0.28,0.017,-0.035,0.30,nan,nan,nan,nan,nan,nan
K03279.01,3544640,30.828,0.023,1.75,249,2.10,2.8e-122,6e-06,0.00085,3.7e-33,0.00016,0.00011,0.175,0.0015,1,,5806,57.036,-56.657,4.64,0.016,-0.022,-0.98,0.146,-0.102,0.70,0.027,-0.019,0.77,0.025,-0.02,9.34,0.184,-0.126,1008,43.492,-35.654,0.26,0.01,-0.022,0.28,nan,nan,nan,nan,nan,nan
K03280.01,10653179,47.161,0.025,1.83,365,1.38,3.3e-60,4.5e-05,0.00011,1.5e-26,3e-05,2.7e-05,0.179,0.00037,1,,5664,52.842,-53.417,4.66,0.016,-0.023,-0.98,0.146,-0.096,0.67,0.027,-0.018,0.74,0.024,-0.02,9.36,0.213,-0.178,890,39.802,-30.389,0.14,0.009,-0.021,0.15,nan,nan,nan,nan,nan,nan
K03281.01,11177676,47.032,0.017,1.55,188,1.41,8.5e-126,2.7e-08,4.4e-05,1.3e-33,3.5e-05,6.2e-06,0.152,0.0043,1,,5439,38.804,-41.881,4.56,0.02,-0.02,-0.04,0.118,-0.126,0.83,0.026,-0.035,0.91,0.029,-0.036,9.29,0.267,-0.182,758,27.505,-32.633,0.13,0.012,-0.025,0.15,5370,80,4.34,0.14,0.18,0.15
K03282.01,12066569,49.277,0.030,1.77,430,0.99,3.9e-42,1.1e-13,0.00013,3.8e-16,5.2e-08,3.6e-06,0.178,0.00086,1,,4024,48.957,-47.667,4.72,0.022,-0.021,-0.28,0.135,-0.106,0.54,0.029,-0.025,0.56,0.035,-0.028,9.61,0.369,-0.374,342,24.811,-22.717,0.16,0.058,-0.066,0.25,3899,78,4.71,0.04,-0.20,0.15
K03283.02,9008103,20.572,0.017,1.93,194,2.25,1.5e-45,1.6e-10,0.0075,6.8e-15,9.6e-05,0.014,0.200,0.021,1,,6337,271.345,-223.787,4.42,0.07,-0.071,-0.35,0.176,-0.185,1.04,0.129,-0.121,1.05,0.097,-0.092,9.25,0.216,-0.144,1008,144.447,-124.472,0.87,0.164,-0.146,0.13,nan,nan,nan,nan,nan,nan
K03284.01,6497146,35.233,0.017,nan,163,1.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
K03285.01,8625813,45.397,0.028,2.07,557,5.40,4.4e-19,3.2e-05,0.23,1.8e-10,0.0016,0.41,0.208,0.64,1,,4453,35.729,-47.772,4.64,0.015,-0.013,0.13,0.121,-0.267,0.68,0.019,-0.038,0.73,0.025,-0.061,9.29,0.412,-0.174,544,20.218,-33.038,0.38,0.028,-0.057,0.42,nan,nan,nan,nan,nan,nan
K03286.01,8016691,18.137,0.021,1.30,133,1.05,3.3e-32,7.5e-15,0.00076,1.6e-12,2.9e-07,0.00054,0.129,0.0013,1,,4220,88.015,-102.861,4.70,0.047,-0.043,-0.34,0.309,-0.267,0.57,0.071,-0.058,0.59,0.081,-0.063,9.51,0.422,-0.337,343,54.98,-48.717,0.15,0.038,-0.062,0.20,nan,nan,nan,nan,nan,nan
K03287.01,6584273,51.111,0.017,1.93,97,0.78,3.9e-119,1.9e-11,6.1e-06,1.4e-33,2.9e-09,4.2e-08,0.192,3.4e-05,1,,6339,270.647,-224.353,4.42,0.07,-0.071,-0.35,0.174,-0.184,1.04,0.132,-0.119,1.05,0.096,-0.09,9.25,0.218,-0.142,1009,144.462,-124.644,0.88,0.164,-0.146,0.30,nan,nan,nan,nan,nan,nan
K03288.01,5768816,47.987,0.031,2.97,194,0.60,3.7e-44,0.005,0.00046,4.6e-18,8.7e-06,4.7e-07,0.194,0.0055,1,,5773,63.391,-71.832,4.53,0.042,-0.039,-0.21,0.195,-0.234,0.88,0.062,-0.074,0.94,0.06,-0.082,9.34,0.299,-0.21,601,43.615,-52.959,0.34,0.023,-0.046,0.37,nan,nan,nan,nan,nan,nan
K03289.01,5360974,29.804,0.274,18.20,639,0.50,4.7e-15,0.16,0.39,1.1e-05,0.16,0.26,0.045,0.97,1,,4966,39.464,-42.821,4.68,0.024,-0.024,-0.73,0.176,-0.181,0.61,0.028,-0.028,0.65,0.029,-0.03,9.42,0.402,-0.286,692,35.373,-37.3,0.26,0.016,-0.033,0.28,nan,nan,nan,nan,nan,nan
K03290.01,4936990,10.315,0.324,29.40,1901,0.50,3.4e-58,0.15,0.61,1.1e-21,0.042,0.19,0.004,1,1,,6296,77.74,-85.695,4.55,0.025,-0.026,-0.85,0.169,-0.155,0.83,0.04,-0.037,0.90,0.035,-0.034,9.15,0.175,-0.112,1050,54.345,-53.007,0.52,0.022,-0.046,0.55,nan,nan,nan,nan,nan,nan
K03291.01,6233483,15.873,0.071,8.08,6044,0.50,3.1e-60,0.045,0.52,7e-12,0.015,4e-07,0.054,0.58,1,,6334,273.421,-223.486,4.42,0.071,-0.071,-0.35,0.178,-0.186,1.04,0.131,-0.123,1.05,0.095,-0.092,9.25,0.222,-0.14,1008,144.748,-126.087,0.87,0.165,-0.146,0.89,nan,nan,nan,nan,nan,nan
K03292.01,5392871,42.399,0.026,4.09,310,0.50,1.5e-21,0.59,0.088,6.9e-12,0.055,0.0011,0.099,0.73,1,,6925,134.966,-171.548,4.25,0.061,-0.049,-0.14,0.154,-0.17,1.44,0.113,-0.152,1.33,0.095,-0.105,9.16,0.109,-0.079,832,67.004,-91.256,0.71,0.059,-0.099,0.79,nan,nan,nan,nan,nan,nan
K03293.01,3858851,25.952,0.353,29.79,4435,1.59,0,1.6e-09,0.62,8.2e-146,9.4e-20,0.011,0.003,1,0.63,,6254,66.977,-84.018,4.59,0.015,-0.015,-1.06,0.098,-0.136,0.77,0.022,-0.022,0.85,0.02,-0.022,9.19,0.144,-0.127,1245,42.14,-44.615,0.41,0.019,-0.04,0.44,nan,nan,nan,nan,nan,nan
K03294.01,3858917,25.952,0.435,39.18,3224,2.04,0,3.8e-34,0.92,5.5e-193,2.1e-33,3.9e-06,0.001,1,0.92,,5950,70.276,-82.44,4.55,0.029,-0.04,-0.50,0.191,-0.164,0.83,0.068,-0.042,0.89,0.066,-0.044,9.27,0.243,-0.168,750,62.991,-42.886,0.41,0.027,-0.053,0.44,nan,nan,nan,nan,nan,nan
K03295.01,4466356,14.128,0.015,1.60,192,0.50,1.1e-35,0.28,0.36,1.1e-08,0.084,0.17,0.155,0.89,1,,6142,60.003,-63.772,4.47,0.023,-0.023,-0.26,0.111,-0.109,0.98,0.042,-0.041,1.03,0.039,-0.045,9.20,0.157,-0.103,796,35.492,-35.072,0.36,0.046,-0.052,0.44,6072,78,4.47,0.03,-0.10,0.15
K03296.01,9447166,62.869,0.023,1.88,181,1.71,8.4e-67,1.4e-12,0.0023,7.2e-21,1.8e-06,0.0013,0.188,0.0037,1,,4834,31.283,-32.517,4.59,0.016,-0.035,0.10,0.096,-0.102,0.75,0.021,-0.015,0.79,0.025,-0.027,9.71,0.33,-0.415,444,14.219,-11.44,0.11,0.016,-0.034,0.14,4762,85,4.54,0.06,0.20,0.15
K03297.01,9643043,84.806,0.392,28.17,8893,0.50,8.1e-30,0.83,0.11,1.9e-13,0.036,0.021,0.005,1,1,,5415,47.175,-47.679,4.66,0.025,-0.027,-0.80,0.196,-0.153,0.66,0.035,-0.029,0.72,0.033,-0.028,9.37,0.284,-0.223,848,49.091,-41.687,0.23,0.01,-0.024,0.25,nan,nan,nan,nan,nan,nan
K03298.01,8151055,29.963,0.032,2.14,287,0.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,Other,4423,41.036,-57.324,4.67,0.03,-0.027,-0.27,0.167,-0.269,0.61,0.039,-0.048,0.64,0.046,-0.057,9.52,0.396,-0.337,523,40.357,-49.923,0.14,0.014,-0.032,0.16,nan,nan,nan,nan,nan,nan
K03299.01,7177555,17.996,0.414,30.02,17128,2.01,2.4e-08,0.52,0.36,0.001,0.073,0.0031,0.003,0.97,1,,4432,35.679,-47.579,4.64,0.024,-0.025,-0.03,0.168,-0.164,0.67,0.022,-0.041,0.70,0.03,-0.044,9.61,0.373,-0.379,328,14.376,-23.43,0.20,0.029,-0.054,0.24,nan,nan,nan,nan,nan,nan
K03300.01,7889486,24.238,0.022,1.59,257,2.52,7.6e-20,0.0034,0.39,3.4e-07,0.015,0.48,0.159,0.89,1,,5539,53.118,-54.164,4.66,0.024,-0.032,-0.90,0.215,-0.125,0.66,0.04,-0.025,0.73,0.037,-0.024,9.40,0.266,-0.217,851,55.32,-39.033,0.32,0.011,-0.024,0.33,nan,nan,nan,nan,nan,nan
K03300.02,7889486,24.240,0.016,1.15,201,2.73,3.7e-109,8.7e-15,0.06,1.3e-19,4.3e-06,0.12,0.112,0.18,1,,5537,52.495,-52.687,4.66,0.023,-0.032,-0.91,0.209,-0.116,0.66,0.04,-0.024,0.72,0.036,-0.022,9.39,0.264,-0.219,847,55.615,-36.461,0.32,0.011,-0.026,0.33,nan,nan,nan,nan,nan,nan
K03301.01,8301878,20.710,0.011,1.13,76,2.40,2.2e-14,0.0033,0.1,7.8e-07,0.0063,0.087,0.110,0.2,1,,5897,73.825,-91.249,4.49,0.044,-0.048,-0.16,0.18,-0.207,0.94,0.069,-0.076,0.99,0.058,-0.074,9.34,0.268,-0.211,641,49.923,-53.953,0.45,0.035,-0.062,0.50,nan,nan,nan,nan,nan,nan
