koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K00282.02 0.008 13 1.02 nan nan nan nan nan nan nan nan nan 
K00282.03 0.011 65 1.98 nan nan nan nan nan nan nan nan nan 
K00283.01 0.019 21 0.99 nan nan nan nan nan nan nan nan nan 
K00283.02 0.007 24 1.80 nan nan nan nan nan nan nan nan nan 
K00283.03 0.007 20 2.10 nan nan nan nan nan nan nan nan nan 
K00284.01 0.012 25 0.93 nan nan nan nan nan nan nan nan nan 
K00284.02 0.011 11 0.69 nan nan nan nan nan nan nan nan nan 
K00284.03 0.009 14 1.17 nan nan nan nan nan nan nan nan nan 
K00284.04 0.010 66 4.20 nan nan nan nan nan nan nan nan nan 
K00285.01 0.019 17 0.51 nan nan nan nan nan nan nan nan nan 
K00285.02 0.013 26 1.05 nan nan nan nan nan nan nan nan nan 
K00285.03 0.011 38 1.38 nan nan nan nan nan nan nan nan nan 
K00286.01 0.012 74 0.50 nan nan nan nan nan nan nan nan nan 
K00287.01 0.109 544 1.62 nan nan nan nan nan nan nan nan nan 
K00288.01 0.014 15 2.16 nan nan nan nan nan nan nan nan nan 
K00289.01 0.020 31 0.51 nan nan nan nan nan nan nan nan nan 
K00289.02 0.048 171 0.50 nan nan nan nan nan nan nan nan nan 
K00290.01 0.019 57 0.50 nan nan nan nan nan nan nan nan nan 
K00291.01 0.018 39 0.78 nan nan nan nan nan nan nan nan nan 
K00291.02 0.011 33 2.22 nan nan nan nan nan nan nan nan nan 
K00292.01 0.015 17 0.50 nan nan nan nan nan nan nan nan nan 
K00293.01 0.009 13 0.50 nan nan nan nan nan nan nan nan nan 
K00294.01 0.019 46 0.69 nan nan nan nan nan nan nan nan nan 
K00295.01 0.015 22 0.50 nan nan nan nan nan nan nan nan nan 
K00295.02 0.010 35 1.08 nan nan nan nan nan nan nan nan nan 
K00296.01 0.019 46 0.96 nan nan nan nan nan nan nan nan nan 
K00297.01 0.011 17 0.72 nan nan nan nan nan nan nan nan nan 
K00298.01 0.016 72 0.69 nan nan nan nan nan nan nan nan nan 
K00298.02 0.015 105 1.98 nan nan nan nan nan nan nan nan nan 
K00299.01 0.019 32 0.50 nan nan nan nan nan nan nan nan nan 
K00300.01 0.011 12 2.07 nan nan nan nan nan nan nan nan nan 
K00301.01 0.013 13 0.81 nan nan nan nan nan nan nan nan nan 
K00301.02 0.008 20 2.10 nan nan nan nan nan nan nan nan nan 
K00302.01 0.026 67 0.50 nan nan nan nan nan nan nan nan nan 
K00303.01 0.025 53 0.50 nan nan nan nan nan nan nan nan nan 
K00304.01 0.022 25 0.50 nan nan nan nan nan nan nan nan nan 
K00304.02 0.005 21 1.23 nan nan nan nan nan nan nan nan nan 
K00305.01 0.022 30 0.50 nan nan nan nan nan nan nan nan nan 
K00306.01 0.024 70 0.50 nan nan nan nan nan nan nan nan nan 
K00307.01 0.014 31 0.78 nan nan nan nan nan nan nan nan nan 
K00307.02 0.009 12 0.66 nan nan nan nan nan nan nan nan nan 
K00308.01 0.025 82 0.50 nan nan nan nan nan nan nan nan nan 
K00309.01 0.006 12 0.50 nan nan nan nan nan nan nan nan nan 
K00312.01 0.015 23 0.51 nan nan nan nan nan nan nan nan nan 
K00312.02 0.014 26 0.69 nan nan nan nan nan nan nan nan nan 
K00313.01 0.024 38 0.51 nan nan nan nan nan nan nan nan nan 
K00313.02 0.019 25 0.57 nan nan nan nan nan nan nan nan nan 
K00314.01 0.024 40 0.50 nan nan nan nan nan nan nan nan nan 
K00314.02 0.028 77 0.50 nan nan nan nan nan nan nan nan nan 
K00314.03 0.011 34 1.62 nan nan nan nan nan nan nan nan nan 
