koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K02882.02 0.016 281 0.90 nan nan nan nan nan nan nan nan nan 
K02883.01 0.030 255 0.69 nan nan nan nan nan nan nan nan nan 
K02884.01 0.007 13 0.96 nan nan nan nan nan nan nan nan nan 
K02885.01 0.017 237 0.54 nan nan nan nan nan nan nan nan nan 
K02886.01 0.015 55 1.17 nan nan nan nan nan nan nan nan nan 
K02887.01 0.272 268 0.51 nan nan nan nan nan nan nan nan nan 
K02888.01 0.985 29 0.50 nan nan nan nan nan nan nan nan nan 
K02889.01 0.023 39 1.53 nan nan nan nan nan nan nan nan nan 
K02890.01 0.012 64 2.25 nan nan nan nan nan nan nan nan nan 
K02891.01 0.008 35 0.50 nan nan nan nan nan nan nan nan nan 
K02892.01 0.014 98 4.00 nan nan nan nan nan nan nan nan nan 
K02893.01 0.019 378 0.50 nan nan nan nan nan nan nan nan nan 
K02894.01 0.014 62 1.59 nan nan nan nan nan nan nan nan nan 
K02896.01 0.013 20 0.50 nan nan nan nan nan nan nan nan nan 
K02896.02 0.011 121 0.50 nan nan nan nan nan nan nan nan nan 
K02897.01 0.274 36 4.00 nan nan nan nan nan nan nan nan nan 
K02898.01 0.022 212 0.81 nan nan nan nan nan nan nan nan nan 
K02899.01 0.017 144 1.59 nan nan nan nan nan nan nan nan nan 
K02900.01 0.028 367 1.02 nan nan nan nan nan nan nan nan nan 
K02901.01 0.012 64 0.50 nan nan nan nan nan nan nan nan nan 
K02903.01 0.019 157 0.50 nan nan nan nan nan nan nan nan nan 
K02904.01 0.010 27 1.59 nan nan nan nan nan nan nan nan nan 
K02905.01 0.011 60 0.50 nan nan nan nan nan nan nan nan nan 
K02906.01 0.009 27 1.44 nan nan nan nan nan nan nan nan nan 
K02907.01 0.015 93 0.50 nan nan nan nan nan nan nan nan nan 
K02908.01 0.014 121 3.90 nan nan nan nan nan nan nan nan nan 
K02909.01 0.008 36 1.35 nan nan nan nan nan nan nan nan nan 
K02910.01 0.024 212 0.81 nan nan nan nan nan nan nan nan nan 
K02911.01 0.023 306 1.53 nan nan nan nan nan nan nan nan nan 
K02912.01 0.015 61 0.66 nan nan nan nan nan nan nan nan nan 
K02913.01 0.006 11 1.08 nan nan nan nan nan nan nan nan nan 
K02914.01 0.009 49 1.20 nan nan nan nan nan nan nan nan nan 
K02915.01 0.008 20 5.70 nan nan nan nan nan nan nan nan nan 
K02916.01 0.012 126 1.68 nan nan nan nan nan nan nan nan nan 
K02917.01 0.013 63 2.16 nan nan nan nan nan nan nan nan nan 
K02918.01 0.064 inf 1.35 nan nan nan nan nan nan nan nan nan 
K02918.02 0.019 125 0.50 nan nan nan nan nan nan nan nan nan 
K02919.01 0.247 68 1.65 nan nan nan nan nan nan nan nan nan 
K02920.01 0.011 53 1.59 nan nan nan nan nan nan nan nan nan 
K02921.01 0.017 172 1.98 nan nan nan nan nan nan nan nan nan 
K02922.01 0.012 142 1.86 nan nan nan nan nan nan nan nan nan 
K02923.01 0.014 80 1.71 nan nan nan nan nan nan nan nan nan 
K02924.01 0.011 35 0.96 nan nan nan nan nan nan nan nan nan 
K02925.01 0.274 21 1.14 nan nan nan nan nan nan nan nan nan 
K02926.01 0.039 442 0.50 nan nan nan nan nan nan nan nan nan 
K02926.02 0.034 359 1.02 nan nan nan nan nan nan nan nan nan 
K02926.03 0.043 595 0.54 nan nan nan nan nan nan nan nan nan 
K02926.04 0.037 720 0.75 nan nan nan nan nan nan nan nan nan 
K02927.01 0.021 182 2.22 nan nan nan nan nan nan nan nan nan 
K02928.01 0.014 95 2.79 nan nan nan nan nan nan nan nan nan 
K02929.01 0.021 201 2.76 nan nan nan nan nan nan nan nan nan 
K02930.01 0.012 56 4.00 nan nan nan nan nan nan nan nan nan 
K02931.01 0.022 191 0.90 nan nan nan nan nan nan nan nan nan 
K02932.01 0.023 199 4.00 nan nan nan nan nan nan nan nan nan 
K02933.01 0.971 1017 0.66 nan nan nan nan nan nan nan nan nan 
K02934.01 0.014 234 3.00 nan nan nan nan nan nan nan nan nan 
K02935.01 0.013 80 2.91 nan nan nan nan nan nan nan nan nan 
K02936.01 0.011 60 0.81 nan nan nan nan nan nan nan nan nan 
K02937.01 0.694 262037 4.00 nan nan nan nan nan nan nan nan nan 
K02938.01 0.689 68072 4.00 nan nan nan nan nan nan nan nan nan 
K02939.01 0.557 169269 0.50 nan nan nan nan nan nan nan nan nan 
K02941.01 0.010 50 0.50 nan nan nan nan nan nan nan nan nan 
K02942.01 0.024 240 0.99 nan nan nan nan nan nan nan nan nan 
K02942.02 0.025 276 3.30 nan nan nan nan nan nan nan nan nan 
K02943.01 0.014 60 1.02 nan nan nan nan nan nan nan nan nan 
K02944.01 0.047 692 0.50 nan nan nan nan nan nan nan nan nan 
K02945.01 0.031 325 1.56 nan nan nan nan nan nan nan nan nan 
K02946.01 0.021 130 0.81 nan nan nan nan nan nan nan nan nan 
K02948.01 0.006 14 1.86 nan nan nan nan nan nan nan nan nan 
K02949.01 0.007 26 2.31 nan nan nan nan nan nan nan nan nan 
K02949.02 0.006 16 1.35 nan nan nan nan nan nan nan nan nan 
K02950.01 0.078 777 0.50 nan nan nan nan nan nan nan nan nan 
K02951.01 0.008 32 1.29 nan nan nan nan nan nan nan nan nan 
K02952.01 0.013 62 2.61 nan nan nan nan nan nan nan nan nan 
K02953.01 0.009 81 1.17 nan nan nan nan nan nan nan nan nan 
K02954.01 0.016 241 4.00 nan nan nan nan nan nan nan nan nan 
K02955.01 0.011 45 0.63 nan nan nan nan nan nan nan nan nan 
K02956.01 0.005 9 1.53 nan nan nan nan nan nan nan nan nan 
K02957.01 0.009 58 1.80 nan nan nan nan nan nan nan nan nan 
K02958.01 0.017 119 2.19 nan nan nan nan nan nan nan nan nan 
K02959.01 0.523 302 1.77 nan nan nan nan nan nan nan nan nan 
K02960.01 0.006 44 0.50 nan nan nan nan nan nan nan nan nan 
K02961.01 0.006 12 1.17 nan nan nan nan nan nan nan nan nan 
K02962.01 0.008 29 2.70 nan nan nan nan nan nan nan nan nan 
K02963.01 0.015 51 1.32 nan nan nan nan nan nan nan nan nan 
K02963.02 0.010 42 1.95 nan nan nan nan nan nan nan nan nan 
K02964.01 0.014 63 2.37 nan nan nan nan nan nan nan nan nan 
K02965.01 0.007 6 3.90 nan nan nan nan nan nan nan nan nan 
K02966.01 0.019 168 0.87 nan nan nan nan nan nan nan nan nan 
K02967.01 0.029 168 2.10 nan nan nan nan nan nan nan nan nan 
K02968.01 0.006 13 1.17 nan nan nan nan nan nan nan nan nan 
K02969.01 0.010 60 1.86 nan nan nan nan nan nan nan nan nan 
K02970.01 0.006 12 1.38 nan nan nan nan nan nan nan nan nan 
K02971.01 0.008 16 2.76 nan nan nan nan nan nan nan nan nan 
K02972.01 0.016 112 2.82 nan nan nan nan nan nan nan nan nan 
K02972.02 0.019 140 3.90 nan nan nan nan nan nan nan nan nan 
K02973.01 0.016 147 4.00 nan nan nan nan nan nan nan nan nan 
K02974.01 0.007 26 4.00 nan nan nan nan nan nan nan nan nan 
K02975.01 0.035 675 1.14 nan nan nan nan nan nan nan nan nan 
K02976.01 0.043 434 1.83 nan nan nan nan nan nan nan nan nan 
K02977.01 0.007 14 1.71 nan nan nan nan nan nan nan nan nan 
K02977.02 0.008 23 2.37 nan nan nan nan nan nan nan nan nan 
K02978.01 0.015 77 1.53 nan nan nan nan nan nan nan nan nan 
K02979.01 0.007 20 0.50 nan nan nan nan nan nan nan nan nan 
K02980.01 0.012 41 1.29 nan nan nan nan nan nan nan nan nan 
K02981.01 0.019 134 1.56 nan nan nan nan nan nan nan nan nan 
K02982.01 0.015 49 1.47 nan nan nan nan nan nan nan nan nan 
K02983.01 0.015 243 0.50 nan nan nan nan nan nan nan nan nan 
K02984.01 0.008 23 2.04 nan nan nan nan nan nan nan nan nan 
K02985.01 0.155 62 0.50 nan nan nan nan nan nan nan nan nan 
K02986.01 0.014 98 4.00 nan nan nan nan nan nan nan nan nan 
K02987.01 0.008 20 0.50 nan nan nan nan nan nan nan nan nan 
K02989.01 0.018 92 2.76 nan nan nan nan nan nan nan nan nan 
K02990.01 0.014 53 1.59 nan nan nan nan nan nan nan nan nan 
K02991.01 0.009 19 2.67 nan nan nan nan nan nan nan nan nan 
K02992.01 0.056 525 0.78 nan nan nan nan nan nan nan nan nan 
K02993.01 0.290 1266 4.00 nan nan nan nan nan nan nan nan nan 
K02994.01 0.008 21 1.92 nan nan nan nan nan nan nan nan nan 
K02995.01 0.017 80 0.75 nan nan nan nan nan nan nan nan nan 
K02996.01 0.023 220 0.99 nan nan nan nan nan nan nan nan nan 
K02997.01 0.011 61 3.30 nan nan nan nan nan nan nan nan nan 
K02998.01 0.034 289 0.50 nan nan nan nan nan nan nan nan nan 
K02999.01 0.009 36 9.30 nan nan nan nan nan nan nan nan nan 
K03000.01 0.011 51 0.51 nan nan nan nan nan nan nan nan nan 
K03001.01 0.028 440 0.66 nan nan nan nan nan nan nan nan nan 
K03002.01 0.009 35 1.65 nan nan nan nan nan nan nan nan nan 
K03003.01 0.013 62 0.87 nan nan nan nan nan nan nan nan nan 
K03004.01 0.018 187 1.62 nan nan nan nan nan nan nan nan nan 
K03004.02 0.015 132 1.86 nan nan nan nan nan nan nan nan nan 
K03005.01 0.006 14 0.50 nan nan nan nan nan nan nan nan nan 
K03006.01 0.014 28 2.01 nan nan nan nan nan nan nan nan nan 
K03007.01 0.012 77 1.89 nan nan nan nan nan nan nan nan nan 
K03008.01 0.006 13 1.89 nan nan nan nan nan nan nan nan nan 
K03009.01 0.012 64 2.22 nan nan nan nan nan nan nan nan nan 
K03010.01 0.027 334 1.50 nan nan nan nan nan nan nan nan nan 
K03011.01 0.017 69 1.53 nan nan nan nan nan nan nan nan nan 
K03012.01 0.008 17 1.05 nan nan nan nan nan nan nan nan nan 
K03013.01 0.015 66 1.23 nan nan nan nan nan nan nan nan nan 
K03014.01 0.028 291 0.87 nan nan nan nan nan nan nan nan nan 
K03015.01 0.006 13 1.20 nan nan nan nan nan nan nan nan nan 
K03016.01 0.010 34 1.89 nan nan nan nan nan nan nan nan nan 
K03017.01 0.006 26 2.34 nan nan nan nan nan nan nan nan nan 
K03018.01 0.018 127 0.50 nan nan nan nan nan nan nan nan nan 
K03019.01 0.013 77 1.41 nan nan nan nan nan nan nan nan nan 
K03019.02 0.008 43 2.10 nan nan nan nan nan nan nan nan nan 
K03020.01 0.009 34 1.20 nan nan nan nan nan nan nan nan nan 
K03021.01 0.007 23 0.50 nan nan nan nan nan nan nan nan nan 
K03022.01 0.013 57 1.41 nan nan nan nan nan nan nan nan nan 
K03022.02 0.013 90 2.37 nan nan nan nan nan nan nan nan nan 
K03023.01 0.010 21 0.72 nan nan nan nan nan nan nan nan nan 
K03025.01 0.021 202 0.90 nan nan nan nan nan nan nan nan nan 
K03026.01 0.015 80 1.02 nan nan nan nan nan nan nan nan nan 
K03027.01 0.017 127 1.44 nan nan nan nan nan nan nan nan nan 
K03028.01 0.013 68 2.82 nan nan nan nan nan nan nan nan nan 
K03029.01 0.018 165 1.56 nan nan nan nan nan nan nan nan nan 
K03029.02 0.014 71 1.50 nan nan nan nan nan nan nan nan nan 
K03030.01 0.014 78 0.66 nan nan nan nan nan nan nan nan nan 
K03031.01 0.013 101 2.31 nan nan nan nan nan nan nan nan nan 
K03032.01 0.014 67 2.07 nan nan nan nan nan nan nan nan nan 
K03033.01 0.012 166 1.86 nan nan nan nan nan nan nan nan nan 
K03034.01 0.034 305 1.65 nan nan nan nan nan nan nan nan nan 
K03035.01 0.012 76 1.41 nan nan nan nan nan nan nan nan nan 
K03036.01 0.048 681 1.44 nan nan nan nan nan nan nan nan nan 
K03037.01 0.014 94 2.97 nan nan nan nan nan nan nan nan nan 
K03038.01 0.007 18 2.76 nan nan nan nan nan nan nan nan nan 
K03039.01 0.009 30 2.16 nan nan nan nan nan nan nan nan nan 
K03040.01 0.016 103 1.83 nan nan nan nan nan nan nan nan nan 
K03041.01 0.010 55 1.59 nan nan nan nan nan nan nan nan nan 
K03042.01 0.018 179 1.59 nan nan nan nan nan nan nan nan nan 
K03043.01 0.009 35 2.49 nan nan nan nan nan nan nan nan nan 
K03044.01 0.021 430 0.50 nan nan nan nan nan nan nan nan nan 
K03045.01 0.025 248 1.32 nan nan nan nan nan nan nan nan nan 
K03047.01 0.012 183 0.51 nan nan nan nan nan nan nan nan nan 
K03048.01 0.012 51 1.38 nan nan nan nan nan nan nan nan nan 
K03049.01 0.021 241 1.41 nan nan nan nan nan nan nan nan nan 
K03050.01 0.013 49 2.64 nan nan nan nan nan nan nan nan nan 
K03051.01 0.015 141 4.20 nan nan nan nan nan nan nan nan nan 
K03051.02 0.008 40 1.92 nan nan nan nan nan nan nan nan nan 
K03052.01 0.009 40 5.70 nan nan nan nan nan nan nan nan nan 
K03052.02 0.009 44 6.30 nan nan nan nan nan nan nan nan nan 
K03053.01 0.026 251 1.35 nan nan nan nan nan nan nan nan nan 
K03053.02 0.015 149 3.90 nan nan nan nan nan nan nan nan nan 
K03054.01 0.021 193 0.54 nan nan nan nan nan nan nan nan nan 
K03055.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K03056.01 0.015 100 1.35 nan nan nan nan nan nan nan nan nan 
K03057.01 0.040 426 2.22 nan nan nan nan nan nan nan nan nan 
K03057.02 0.025 195 0.96 nan nan nan nan nan nan nan nan nan 
K03058.01 0.019 150 0.78 nan nan nan nan nan nan nan nan nan 
K03059.01 0.021 286 0.50 nan nan nan nan nan nan nan nan nan 
K03060.01 0.006 16 2.31 nan nan nan nan nan nan nan nan nan 
K03061.01 0.950 104 1.35 nan nan nan nan nan nan nan nan nan 
K03061.02 0.015 163 2.34 nan nan nan nan nan nan nan nan nan 
K03062.01 0.012 81 0.50 nan nan nan nan nan nan nan nan nan 
K03063.01 0.015 116 1.38 nan nan nan nan nan nan nan nan nan 
K03064.01 0.259 362 1.68 nan nan nan nan nan nan nan nan nan 
K03065.01 0.011 40 1.68 nan nan nan nan nan nan nan nan nan 
K03066.01 0.028 336 1.77 nan nan nan nan nan nan nan nan nan 
K03067.01 0.018 259 2.31 nan nan nan nan nan nan nan nan nan 
K03068.01 0.013 73 1.65 nan nan nan nan nan nan nan nan nan 
K03068.02 0.011 91 2.19 nan nan nan nan nan nan nan nan nan 
K03069.01 0.016 142 2.49 nan nan nan nan nan nan nan nan nan 
K03070.01 0.012 63 0.50 nan nan nan nan nan nan nan nan nan 
K03071.01 0.013 103 0.72 nan nan nan nan nan nan nan nan nan 
K03072.01 0.030 261 1.44 nan nan nan nan nan nan nan nan nan 
K03073.01 0.014 83 2.19 nan nan nan nan nan nan nan nan nan 
K03074.01 0.197 178 0.50 nan nan nan nan nan nan nan nan nan 
K03075.01 0.008 28 3.00 nan nan nan nan nan nan nan nan nan 
K03077.01 0.022 194 3.90 nan nan nan nan nan nan nan nan nan 
K03077.02 0.019 502 3.30 nan nan nan nan nan nan nan nan nan 
K03078.01 0.010 51 2.13 nan nan nan nan nan nan nan nan nan 
K03081.01 0.020 185 0.50 nan nan nan nan nan nan nan nan nan 
K03082.01 0.012 55 2.28 nan nan nan nan nan nan nan nan nan 
K03083.01 0.007 30 2.34 nan nan nan nan nan nan nan nan nan 
K03084.01 0.011 67 2.07 nan nan nan nan nan nan nan nan nan 
K03085.01 0.009 35 2.10 nan nan nan nan nan nan nan nan nan 
K03086.01 0.033 621 1.62 nan nan nan nan nan nan nan nan nan 
K03087.01 0.008 37 0.50 nan nan nan nan nan nan nan nan nan 
K03088.01 0.013 55 1.50 nan nan nan nan nan nan nan nan nan 
K03089.01 0.014 37 2.82 nan nan nan nan nan nan nan nan nan 
K03090.01 0.018 131 4.00 nan nan nan nan nan nan nan nan nan 
K03090.02 nan nan nan nan nan nan nan nan nan nan nan nan 
K03091.01 0.016 114 1.92 nan nan nan nan nan nan nan nan nan 
K03092.01 0.016 88 4.00 nan nan nan nan nan nan nan nan nan 
K03093.01 0.010 65 0.96 nan nan nan nan nan nan nan nan nan 
K03094.01 0.025 213 0.93 nan nan nan nan nan nan nan nan nan 
K03095.01 0.012 65 2.73 nan nan nan nan nan nan nan nan nan 
K03096.01 0.009 21 1.17 nan nan nan nan nan nan nan nan nan 
K03097.01 0.007 18 1.68 nan nan nan nan nan nan nan nan nan 
K03097.02 0.005 14 2.52 nan nan nan nan nan nan nan nan nan 
K03097.03 0.005 18 3.90 nan nan nan nan nan nan nan nan nan 
K03098.01 0.016 75 1.71 nan nan nan nan nan nan nan nan nan 
K03099.01 0.020 217 0.90 nan nan nan nan nan nan nan nan nan 
K03100.01 0.007 29 0.50 nan nan nan nan nan nan nan nan nan 
K03101.01 0.014 82 1.11 nan nan nan nan nan nan nan nan nan 
K03104.01 0.014 64 1.86 nan nan nan nan nan nan nan nan nan 
K03105.01 0.010 53 1.80 nan nan nan nan nan nan nan nan nan 
K03106.01 0.010 33 1.83 nan nan nan nan nan nan nan nan nan 
K03107.01 0.988 199 4.00 nan nan nan nan nan nan nan nan nan 
K03108.01 0.019 122 1.14 nan nan nan nan nan nan nan nan nan 
K03109.01 0.011 53 3.00 nan nan nan nan nan nan nan nan nan 
K03110.01 0.011 50 2.64 nan nan nan nan nan nan nan nan nan 
K03111.01 0.008 28 2.43 nan nan nan nan nan nan nan nan nan 
K03111.02 0.006 16 1.74 nan nan nan nan nan nan nan nan nan 
K03112.01 0.017 157 0.99 nan nan nan nan nan nan nan nan nan 
K03113.01 0.015 95 0.54 nan nan nan nan nan nan nan nan nan 
K03114.01 0.006 16 1.89 nan nan nan nan nan nan nan nan nan 
K03115.01 0.013 55 1.08 nan nan nan nan nan nan nan nan nan 
K03116.01 0.018 145 1.05 nan nan nan nan nan nan nan nan nan 
K03117.01 0.008 26 1.80 nan nan nan nan nan nan nan nan nan 
K03119.01 0.042 1611 2.79 nan nan nan nan nan nan nan nan nan 
K03120.01 0.012 45 0.90 nan nan nan nan nan nan nan nan nan 
K03121.01 0.011 102 0.96 nan nan nan nan nan nan nan nan nan 
K03122.01 0.005 12 3.60 nan nan nan nan nan nan nan nan nan 
K03123.01 0.017 123 2.67 nan nan nan nan nan nan nan nan nan 
K03124.01 0.010 39 3.90 nan nan nan nan nan nan nan nan nan 
K03125.01 0.006 25 1.77 nan nan nan nan nan nan nan nan nan 
K03126.01 0.008 37 2.19 nan nan nan nan nan nan nan nan nan 
K03127.01 0.011 56 1.08 nan nan nan nan nan nan nan nan nan 
K03128.01 0.010 37 2.85 nan nan nan nan nan nan nan nan nan 
K03129.01 0.012 98 0.50 nan nan nan nan nan nan nan nan nan 
K03130.01 0.104 95 1.86 nan nan nan nan nan nan nan nan nan 
K03130.02 0.010 69 1.98 nan nan nan nan nan nan nan nan nan 
K03131.01 0.014 88 1.17 nan nan nan nan nan nan nan nan nan 
K03132.01 0.006 12 1.17 nan nan nan nan nan nan nan nan nan 
K03134.01 0.013 40 1.98 nan nan nan nan nan nan nan nan nan 
K03135.01 0.015 73 1.83 nan nan nan nan nan nan nan nan nan 
K03136.01 0.013 63 0.87 nan nan nan nan nan nan nan nan nan 
K03137.01 0.011 48 1.83 nan nan nan nan nan nan nan nan nan 
K03138.01 0.044 7812 0.51 nan nan nan nan nan nan nan nan nan 
K03140.01 0.014 94 2.67 nan nan nan nan nan nan nan nan nan 
K03141.01 0.009 47 1.62 nan nan nan nan nan nan nan nan nan 
K03142.01 0.018 165 2.64 nan nan nan nan nan nan nan nan nan 
K03144.01 0.031 457 1.02 nan nan nan nan nan nan nan nan nan 
K03145.01 0.020 176 3.30 nan nan nan nan nan nan nan nan nan 
K03145.02 0.015 67 1.98 nan nan nan nan nan nan nan nan nan 
K03146.01 0.012 59 3.30 nan nan nan nan nan nan nan nan nan 
K03147.01 0.012 80 1.44 nan nan nan nan nan nan nan nan nan 
K03148.01 0.017 157 0.96 nan nan nan nan nan nan nan nan nan 
K03152.01 0.270 1066 0.50 nan nan nan nan nan nan nan nan nan 
K03153.01 0.705 23106 4.00 nan nan nan nan nan nan nan nan nan 
K03155.01 0.270 47913 9.90 nan nan nan nan nan nan nan nan nan 
K03156.01 0.029 235 1.50 nan nan nan nan nan nan nan nan nan 
K03156.02 nan nan nan nan nan nan nan nan nan nan nan nan 
K03156.03 0.455 64268 4.50 nan nan nan nan nan nan nan nan nan 
K03156.04 0.205 1518 6.00 nan nan nan nan nan nan nan nan nan 
K03158.02 0.006 14 5.70 nan nan nan nan nan nan nan nan nan 
K03158.03 0.006 18 6.60 nan nan nan nan nan nan nan nan nan 
K03158.04 0.007 18 5.40 nan nan nan nan nan nan nan nan nan 
K03158.05 0.008 24 6.00 nan nan nan nan nan nan nan nan nan 
K03159.01 0.003 17 8.10 nan nan nan nan nan nan nan nan nan 
K03161.01 0.441 337 3.00 nan nan nan nan nan nan nan nan nan 
K03162.01 0.008 8 1.23 nan nan nan nan nan nan nan nan nan 
K03163.01 0.002 6 4.50 nan nan nan nan nan nan nan nan nan 
K03165.01 0.005 13 3.00 nan nan nan nan nan nan nan nan nan 
K03167.01 0.005 22 0.50 nan nan nan nan nan nan nan nan nan 
K03168.01 0.007 22 2.76 nan nan nan nan nan nan nan nan nan 
K03172.01 0.008 48 7.20 nan nan nan nan nan nan nan nan nan 
K03174.01 0.015 1 4.20 nan nan nan nan nan nan nan nan nan 
K03175.01 0.149 693 1.23 nan nan nan nan nan nan nan nan nan 
K03179.01 0.008 25 4.50 nan nan nan nan nan nan nan nan nan 
K03184.01 0.004 14 3.00 nan nan nan nan nan nan nan nan nan 
K03184.03 0.004 9 1.65 nan nan nan nan nan nan nan nan nan 
K03185.01 0.003 4 2.46 nan nan nan nan nan nan nan nan nan 
K03187.01 0.006 6 1.86 nan nan nan nan nan nan nan nan nan 
K03188.01 0.008 31 1.86 nan nan nan nan nan nan nan nan nan 
K03190.01 0.006 17 1.44 nan nan nan nan nan nan nan nan nan 
K03193.01 0.220 405 12.30 nan nan nan nan nan nan nan nan nan 
K03194.01 0.088 28 3.30 nan nan nan nan nan nan nan nan nan 
K03196.01 0.004 9 3.90 nan nan nan nan nan nan nan nan nan 
K03196.02 0.005 17 2.85 nan nan nan nan nan nan nan nan nan 
K03197.01 0.011 44 1.59 nan nan nan nan nan nan nan nan nan 
K03199.01 0.007 44 0.50 nan nan nan nan nan nan nan nan nan 
K03202.01 0.010 68 1.23 nan nan nan nan nan nan nan nan nan 
K03203.01 0.013 110 2.67 nan nan nan nan nan nan nan nan nan 
K03205.01 0.004 9 2.37 nan nan nan nan nan nan nan nan nan 
K03206.01 0.013 108 2.55 nan nan nan nan nan nan nan nan nan 
K03207.01 0.011 13 0.72 nan nan nan nan nan nan nan nan nan 
K03208.01 0.006 15 3.00 nan nan nan nan nan nan nan nan nan 
K03209.01 0.010 66 0.84 nan nan nan nan nan nan nan nan nan 
K03211.01 0.008 15 0.50 nan nan nan nan nan nan nan nan nan 
K03212.01 0.003 6 3.60 nan nan nan nan nan nan nan nan nan 
K03213.01 0.007 34 1.20 nan nan nan nan nan nan nan nan nan 
K03214.01 0.008 14 2.25 nan nan nan nan nan nan nan nan nan 
K03214.02 0.006 26 4.50 nan nan nan nan nan nan nan nan nan 
K03215.01 0.004 8 0.81 nan nan nan nan nan nan nan nan nan 
K03216.01 0.018 110 0.50 nan nan nan nan nan nan nan nan nan 
K03218.01 0.005 4 1.62 nan nan nan nan nan nan nan nan nan 
K03219.01 0.005 12 0.50 nan nan nan nan nan nan nan nan nan 
K03220.01 0.025 306 0.78 nan nan nan nan nan nan nan nan nan 
K03222.01 0.007 18 1.05 nan nan nan nan nan nan nan nan nan 
K03223.01 0.010 41 1.08 nan nan nan nan nan nan nan nan nan 
K03224.01 0.007 18 2.85 nan nan nan nan nan nan nan nan nan 
K03225.01 0.005 27 3.30 nan nan nan nan nan nan nan nan nan 
K03227.01 0.005 13 1.26 nan nan nan nan nan nan nan nan nan 
K03228.01 0.005 20 0.50 nan nan nan nan nan nan nan nan nan 
K03230.01 0.008 35 1.53 nan nan nan nan nan nan nan nan nan 
K03230.02 0.005 10 3.30 nan nan nan nan nan nan nan nan nan 
K03231.01 0.007 75 1.89 nan nan nan nan nan nan nan nan nan 
K03232.01 0.012 24 1.08 nan nan nan nan nan nan nan nan nan 
K03234.01 0.007 14 0.99 nan nan nan nan nan nan nan nan nan 
K03236.01 0.006 18 2.46 nan nan nan nan nan nan nan nan nan 
K03237.01 0.019 108 0.60 nan nan nan nan nan nan nan nan nan 
K03238.01 0.270 553 0.81 nan nan nan nan nan nan nan nan nan 
K03239.01 0.006 10 2.13 nan nan nan nan nan nan nan nan nan 
K03240.01 0.006 19 0.93 nan nan nan nan nan nan nan nan nan 
K03241.01 0.007 47 2.31 nan nan nan nan nan nan nan nan nan 
K03242.01 0.004 8 2.70 nan nan nan nan nan nan nan nan nan 
K03243.01 0.009 14 1.05 nan nan nan nan nan nan nan nan nan 
K03244.01 0.051 680 0.50 nan nan nan nan nan nan nan nan nan 
K03245.01 0.007 17 1.98 nan nan nan nan nan nan nan nan nan 
K03246.01 0.010 29 0.50 nan nan nan nan nan nan nan nan nan 
K03247.01 0.004 6 1.80 nan nan nan nan nan nan nan nan nan 
K03248.01 0.005 19 1.47 nan nan nan nan nan nan nan nan nan 
K03249.01 0.007 22 1.53 nan nan nan nan nan nan nan nan nan 
K03250.01 0.010 83 2.46 nan nan nan nan nan nan nan nan nan 
K03252.01 0.006 17 1.92 nan nan nan nan nan nan nan nan nan 
K03253.01 0.005 6 2.49 nan nan nan nan nan nan nan nan nan 
K03254.01 0.004 7 3.00 nan nan nan nan nan nan nan nan nan 
K03255.01 0.020 135 0.57 nan nan nan nan nan nan nan nan nan 
K03256.01 0.016 875 0.50 nan nan nan nan nan nan nan nan nan 
K03258.01 0.022 327 3.00 nan nan nan nan nan nan nan nan nan 
K03259.01 0.026 422 2.22 nan nan nan nan nan nan nan nan nan 
K03260.01 0.028 235 0.87 nan nan nan nan nan nan nan nan nan 
K03261.01 0.016 93 1.23 nan nan nan nan nan nan nan nan nan 
K03262.01 0.014 82 1.53 nan nan nan nan nan nan nan nan nan 
K03263.01 0.166 1041 0.50 nan nan nan nan nan nan nan nan nan 
K03264.01 0.020 177 1.11 nan nan nan nan nan nan nan nan nan 
K03265.01 0.424 10499 0.50 nan nan nan nan nan nan nan nan nan 
K03266.01 0.023 262 0.78 nan nan nan nan nan nan nan nan nan 
K03267.01 0.015 93 2.22 nan nan nan nan nan nan nan nan nan 
K03268.01 0.866 226 1.17 nan nan nan nan nan nan nan nan nan 
K03269.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K03270.01 0.275 1613 4.00 nan nan nan nan nan nan nan nan nan 
K03271.01 0.021 228 2.55 nan nan nan nan nan nan nan nan nan 
K03271.02 0.014 103 3.90 nan nan nan nan nan nan nan nan nan 
K03272.01 0.919 98 0.50 nan nan nan nan nan nan nan nan nan 
K03273.01 0.044 175 0.50 nan nan nan nan nan nan nan nan nan 
K03274.01 0.031 243 0.78 nan nan nan nan nan nan nan nan nan 
K03275.01 0.366 3397 0.54 nan nan nan nan nan nan nan nan nan 
K03276.01 0.292 148 1.77 nan nan nan nan nan nan nan nan nan 
K03277.01 0.012 61 1.29 nan nan nan nan nan nan nan nan nan 
K03278.01 0.032 338 0.72 nan nan nan nan nan nan nan nan nan 
K03279.01 0.026 272 2.22 nan nan nan nan nan nan nan nan nan 
K03280.01 0.026 307 2.34 nan nan nan nan nan nan nan nan nan 
K03281.01 0.020 191 1.35 nan nan nan nan nan nan nan nan nan 
K03282.01 0.033 484 0.78 nan nan nan nan nan nan nan nan nan 
