,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K02959.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.74,,,,,,,,,,,,,,,,,,,
K02960.01,PROB,KIC 10876237,0.0,,1.0,297.3176,578.0,,q1_q17_dr24_tce,0.36,0.81,,132.3217,,2.93,KIC,0.0,8.837e-06,,48.2394,61.0,,13.15,,,,,,,
K02961.01,PROB,KIC 10471515,1.0,,2.477e-05,292.3376,191.0,UKIRT 44117906974594,q1_q17_dr24_tce,0.95,0.87,,133.501,47.6649,3.78,KIC,1.0,5.47e-06,,47.6642,37.0,292.3394,12.58,18.6,1.1e-14,UKIRT,66541.0,,,
K02962.01,PROB,KIC 4935172,0.99,,0.0004386,294.8632,549.0,KIC 4935167,q1_q17_dr24_tce,0.5,0.74,,131.7333,40.0062,2.17,KIC,0.99,1.595e-05,,40.0075,79.0,294.8625,14.23,18.7,0.0057,KIC,110882.0,,,
K02963.01,PROB,KIC 8760040,1.0,,0.000107,294.3365,1270.0,,q1_q17_dr24_tce,0.95,0.82,,141.3745,,18.22,KIC,1.0,1.175e-05,,44.9183,196.0,,14.54,,,,,,,
K02963.02,PROB,KIC 8760040,1.0,,0.0002781,294.3365,635.0,,q1_q17_dr24_tce,0.33,0.82,,133.6297,,7.35,KIC,1.0,1.175e-05,,44.9183,95.0,,14.54,,,,,,,
K02964.01,PROB,KIC 10098844,0.99,,0.0002679,299.6759,904.0,UKIRT 44117907017764,q1_q17_dr24_tce,0.94,0.76,,173.4563,47.0769,47.45,KIC,0.99,1.44e-05,,47.0758,209.0,299.6771,14.09,18.83,0.012,UKIRT,145139.0,,,
K02965.01,MATCH,,,,0.006337,,,,q1_q17_dr24_tce,1.0,0.85,,132.0703,,1.35,,0.0,6.169e-06,,,26.0,,,,,,,,,
K02966.01,PROB,UKIRT 44117916988823,1.0,,9.12e-05,292.9089,980852.0,KIC 5014903,q1_q17_dr24_tce,1.0,0.79,,136.1992,40.152,7.73,UKIRT,0.0011,2.053e-05,,40.1529,413.0,292.909,21.58,15.65,0.0011,KIC,3536.0,,,
K02967.01,PROB,KIC 5980783,1.0,,0.0002237,297.1993,4235.0,,q1_q17_dr24_tce,0.95,0.71,,133.2903,,37.3,KIC,1.0,2.922e-05,,41.2264,618.0,,15.53,,,,,,,
K02968.01,PROB,KIC 8873090,1.0,,2.866e-05,286.5801,205.0,,q1_q17_dr24_tce,0.99,0.9,,136.4138,,10.16,KIC,1.0,3.508e-06,,45.1638,35.0,,11.91,,,,,,,
K02969.01,MATCH,,,,0.0004963,,,,q1_q17_dr24_tce,1.0,0.85,,133.8605,,31.97,,0.0,6.413e-06,,,109.0,,,,,,,,,
K02970.01,PROB,KIC 5450893,0.98,,0.0001401,292.5778,361.0,KIC 5450892,q1_q17_dr24_tce,0.78,0.8,,135.7835,40.6691,4.82,KIC,0.98,9.175e-06,,40.6679,43.0,292.5776,12.86,14.12,0.019,KIC,1609.0,,,
K02971.01,PROB,KIC 4770174,0.97,,0.0003781,297.3937,403.0,UKIRT 44117918063601,q1_q17_dr24_tce,0.95,0.68,,134.5876,39.8308,6.1,KIC,0.97,1.691e-05,,39.829,63.0,297.3919,12.74,20.06,0.024,UKIRT,468375.0,,,
K02972.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.87,,,,,,,,,,,,,,,,,,,
K02972.02,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.87,,,,,,,,,,,,,,,,,,,
K02973.01,FPWG,,,,,,,,q1_q17_dr24_tce,1.0,0.85,,,,,,0.0,,,,,,,,,,,,,
K02974.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.82,,,,,,,,,,,,,,,,,,,
K02975.01,PROB,KIC 6948480,1.0,,1.564e-05,291.7875,1967.0,,q1_q17_dr24_tce,1.0,0.83,,230.9379,,175.33,KIC,1.0,1.393e-05,,42.4695,918.0,,15.31,,,,,,,
K02976.01,PROB,KIC 6438099,1.0,,8.624e-05,290.2207,9318.0,UKIRT 44117913929418,q1_q17_dr24_tce,0.56,0.85,,137.0274,41.8682,21.61,KIC,1.0,1.497e-05,,41.8687,1026.0,290.2205,15.86,17.85,6e-05,UKIRT,67125.0,,,
K02977.01,PROB,KIC 11090556,1.0,,4.965e-05,294.8662,490.0,,q1_q17_dr24_tce,0.78,0.85,,131.8605,,2.79,KIC,1.0,7.843e-06,,48.639,54.0,,13.71,,,,,,,
K02977.02,PROB,KIC 11090556,1.0,,0.0001152,294.8662,409.0,,q1_q17_dr24_tce,0.67,0.85,,133.2285,,4.14,KIC,1.0,7.843e-06,,48.639,62.0,,13.71,,,,,,,
K02978.01,MATCH,,,,0.0004691,,,,q1_q17_dr24_tce,1.0,0.78,,134.0341,,2.62,,0.0,2.074e-05,,,277.0,,,,,,,,,
K02979.01,PROB,UKIRT 44117921264782,8.9e-08,,0.0001544,293.0741,488970.0,KIC 2720514,q1_q17_dr24_tce,1.0,0.75,,131.9485,37.9869,1.37,UKIRT,0.0,1.264e-05,,37.9864,41.0,293.0708,18.09,13.33,0.0,KIC,585.0,,,
K02980.01,PROB,KIC 9468551,0.99,,9.837e-05,293.3117,1429.0,UKIRT 44117908372593,q1_q17_dr24_tce,0.64,0.84,,132.3014,46.0424,1.64,KIC,0.99,1.361e-05,,46.0417,163.0,293.3115,15.49,20.34,0.011,UKIRT,156346.0,,,
K02981.01,PROB,KIC 9076971,1.0,,0.0001886,286.2717,3423.0,,q1_q17_dr24_tce,0.3,0.91,,134.751,,9.07,KIC,1.0,9.058e-06,,45.4408,374.0,,15.74,,,,,,,
K02982.01,PROB,KIC 8360640,1.0,,3.978e-05,290.0439,1276.0,KIC 8360644,q1_q17_dr24_tce,1.0,0.87,,135.1799,44.3702,4.02,KIC,1.0,7.834e-06,,44.3706,218.0,290.0451,14.26,17.35,0.00013,KIC,30838.0,,,
K02983.01,PROB,KIC 5695897,0.0,,1.0,288.7186,246165.0,KIC 5695904,q1_q17_dr24_tce,0.44,0.86,,131.7746,40.9861,0.85,KIC,0.0,1.255e-05,,40.9848,185.0,288.7198,19.9,15.59,0.0,KIC,1370.0,,,
K02984.01,PROB,KIC 7918652,0.79,,0.0001548,299.707,473.0,UKIRT 44117911190672,q1_q17_dr24_tce,0.56,0.7,,136.3147,43.6234,11.46,KIC,0.79,1.617e-05,,43.6226,68.0,299.7077,13.07,17.28,0.21,UKIRT,25823.0,,,
K02985.01,PROB,KIC 8847111,0.0,,0.9999,300.7193,13082.0,UKIRT 44117909695426,q1_q17_dr24_tce,1.0,0.7,,132.0117,45.0959,0.58,KIC,0.0,2.524e-05,,45.096,170.0,300.7197,15.02,15.59,0.0,UKIRT,22256.0,,,
K02986.01,MATCH,,,,,,,,q1_q17_dr24_tce,1.0,0.77,,,,,,0.0,,,,,,,,,,,,,
K02987.01,PROB,KIC 4374331,0.93,,0.07219,293.981,96801.0,KIC 4374339,q1_q17_dr24_tce,1.0,0.76,,132.1398,39.4304,0.99,KIC,0.0,1.188e-05,,39.4304,50.0,293.9835,17.72,12.93,0.0,KIC,386.0,,,
K02989.01,PROB,KIC 6636320,0.96,,0.0007654,299.081,2378.0,,q1_q17_dr24_tce,0.33,0.68,,137.138,,6.33,KIC,0.96,3.232e-05,,42.0181,319.0,,15.41,,,,,,,
K02990.01,PROB,KIC 5520547,1.0,,5.717e-05,287.466,1505.0,,q1_q17_dr24_tce,0.95,0.87,,137.5074,,11.2,KIC,1.0,9.418e-06,,40.7585,209.0,,14.98,,,,,,,
K02991.01,MATCH,,,,0.001448,,,,q1_q17_dr24_tce,1.0,0.74,,131.5561,,1.5,,0.0,1.963e-05,,,94.0,,,,,,,,,
K02992.01,PROB,KIC 8509442,1.0,,9.161e-05,296.7372,7793.0,,q1_q17_dr24_tce,1.0,0.77,,152.6777,,82.66,KIC,1.0,2.496e-05,,44.5015,1364.0,,15.99,,,,,,,
K02993.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.84,,,,,,,,,,,,,,,,,,,
K02994.01,PROB,KIC 11244137,1.0,,0.0001036,291.8478,466.0,KIC 11244149,q1_q17_dr24_tce,0.56,0.88,,131.943,48.9683,2.03,KIC,1.0,7.94e-06,,48.9681,58.0,291.8519,14.62,17.36,2.7e-19,KIC,706285.0,,,
K02995.01,PROB,KIC 3848275,1.0,,5.436e-05,290.8677,1837.0,,q1_q17_dr24_tce,0.62,0.81,,131.6285,,5.19,KIC,1.0,1.759e-05,,38.9601,273.0,,15.6,,,,,,,
K02996.01,PROB,KIC 12021625,1.0,,4.263e-05,296.0094,3141.0,,q1_q17_dr24_tce,0.56,0.85,,141.8108,,15.93,KIC,1.0,1.375e-05,,50.4984,573.0,,15.69,,,,,,,
K02997.01,MATCH,,,,0.002566,,,,q1_q17_dr24_tce,1.0,0.83,,132.0808,,1.33,,0.0,1.358e-05,,,118.0,,,,,,,,,
K02998.01,PROB,KIC 4175630,1.0,,4.481e-05,295.6848,7624.0,,q1_q17_dr24_tce,1.0,0.71,,141.4947,,28.23,KIC,1.0,3.294e-05,,39.2561,1227.0,,15.87,,,,,,,
K02999.01,PROB,KIC 7433585,0.0041,,0.9959,288.1476,455.0,,q1_q17_dr24_tce,0.0,0.88,,131.742,,0.55,KIC,0.0041,8.733e-06,,43.0997,1.0,,14.91,,,,,,,
K03000.01,PROB,KIC 5702938,0.0,,8.392e-06,290.9715,201206.0,KIC 5702939,q1_q17_dr24_tce,1.0,0.83,,144.9135,40.9947,18.4,KIC,0.0,9.914e-06,,40.9931,140.0,290.9722,18.37,14.17,0.0,KIC,907.0,,,
K03001.01,PROB,KIC 11709423,0.0,,1.0,289.9245,7843.0,,q1_q17_dr24_tce,0.5,0.9,,131.736,,0.77,KIC,0.0,8.899e-06,,49.8825,410.0,,15.5,,,,,,,
K03002.01,PROB,KIC 3852655,1.0,,0.0001134,292.0819,639.0,,q1_q17_dr24_tce,0.67,0.79,,132.8229,,11.63,KIC,1.0,1.045e-05,,38.915,92.0,,13.26,,,,,,,
K03003.01,PROB,KIC 11255230,1.0,,5.227e-05,296.6187,13771.0,KIC 11255231,q1_q17_dr24_tce,0.95,0.83,,137.5221,48.9058,13.66,KIC,2.3e-07,1.199e-05,,48.9069,162.0,296.62,16.59,14.82,2.3e-07,KIC,1125.0,,,
K03004.01,PROB,KIC 6103377,1.0,,3.317e-05,283.9424,2158.0,,q1_q17_dr24_tce,1.0,0.91,,136.9366,,20.07,KIC,1.0,7.056e-06,,41.4716,352.0,,14.94,,,,,,,
K03004.02,PROB,KIC 6103377,1.0,,5.314e-05,283.9424,1791.0,,q1_q17_dr24_tce,0.98,0.91,,137.4152,,7.04,KIC,1.0,7.056e-06,,41.4716,269.0,,14.94,,,,,,,
K03005.01,PROB,KIC 3747262,0.0,,1.0,291.534,302.0,KIC 3747265,q1_q17_dr24_tce,0.88,0.8,,132.2253,38.8144,1.31,KIC,0.0,8.938e-06,,38.8163,39.0,291.5348,12.52,17.39,0.0,KIC,43416.0,,,
K03006.01,MATCH,,,,0.001165,,,,q1_q17_dr24_tce,1.0,0.83,,131.8407,,1.0,,0.0,1.522e-05,,,57.0,,,,,,,,,
K03007.01,PROB,KIC 10190075,1.0,,9.127e-05,283.3353,1275.0,,q1_q17_dr24_tce,0.33,0.93,,138.043,,11.19,KIC,1.0,5.266e-06,,47.2088,164.0,,14.53,,,,,,,
K03008.01,PROB,KIC 9070666,1.0,,2.925e-05,282.6999,296.0,,q1_q17_dr24_tce,1.0,0.93,,131.7688,,3.0,KIC,1.0,2.743e-06,,45.4258,45.0,,12.0,,,,,,,
K03009.01,PROB,KIC 12405333,1.0,,0.0001011,290.0848,977.0,,q1_q17_dr24_tce,0.44,0.91,,132.1233,,0.76,KIC,1.0,7.731e-06,,51.2086,167.0,,15.17,,,,,,,
K03010.01,PROB,KIC 3642335,1.0,,0.0001869,290.5102,6825.0,,q1_q17_dr24_tce,0.33,0.81,,179.2853,,60.87,KIC,1.0,1.813e-05,,38.7435,789.0,,15.76,,,,,,,
K03011.01,MATCH,,,,0.07039,,,,q1_q17_dr24_tce,1.0,0.86,,132.002,,2.12,,0.0,1.236e-05,,,273.0,,,,,,,,,
K03012.01,PROB,UKIRT 44117912734173,0.94,,1.986e-05,289.3305,3154.0,KIC 7109851,q1_q17_dr24_tce,0.88,0.86,,131.9676,42.6558,1.09,UKIRT,0.00034,6.025e-06,,42.656,27.0,289.3293,14.69,12.99,0.00034,KIC,269.0,,,
K03013.01,PROB,KIC 11565544,1.0,,6.662e-05,294.9681,1700.0,,q1_q17_dr24_tce,0.78,0.85,,131.7571,,3.77,KIC,1.0,9.782e-06,,49.5565,224.0,,14.7,,,,,,,
K03014.01,PROB,KIC 7347246,1.0,,3.133e-05,286.3616,6413.0,,q1_q17_dr24_tce,0.86,0.9,,134.8774,,86.12,KIC,1.0,1.026e-05,,42.9639,911.0,,15.83,,,,,,,
K03015.01,PROB,KIC 11403530,1.0,,7.663e-05,292.1801,278.0,UKIRT 44117905081338,q1_q17_dr24_tce,0.88,0.88,,133.0891,49.2016,3.61,KIC,1.0,5.619e-06,,49.2025,42.0,292.1786,13.22,19.21,3.3e-08,UKIRT,132404.0,,,
K03016.01,PROB,KIC 10617638,0.0,,1.0,297.9493,546.0,,q1_q17_dr24_tce,0.0,0.8,,132.0953,,0.71,KIC,0.0,1.328e-05,,47.8164,0.0,,14.55,,,,,,,
K03017.01,PROB,KIC 12072872,1.0,,0.0001971,296.8593,321.0,,q1_q17_dr24_tce,0.05,0.84,,132.8109,,2.46,KIC,1.0,7.474e-06,,50.5602,45.0,,13.31,,,,,,,
K03018.01,PROB,KIC 7906671,0.0,,6.936e-06,296.7844,2488.0,,q1_q17_dr24_tce,1.0,0.76,,156.9872,,45.12,KIC,0.0,1.717e-05,,43.619,367.0,,14.72,,,,,,,
K03019.01,PROB,KIC 8709688,1.0,,0.0001176,298.4014,1079.0,,q1_q17_dr24_tce,0.33,0.75,,133.8478,,4.18,KIC,1.0,1.968e-05,,44.8382,171.0,,14.93,,,,,,,
K03019.02,PROB,KIC 8709688,1.0,,0.0004954,298.4014,477.0,,q1_q17_dr24_tce,0.12,0.75,,131.5664,,2.01,KIC,1.0,1.968e-05,,44.8382,79.0,,14.93,,,,,,,
K03020.01,PROB,KIC 8241079,0.97,,0.0001725,294.5404,614.0,KIC 8241084,q1_q17_dr24_tce,0.88,0.81,,134.2721,44.1896,10.92,KIC,0.97,9.759e-06,,44.191,94.0,294.5418,13.53,17.92,0.025,KIC,71462.0,,,
K03021.01,PROB,KIC 3348285,0.0,,2.364e-06,292.9778,343.0,KIC 3348287,q1_q17_dr24_tce,1.0,0.76,,131.8086,38.423,0.8,KIC,0.0,1.292e-05,,38.4208,51.0,292.9781,13.7,18.64,0.0,KIC,320022.0,,,
K03022.01,PROB,KIC 11618601,1.0,,0.0001684,295.5865,1157.0,UKIRT 44117905290767,q1_q17_dr24_tce,0.21,0.85,,132.9901,49.6679,2.76,KIC,1.0,1.274e-05,,49.6668,162.0,295.5865,15.4,19.91,9.4e-08,UKIRT,155325.0,,,
K03022.02,PROB,KIC 11618601,0.95,,0.000185,295.5865,1342.0,UKIRT 44117905290767,q1_q17_dr24_tce,0.44,0.85,,135.1059,49.6679,5.05,KIC,0.95,1.274e-05,,49.6668,172.0,295.5865,15.4,19.91,0.048,UKIRT,163722.0,,,
K03023.01,PROB,KIC 7732285,0.013,,0.9873,282.2518,1276.0,,q1_q17_dr24_tce,0.95,0.93,,134.1378,,4.39,KIC,0.013,3.89e-06,,43.4938,107.0,,13.33,,,,,,,
K03025.01,PROB,KIC 9716391,1.0,,8.868e-05,294.3417,3985.0,KIC 9716387,q1_q17_dr24_tce,0.36,0.83,,141.8327,46.499,13.18,KIC,1.0,1.844e-05,,46.4988,488.0,294.3397,16.24,17.19,7.1e-14,KIC,60774.0,,,
K03026.01,PROB,KIC 6929841,1.0,,4.488e-05,284.9286,1525.0,,q1_q17_dr24_tce,0.86,0.91,,134.3037,,3.52,KIC,1.0,7.178e-06,,42.4223,223.0,,14.9,,,,,,,
K03027.01,PROB,KIC 11137180,1.0,,0.0001389,291.6756,2215.0,,q1_q17_dr24_tce,0.88,0.88,,135.3163,,6.07,KIC,1.0,1.036e-05,,48.7626,329.0,,15.49,,,,,,,
K03028.01,MATCH,,,,0.001054,,,,q1_q17_dr24_tce,1.0,0.83,,132.0298,,1.33,,0.0,1.777e-05,,,185.0,,,,,,,,,
K03029.01,PROB,KIC 5903749,0.72,,0.0002814,298.7584,3313.0,UKIRT 44117915169901,q1_q17_dr24_tce,0.33,0.67,,134.8287,41.1606,18.98,KIC,0.72,2.813e-05,,41.1599,389.0,298.7584,14.95,19.29,0.28,UKIRT,202194.0,,,
K03029.02,PROB,KIC 5903749,0.76,,0.0005122,298.7584,1251.0,UKIRT 44117915169901,q1_q17_dr24_tce,0.12,0.67,,133.0049,41.1606,6.35,KIC,0.76,2.813e-05,,41.1599,167.0,298.7584,14.95,19.29,0.24,UKIRT,77060.0,,,
K03030.01,PROB,UKIRT 44117916284423,1.0,,3.163e-05,289.0904,53798.0,KIC 5524881,q1_q17_dr24_tce,0.97,0.85,,136.0332,40.7511,7.2,UKIRT,0.00017,1.327e-05,,40.7508,207.0,289.0911,19.09,15.61,0.00017,KIC,1611.0,,,
K03031.01,PROB,KIC 6949898,1.0,,0.0003278,292.2274,1309.0,,q1_q17_dr24_tce,0.33,0.82,,137.2119,,7.65,KIC,1.0,1.433e-05,,42.452,194.0,,15.27,,,,,,,
K03032.01,PROB,KIC 10585738,1.0,,9.707e-05,285.1569,847.0,,q1_q17_dr24_tce,0.78,0.93,,131.7031,,0.64,KIC,1.0,7.988e-06,,47.8733,139.0,,15.74,,,,,,,
K03033.01,PROB,KIC 7186665,1.0,,0.0001383,287.1224,1214.0,,q1_q17_dr24_tce,0.67,0.89,,137.2205,,8.56,KIC,1.0,7.369e-06,,42.7069,145.0,,14.54,,,,,,,
K03034.01,PROB,KIC 2973386,1.0,,0.0001798,286.9801,5713.0,,q1_q17_dr24_tce,0.67,0.86,,138.0188,,31.02,KIC,1.0,1.24e-05,,38.1652,855.0,,15.57,,,,,,,
K03035.01,PROB,KIC 6388770,0.85,,0.0002419,298.3619,498.0,KIC 6388778,q1_q17_dr24_tce,0.88,0.69,,134.1528,41.7805,21.34,KIC,0.85,1.854e-05,,41.7811,132.0,298.3632,13.87,16.69,0.15,KIC,7978.0,,,
K03036.01,MATCH,,,,0.0195,,,,q1_q17_dr24_tce,1.0,0.65,,189.172,,161.24,,0.0,4.073e-05,,,1421.0,,,,,,,,,
K03037.01,PROB,KIC 6593150,0.71,,0.0003357,287.6022,1861.0,UKIRT 44117913651690,q1_q17_dr24_tce,0.22,0.88,,133.5944,42.0763,5.47,KIC,0.71,1.18e-05,,42.0757,231.0,287.6032,15.86,21.43,0.29,UKIRT,553450.0,,,
K03038.01,PROB,KIC 8051946,1.0,,0.0007422,298.6635,298.0,UKIRT 44117910925078,q1_q17_dr24_tce,0.33,0.73,,132.6951,43.8918,1.5,KIC,1.0,1.745e-05,,43.8941,39.0,298.6653,14.22,19.61,0.0032,UKIRT,438649.0,,,
K03039.01,PROB,KIC 5445681,1.0,,8.866e-05,290.9499,467.0,,q1_q17_dr24_tce,0.95,0.82,,142.744,,20.35,KIC,1.0,9.498e-06,,40.6052,99.0,,13.91,,,,,,,
K03040.01,PROB,KIC 6357290,1.0,,0.002208,289.568,2431.0,,q1_q17_dr24_tce,0.24,0.85,,133.0113,,4.81,KIC,1.0,1.332e-05,,41.7716,302.0,,15.67,,,,,,,
K03041.01,PROB,KIC 4072955,0.77,,0.0001022,295.4626,864.0,UKIRT 44117918957309,q1_q17_dr24_tce,0.36,0.72,,134.0039,39.1681,5.08,KIC,0.77,1.806e-05,,39.1685,108.0,295.4632,14.21,17.52,0.23,UKIRT,21484.0,,,
K03042.01,PROB,KIC 8695311,0.82,,0.0001194,294.1664,3342.0,UKIRT 44117909973704,q1_q17_dr24_tce,0.15,0.82,,158.5738,44.8859,31.03,KIC,0.82,1.851e-05,,44.8863,383.0,294.1668,15.96,18.11,0.18,UKIRT,26669.0,,,
K03043.01,PROB,KIC 9834731,0.99,,0.000119,293.4308,494.0,UKIRT 44117908189719,q1_q17_dr24_tce,0.44,0.85,,134.2261,46.6932,3.09,KIC,0.99,1.067e-05,,46.6921,77.0,293.4291,14.83,20.07,0.0054,UKIRT,188193.0,,,
K03044.01,PROB,KIC 9153554,0.0,,1.0,291.3896,3599.0,KIC 9153559,q1_q17_dr24_tce,0.94,0.86,,131.9641,45.5279,0.75,KIC,0.0,1.274e-05,,45.5272,256.0,291.3907,15.69,18.04,0.0,KIC,48690.0,,,
K03045.01,PROB,KIC 5092266,1.0,,6.891e-05,289.6786,4846.0,,q1_q17_dr24_tce,0.78,0.84,,141.1181,,44.87,KIC,1.0,1.512e-05,,40.2496,633.0,,15.76,,,,,,,
K03047.01,PROB,KIC 9301506,0.19,,0.8072,298.788,1643.0,,q1_q17_dr24_tce,0.69,0.75,,131.7698,,0.61,KIC,0.19,2.127e-05,,45.7742,144.0,,15.25,,,,,,,
K03048.01,PROB,KIC 9714550,0.96,,7.426e-05,293.6193,1308.0,UKIRT 44117907260616,q1_q17_dr24_tce,0.67,0.84,,131.582,46.4126,4.73,KIC,0.96,1.041e-05,,46.4133,164.0,293.6199,14.65,18.49,0.045,UKIRT,70931.0,,,
K03049.01,PROB,KIC 6263593,1.0,,6.248e-05,282.9975,2987.0,,q1_q17_dr24_tce,0.86,0.92,,136.8228,,22.48,KIC,1.0,6.855e-06,,41.6786,486.0,,15.04,,,,,,,
K03050.01,PROB,KIC 5475054,0.34,,0.0004138,298.4482,7837.0,UKIRT 44117917426213,q1_q17_dr24_tce,0.01,0.67,,131.9086,40.6256,1.24,KIC,0.15,3.3e-05,,40.6249,116.0,298.448,16.28,20.0,0.22,UKIRT,259469.0,,,
K03051.01,PROB,KIC 9959492,1.0,,0.0006617,295.1997,1872.0,,q1_q17_dr24_tce,0.12,0.83,,134.8467,,11.68,KIC,1.0,1.419e-05,,46.8323,238.0,,15.28,,,,,,,
K03051.02,PROB,KIC 9959492,1.0,,0.0003309,295.1997,758.0,,q1_q17_dr24_tce,0.0,0.83,,132.096,,1.33,KIC,1.0,1.419e-05,,46.8323,73.0,,15.28,,,,,,,
K03052.01,PROB,KIC 8827575,1.0,,0.000652,295.0903,567.0,,q1_q17_dr24_tce,0.09,0.81,,135.998,,10.13,KIC,1.0,9.74e-06,,45.0812,101.0,,13.57,,,,,,,
K03052.02,PROB,KIC 8827575,1.0,,0.001387,295.0903,762.0,,q1_q17_dr24_tce,0.04,0.81,,144.8725,,15.61,KIC,1.0,9.74e-06,,45.0812,86.0,,13.57,,,,,,,
K03053.01,PROB,KIC 2716801,1.0,,0.0001572,292.2546,4625.0,,q1_q17_dr24_tce,0.43,0.77,,136.1339,,42.52,KIC,1.0,2.333e-05,,37.9714,733.0,,15.76,,,,,,,
K03053.02,PROB,KIC 2716801,1.0,,0.0008885,292.2546,1787.0,,q1_q17_dr24_tce,0.0,0.77,,134.7353,,9.48,KIC,1.0,2.333e-05,,37.9714,213.0,,15.76,,,,,,,
K03054.01,PROB,KIC 6461850,0.0,,,297.1015,4290.0,,q1_q17_dr24_tce,0.0,0.73,,131.5189,,0.54,KIC,0.0,3.208e-05,,41.8769,270.0,,15.97,,,,,,,
K03055.01,MATCH,,,,0.0003549,,,,q1_q17_dr24_tce,1.0,0.84,,131.93,,0.57,,0.0,1.079e-05,,,5.0,,,,,,,,,
K03056.01,PROB,KIC 7216284,1.0,,0.0001947,296.2038,2081.0,,q1_q17_dr24_tce,0.33,0.76,,134.1557,,6.7,KIC,1.0,2.61e-05,,42.7778,248.0,,15.88,,,,,,,
K03057.01,PROB,KIC 3234843,0.84,,0.0001536,291.4095,9564.0,KIC 3234847,q1_q17_dr24_tce,0.64,0.79,,134.6623,38.3403,29.73,KIC,0.84,2.129e-05,,38.34,1053.0,291.4102,15.86,18.22,0.16,KIC,111889.0,,,
K03057.02,PROB,KIC 3234843,0.99,,8.277e-05,291.4095,6105.0,KIC 3234847,q1_q17_dr24_tce,0.64,0.79,,140.8559,38.3403,10.61,KIC,0.99,2.129e-05,,38.34,588.0,291.4102,15.86,18.22,0.013,KIC,71029.0,,,
K03058.01,PROB,UKIRT 44117911163770,1.0,,0.0001019,299.7285,15380.0,KIC 8192911,q1_q17_dr24_tce,0.49,0.7,,135.3416,44.0318,7.54,UKIRT,5.4e-05,3.001e-05,,44.0325,420.0,299.7284,16.81,15.5,5.4e-05,KIC,3757.0,,,
K03059.01,PROB,UKIRT 44117906836020,1.0,,0.0001385,298.6519,235761.0,KIC 10554967,q1_q17_dr24_tce,1.0,0.78,,131.7184,47.7137,0.54,UKIRT,0.0,1.998e-05,,47.7143,340.0,298.6532,19.77,15.55,0.0,KIC,3066.0,,,
K03060.01,PROB,KIC 11019987,1.0,,8.024e-05,286.5806,236.0,,q1_q17_dr24_tce,0.78,0.92,,131.5254,,6.91,KIC,1.0,3.701e-06,,48.5442,39.0,,12.79,,,,,,,
K03061.01,PROB,KIC 4857058,1.0,,0.0004699,297.0421,1877.0,KIC 4857065,q1_q17_dr24_tce,0.67,0.69,,132.1331,39.9091,7.33,KIC,1.0,2.091e-05,,39.9122,237.0,297.0439,14.32,15.67,0.0012,KIC,155621.0,,,
K03061.02,PROB,KIC 4857058,1.0,,0.0004363,297.0421,1210.0,KIC 4857065,q1_q17_dr24_tce,0.38,0.69,,160.8646,39.9091,77.92,KIC,1.0,2.091e-05,,39.9122,253.0,297.0439,14.32,15.67,0.00022,KIC,104113.0,,,
K03062.01,PROB,KIC 7613246,1.9e-28,,1.0,293.5712,801.0,,q1_q17_dr24_tce,0.67,0.81,,131.574,,0.77,KIC,1.9e-28,1.4e-05,,43.2865,83.0,,14.98,,,,,,,
K03063.01,PROB,KIC 10924562,1.0,,0.0002934,293.8902,129750.0,,q1_q17_dr24_tce,0.5,0.86,,149.0421,,18.61,KIC,1.0,1.318e-05,,48.3361,237.0,,15.66,,,,,,,
K03064.01,MATCH,,,,0.4471,,,,q1_q17_dr24_tce,1.0,0.82,,132.0624,,1.33,,0.0,1.795e-05,,,222.0,,,,,,,,,
K03065.01,PROB,KIC 5040077,1.0,,0.000159,298.5397,721.0,UKIRT 44117917470039,q1_q17_dr24_tce,0.96,0.65,,132.2919,40.1839,0.9,KIC,1.0,2.643e-05,,40.1837,137.0,298.5411,14.6,20.97,0.00011,UKIRT,319701.0,,,
K03066.01,PROB,KIC 4067925,0.99,,0.0003189,294.29,7850.0,KIC 4067923,q1_q17_dr24_tce,0.73,0.74,,146.4379,39.1263,24.22,KIC,0.99,2.855e-05,,39.1269,852.0,294.2883,15.91,18.84,0.0068,KIC,308566.0,,,
K03067.01,MATCH,,,,0.007577,,,,q1_q17_dr24_tce,1.0,0.74,,156.1555,,30.96,,0.0,2.156e-05,,,282.0,,,,,,,,,
