,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K00046.01,PROB,KIC 10905239,1.0,,3.283e-07,283.2555,10466.0,,q1_q17_dr24_tce,1.0,0.94,,132.568,,3.49,KIC,1.0,4.123e-06,,48.3552,1310.0,,13.77,,,,,,,
K00046.02,PROB,KIC 10905239,1.0,,0.0003245,283.2555,694.0,,q1_q17_dr24_tce,0.01,0.94,,132.4831,,6.03,KIC,1.0,4.123e-06,,48.3552,53.0,,13.77,,,,,,,
K00048.01,PROB,KIC 7837302,1.0,,7.641e-07,296.5539,223991.0,,q1_q17_dr24_tce,1.0,0.76,,149.9399,,23.84,KIC,1.0,1.291e-05,,43.5432,29676.0,,13.72,,,,,,,
K00049.01,PROB,KIC 9527334,1.0,,2.295e-06,292.249,4183.0,,q1_q17_dr24_tce,1.0,0.86,,134.4232,,8.31,KIC,1.0,7.348e-06,,46.1648,820.0,,13.7,,,,,,,
K00051.01,PROB,KIC 6056992,1.0,,0.001379,295.9188,265955.0,,q1_q17_dr24_tce,0.76,0.74,,133.9362,,10.43,KIC,1.0,1.445e-05,,41.3324,28939.0,,13.76,,,,,,,
K00052.01,PROB,KIC 3558981,1.0,,9.236e-07,294.9774,319975.0,,q1_q17_dr24_tce,1.0,0.72,,132.1555,,2.99,KIC,1.0,1.45e-05,,38.6784,41576.0,,13.11,,,,,,,
K00053.01,PROB,UKIRT 44117920888923,0.75,,7.557e-05,292.0306,713051.0,KIC 2445975,q1_q17_dr24_tce,1.0,0.77,,131.5956,37.7735,3.39,UKIRT,0.25,1.177e-05,,37.7737,4540.0,292.0309,15.46,13.51,0.25,KIC,120805.0,,,
K00061.01,PROB,KIC 8248939,0.0,,1.514e-06,296.936,1428.0,,q1_q17_dr24_tce,1.0,0.76,,132.8637,,1.63,KIC,0.0,1.035e-05,,44.161,234.0,,12.18,,,,,,,
K00063.01,PROB,KIC 11554435,1.0,,3.396e-07,289.2262,23641.0,,q1_q17_dr24_tce,1.0,0.91,,140.1064,,9.43,KIC,1.0,3.29e-06,,49.5482,4044.0,,11.58,,,,,,,
K00064.01,PROB,KIC 7051180,1.0,,1.021e-06,296.5106,8371.0,,q1_q17_dr24_tce,1.0,0.75,,132.1782,,1.95,KIC,1.0,1.263e-05,,42.5474,1171.0,,13.14,,,,,,,
K00069.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.8,,,,,,,,,,,,,,,,,,,
K00070.01,PROB,KIC 6850504,1.0,,1.535e-06,287.698,7877.0,UKIRT 44117913978465,q1_q17_dr24_tce,1.0,0.88,,138.6081,42.3393,10.85,KIC,1.0,4.872e-06,,42.3387,1055.0,287.6991,12.5,17.15,0.0,UKIRT,659432.0,,,
K00070.02,PROB,KIC 6850504,1.0,,1.584e-06,287.698,3301.0,UKIRT 44117913978465,q1_q17_dr24_tce,1.0,0.88,,134.5028,42.3393,3.7,KIC,1.0,4.872e-06,,42.3387,380.0,287.6991,12.5,17.15,0.0,UKIRT,297673.0,,,
K00070.03,PROB,KIC 6850504,1.0,,5.372e-06,287.698,4336.0,UKIRT 44117913978465,q1_q17_dr24_tce,1.0,0.88,,164.7271,42.3393,77.61,KIC,1.0,4.872e-06,,42.3387,842.0,287.6991,12.5,17.15,3.7e-20,UKIRT,388708.0,,,
K00070.04,PROB,KIC 6850504,1.0,,2.734e-05,287.698,766.0,UKIRT 44117913978465,q1_q17_dr24_tce,1.0,0.88,,135.9319,42.3393,6.1,KIC,1.0,4.872e-06,,42.3387,75.0,287.6991,12.5,17.15,0.00081,UKIRT,68359.0,,,
K00070.05,PROB,KIC 6850504,0.93,,9.069e-05,287.698,1019.0,UKIRT 44117913978465,q1_q17_dr24_tce,0.88,0.88,,135.2124,42.3393,19.58,KIC,0.93,4.872e-06,,42.3387,101.0,287.6991,12.5,17.15,0.071,UKIRT,91659.0,,,
K00072.01,PROB,KIC 11904151,1.0,,7.803e-06,285.6794,1310.0,KIC 11904160,q1_q17_dr24_tce,0.89,0.93,,131.5832,50.2425,0.84,KIC,1.0,2.245e-06,,50.2413,13.0,285.6808,10.96,16.41,0.0,KIC,238822.0,,,
K00072.02,PROB,KIC 11904151,1.0,,1.344e-05,285.6794,2883.0,KIC 11904160,q1_q17_dr24_tce,0.95,0.93,,138.6777,50.2425,45.29,KIC,1.0,2.245e-06,,50.2413,487.0,285.6808,10.96,16.41,0.0,KIC,527989.0,,,
K00074.01,PROB,KIC 6889235,1.0,,8.293e-05,298.3242,10321.0,,q1_q17_dr24_tce,0.78,0.71,,133.6672,,5.19,KIC,1.0,1.248e-05,,42.3885,1241.0,,10.96,,,,,,,
