KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
7131.01|9098590|13.414|133.7308260|0.0000982|2.243569243|0.000000267|5.103996|0.05271|0.241132|0.000299|+0.000354|-0.000245|21.09|5.58|+9.32|-1.84|0.3047|0.0146|+0.0189|-0.0103|86.52|4.08605|0.01111|6081|178|186|171|4.526|0.181|0.063|0.300|0.786|0.064|0.081|0.047|0.801|0.212|0.354|0.070|0|0|0.0310|1363|66902.5|106.9|982.4|19.67926|45.40617|0.2976|0.3054|0|0|0.49970|+0.00516|-0.01003|817.05|1099.35|-209.94
7132.01|9098810|11.659|131.5010089|0.0000295|8.258182089|0.000000296|23.914810|0.06972|0.600785|0.003559|+0.003951|-0.003166|58.26|28.38|+49.60|-7.15|0.6074|0.0065|+0.0070|-0.0059|88.81|3.91083|0.00173|5306|155|168|142|4.445|0.305|0.107|0.503|0.802|0.105|0.149|0.062|0.888|0.432|0.756|0.109|0|0|0.0743|809|313576.7|116.5|990.0|19.68464|45.47601|0.4921|0.2072|0|0|3.79393|+0.01106|-0.01395|101.33|292.09|-31.37
7133.01|9099773|13.173|141.3878000|0.0308631|82.784677000|0.003131344|69.554911|22.19438|0.013377|0.000987|+0.000708|-0.001266|1.53|0.46|+0.59|-0.34|0.3953|0.2362|+0.0772|-0.3953|89.95|8.48459|0.98837|5833|167|185|149|4.292|0.233|0.222|0.245|0.782|0.091|0.137|0.045|1.047|0.316|0.403|0.229|0|0|0.3429|450|206.7|26.8|8.4|19.70353|45.47343|0.3300|0.2969|0|0|0.92884|+0.59277|-0.89035|9.66|11.33|-4.34
7134.01|9101208|13.721|132.9536013|0.0175941|1.811413989|0.000033020|3.287061|1.33595|0.008190|0.000547|+0.000066|-0.001027|0.81|0.20|+0.33|-0.07|0.5753|0.2445|+0.0532|-0.4358|79.64|3.57986|0.66675|5941|174|160|187|4.519|0.163|0.035|0.291|1.001|0.120|0.113|0.128|0.911|0.221|0.363|0.078|0|0|0.0291|1466|74.4|8.7|11.0|19.73175|45.44034|0.3541|0.2879|0|0|0.20476|+0.08322|-0.18925|1092.69|1283.96|-288.81
7135.01|9119405|11.922|139.0919622|0.0000358|18.646323285|0.000000814|22.167983|0.04077|0.562833|0.002809|+0.002903|-0.002714|213.76|109.06|+87.71|-130.42|0.7389|0.0046|+0.0045|-0.0046|88.24|8.85963|0.00418|5786|194|203|184|3.542|0.410|0.615|0.205|1.536|0.447|0.304|0.590|3.478|1.774|1.427|2.122|0|0|0.1589|1194|233168.1|88.3|900.8|20.05936|45.40343|0.3719|0.2789|0|0|0.59272|+0.00109|-0.00125|480.54|616.58|-416.35
7136.01|9150870|13.893|374.0091730|0.0473126|441.173693180|0.047542501|221.610236|109.46537|0.024204|0.002069|+0.001739|-0.002399|2.27|0.52|+0.86|-0.17|0.3151|0.2263|+0.1376|-0.3150|89.95|14.82244|2.85560|5610|166|171|162|4.551|0.149|0.027|0.271|0.953|0.086|0.078|0.094|0.858|0.195|0.326|0.064|0|0|1.1175|217|702.2|109.9|11.5|19.35387|45.59841|0.4317|0.2454|0|0|1.05781|+1.56753|-1.04834|0.52|0.60|-0.12
7137.01|9156957|12.746|133.1254783|0.0132695|3.667300504|0.000051726|8.256309|2.07662|0.010864|0.000884|+0.000986|-0.000782|0.62|0.07|+0.07|-0.06|0.1985|0.2253|+0.2523|-0.1984|88.81|3.37250|0.56287|3823|67|84|50|4.729|0.065|0.060|0.070|0.525|0.050|0.050|0.050|0.519|0.055|0.060|0.050|0|0|0.0376|627|144.9|19.7|9.1|19.51906|45.58579|0.4371|0.2889|0|0|0.79163|+0.39822|-0.75925|36.42|13.03|-8.20
7138.01|9159301|11.109|132.4369567|0.0000711|3.044771385|0.000000259|3.596163|0.00417|0.672139|0.000371|+0.000214|-0.000528|232.16|63.89|+48.88|-78.91|0.2983|0.0018|+0.0010|-0.0025|85.37|11.09487|0.00976|8199|284|227|341|3.747|0.195|0.282|0.109|2.039|0.371|0.346|0.396|3.163|0.871|0.666|1.075|0|0|0.0522|2815|488297.7|1315.3|1989.5|19.57956|45.51702|0.2799|0.2853|0|0|0.09490|+0.00011|-0.00012|14849.39|9423.61|-9389.60
7139.01|9163674|12.800|131.6393145|0.0000348|0.773144488|0.000000031|2.391408|0.05089|0.670693|0.022984|+0.014270|-0.031698|139.89|54.27|+65.18|-43.36|0.9168|0.0313|+0.0162|-0.0464|67.61|4.04347|0.01428|6413|218|178|258|4.038|0.252|0.230|0.274|1.453|0.278|0.246|0.311|1.910|0.741|0.890|0.592|0|0|0.0187|2859|221059.9|241.2|3166.4|19.68590|45.51834|0.3092|0.3142|0|0|0.43281|+0.00921|-0.01717|15791.97|22073.72|-9411.28
7140.01|9164788|12.081|133.5071405|0.0222430|2.668111130|0.000067519|1.013935|0.02562|0.008982|0.006644|+0.012281|-0.001006|1.53|0.63|+0.88|-0.38|0.9911|0.0132|+0.0192|-0.0073|12.03|22.48806|2.50943|6593|224|181|266|4.164|0.247|0.174|0.320|1.302|0.266|0.278|0.254|1.561|0.643|0.897|0.389|0|0|0.0411|1792|48.3|3.6|32.5|19.71298|45.52920|0.2869|0.3145|0|0|0.00277|+0.00007|-0.00005|2439.28|4300.86|-1273.09
