koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K00044.01 1.452 1.270 1.679 1.766 1.390 2.453 6733.335 6479.711 6884.037 4.105 3.882 4.258 0.033 -0.132 0.158 9.235 9.137 9.357 865.644 678.188 1194.297 1.104 0.944 1.192 1.227 nan nan nan nan nan nan
K00046.01 0.984 0.940 1.049 1.296 1.046 1.573 5447.077 5400.870 5488.499 4.201 4.063 4.374 0.300 0.212 0.373 10.036 9.914 10.111 690.895 557.315 837.757 0.158 0.123 0.175 0.182 5576 116.0 4.065 0.176 0.3 0.12
K00046.02 0.986 0.941 1.060 1.311 1.052 1.603 5447.757 5402.312 5491.627 4.192 4.053 4.370 0.301 0.217 0.374 10.034 9.901 10.110 698.038 560.864 852.424 0.159 0.126 0.176 0.182 5576 116.0 4.065 0.176 0.3 0.12
K00048.01 1.139 1.042 1.268 1.206 1.042 1.619 6101.162 5911.400 6211.188 4.329 4.114 4.432 0.055 -0.090 0.189 9.511 9.259 9.675 696.182 596.137 938.434 0.503 0.368 0.567 0.594 nan nan nan nan nan nan
K00049.01 0.979 0.951 1.003 0.910 0.890 0.931 5635.191 5587.940 5678.079 4.512 4.494 4.527 0.045 -0.045 0.134 9.397 9.185 9.576 467.717 455.255 480.627 0.238 0.215 0.248 0.252 5900 106.0 4.509 0.019 0.07 0.11
K00052.01 1.076 1.013 1.136 1.077 0.990 1.231 6016.464 5955.395 6094.557 4.407 4.295 4.464 -0.016 -0.183 0.127 9.468 9.189 9.684 600.369 549.475 688.229 0.022 0.005 0.058 0.586 nan nan nan nan nan nan
K00061.01 1.325 1.188 1.550 1.496 1.220 2.136 6296.486 6078.812 6577.046 4.211 3.965 4.345 0.214 0.044 0.348 9.309 9.140 9.477 521.750 420.837 742.142 0.256 0.102 0.438 0.627 nan nan nan nan nan nan
K00063.01 0.981 0.949 1.011 0.910 0.881 0.939 5652.363 5593.180 5720.769 4.513 4.492 4.532 0.026 -0.081 0.125 9.338 9.136 9.558 198.365 191.304 205.694 0.069 0.023 0.132 0.232 5578 101.0 4.518 0.028 0.04 0.16
K00064.01 0.965 0.928 1.188 2.137 2.081 2.363 5315.440 5262.148 5376.932 3.767 3.756 3.777 -0.043 -0.060 0.037 10.033 9.784 10.112 789.444 764.797 863.818 0.128 0.046 0.238 0.843 5302 75.0 3.767 0.011 0.0 0.101
K00069.01 0.937 0.902 0.973 0.937 0.917 0.957 5710.387 5653.394 5771.948 4.467 4.457 4.477 -0.116 -0.202 -0.030 9.720 9.615 9.803 96.668 94.184 99.157 0.073 0.025 0.136 0.278 5669 75.0 4.466 0.01 -0.18 0.101
K00070.01 0.946 0.909 0.983 0.930 0.878 0.999 5573.520 5507.121 5653.747 4.480 4.410 4.530 0.035 -0.068 0.139 9.708 9.314 9.943 296.295 278.596 318.918 0.085 0.029 0.164 0.278 5465 110.0 4.449 0.075 0.02 0.16
K00070.02 0.946 0.910 0.980 0.929 0.879 1.000 5569.888 5505.258 5652.289 4.481 4.410 4.529 0.036 -0.063 0.136 9.707 9.317 9.945 295.933 278.908 318.682 0.083 0.027 0.162 0.278 5465 110.0 4.449 0.075 0.02 0.16
K00070.03 0.946 0.908 0.981 0.929 0.880 0.999 5571.105 5504.330 5648.421 4.481 4.410 4.529 0.035 -0.068 0.135 9.708 9.328 9.947 295.956 279.142 318.475 0.083 0.026 0.161 0.278 5465 110.0 4.449 0.075 0.02 0.16
K00070.04 0.946 0.908 0.981 0.928 0.879 1.000 5569.549 5504.438 5651.496 4.479 4.407 4.529 0.035 -0.064 0.132 9.715 9.313 9.948 295.832 279.224 319.367 0.083 0.026 0.161 0.278 5465 110.0 4.449 0.075 0.02 0.16
K00070.05 0.946 0.910 0.982 0.930 0.880 1.002 5570.743 5505.210 5648.106 4.479 4.407 4.528 0.035 -0.063 0.140 9.725 9.311 9.951 296.082 279.594 319.011 0.085 0.027 0.160 0.278 5465 110.0 4.449 0.075 0.02 0.16
K00072.01 0.917 0.899 0.935 1.063 1.026 1.105 5705.517 5672.345 5737.961 4.347 4.316 4.377 -0.136 -0.174 -0.097 9.961 9.921 9.993 183.808 177.051 191.184 0.014 0.004 0.035 0.137 5627 44.0 4.342 0.03 -0.15 0.04
K00072.02 0.918 0.900 0.935 1.064 1.028 1.105 5705.609 5672.854 5737.843 4.347 4.317 4.376 -0.134 -0.175 -0.094 9.959 9.922 9.991 183.873 177.455 191.256 0.014 0.004 0.034 0.137 5627 44.0 4.342 0.03 -0.15 0.04
K00074.01 1.648 1.573 1.727 1.737 1.559 1.981 9080.478 8903.302 9297.102 4.175 4.080 4.251 -0.694 -0.821 -0.581 9.013 9.003 9.040 662.686 597.013 754.981 0.025 0.006 0.061 0.788 nan nan nan nan nan nan
K00075.01 1.373 1.340 1.412 2.574 2.525 2.624 5990.145 5952.540 6038.010 3.756 3.748 3.765 -0.036 -0.161 -0.023 9.468 9.419 9.550 431.869 421.721 441.347 0.035 0.010 0.076 0.294 5896 75.0 3.756 0.009 -0.17 0.101
K00076.01 1.548 1.392 1.742 1.908 1.532 2.463 6909.046 6746.753 7113.938 4.066 3.892 4.214 0.024 -0.137 0.165 9.161 9.086 9.254 308.958 247.493 398.163 0.128 0.040 0.241 0.323 nan nan nan nan nan nan
K00081.01 1.651 1.576 1.731 1.765 1.579 2.003 8980.368 8819.031 9202.466 4.163 4.072 4.240 -0.651 -0.782 -0.541 9.015 9.004 9.045 820.975 735.147 926.648 0.027 0.007 0.066 0.53 nan nan nan nan nan nan
K00082.01 0.801 0.770 0.823 0.745 0.730 0.757 4885.151 4842.193 4929.323 4.599 4.586 4.608 0.029 -0.070 0.126 9.599 9.301 9.825 110.160 107.552 112.657 0.078 0.026 0.133 0.161 4903 103.0 4.595 0.014 0.08 0.16
K00082.02 0.800 0.770 0.823 0.745 0.729 0.757 4885.949 4841.309 4931.334 4.599 4.585 4.608 0.024 -0.073 0.123 9.604 9.302 9.832 110.200 107.498 112.735 0.080 0.028 0.133 0.161 4903 103.0 4.595 0.014 0.08 0.16
K00082.03 0.799 0.769 0.823 0.744 0.728 0.756 4884.723 4842.352 4930.415 4.599 4.586 4.608 0.023 -0.078 0.123 9.605 9.309 9.827 110.075 107.359 112.503 0.077 0.027 0.131 0.161 4903 103.0 4.595 0.014 0.08 0.16
K00082.04 0.801 0.770 0.823 0.745 0.729 0.757 4884.138 4838.718 4931.143 4.599 4.586 4.608 0.028 -0.074 0.125 9.597 9.303 9.820 110.128 107.449 112.594 0.077 0.026 0.133 0.161 4903 103.0 4.595 0.014 0.08 0.16
K00082.05 0.801 0.772 0.824 0.745 0.730 0.758 4884.377 4840.263 4930.160 4.599 4.586 4.608 0.029 -0.069 0.130 9.600 9.303 9.817 110.157 107.577 112.676 0.076 0.027 0.131 0.161 4903 103.0 4.595 0.014 0.08 0.16
K00084.01 0.921 0.889 0.954 0.840 0.813 0.864 5610.908 5556.978 5672.909 4.554 4.543 4.569 -0.160 -0.267 -0.054 9.196 9.071 9.373 209.333 201.983 215.824 0.044 0.012 0.099 0.43 5543 106.0 4.568 0.015 -0.14 0.16
