koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K03500.02 1.232 1.097 1.450 1.378 1.131 1.963 6297.626 6055.722 6580.769 4.250 4.014 4.382 0.035 -0.115 0.170 9.388 9.200 9.568 732.598 589.941 1038.859 0.301 0.135 0.489 0.649 nan nan nan nan nan nan
K03502.01 0.955 0.888 1.042 0.946 0.853 1.105 5651.342 5444.881 5912.555 4.468 4.350 4.541 -0.012 -0.176 0.126 9.613 9.234 9.937 1430.351 1277.133 1686.789 0.311 0.122 0.526 1.477 nan nan nan nan nan nan
K03503.01 1.213 1.102 1.400 1.328 1.129 1.917 6292.453 6134.267 6434.802 4.271 4.018 4.382 0.023 -0.150 0.146 9.422 9.243 9.551 962.437 809.679 1378.383 0.207 0.099 0.292 0.332 nan nan nan nan nan nan
K03503.02 1.209 1.101 1.427 1.324 1.118 2.001 6289.858 6123.444 6429.897 4.271 3.993 4.389 0.019 -0.160 0.147 9.416 9.229 9.549 960.761 801.339 1434.948 0.205 0.088 0.292 0.332 nan nan nan nan nan nan
K03504.01 1.128 0.999 1.343 1.231 0.994 1.659 6098.128 5751.139 6449.496 4.312 4.114 4.455 0.037 -0.118 0.165 9.463 9.223 9.729 1635.802 1295.132 2231.306 0.756 0.490 0.980 1.499 nan nan nan nan nan nan
K03505.01 0.865 0.815 0.910 0.823 0.773 0.888 5312.204 5168.135 5401.745 4.552 4.479 4.588 -0.014 -0.188 0.140 9.644 9.244 10.022 313.168 291.838 339.349 0.448 0.292 0.534 0.57 nan nan nan nan nan nan
K03506.01 1.605 1.433 1.810 1.978 1.582 2.555 7162.471 6828.959 7532.917 4.052 3.881 4.195 -0.033 -0.233 0.143 9.117 9.045 9.215 1060.973 848.462 1369.481 0.534 0.350 0.714 2.848 nan nan nan nan nan nan
K03508.01 1.129 1.031 1.265 1.202 1.024 1.585 6157.737 5986.023 6288.528 4.333 4.130 4.439 -0.004 -0.194 0.127 9.482 9.232 9.653 1048.621 884.447 1383.845 0.216 0.087 0.297 0.341 nan nan nan nan nan nan
K03509.01 0.768 0.707 1.100 0.728 0.673 5.847 4882.485 4765.280 4999.293 4.604 2.963 4.638 -0.138 -0.288 0.033 9.738 9.291 9.988 284.936 262.108 2326.750 0.206 0.110 0.356 0.419 nan nan nan nan nan nan
K03510.01 1.154 1.058 1.313 1.235 1.062 1.717 6154.511 5965.955 6277.765 4.312 4.085 4.418 0.040 -0.112 0.177 9.481 9.239 9.642 414.009 352.364 573.568 0.312 0.177 0.388 0.424 nan nan nan nan nan nan
K03511.01 1.613 1.516 1.724 1.764 1.548 2.067 8529.734 8356.744 8776.221 4.152 4.042 4.243 -0.521 -0.641 -0.425 9.042 9.013 9.087 183.463 161.250 214.277 0.067 0.018 0.144 0.281 nan nan nan nan nan nan
K03512.01 1.056 0.983 1.135 1.081 0.963 1.315 5994.291 5878.538 6113.453 4.393 4.241 4.475 -0.033 -0.225 0.109 9.554 9.234 9.755 695.760 616.221 845.656 0.129 0.043 0.213 0.254 nan nan nan nan nan nan
K03513.01 1.663 1.558 1.754 2.184 1.877 2.476 7191.485 7118.916 7270.798 3.982 3.895 4.086 -0.054 -0.152 0.049 9.125 9.081 9.172 125.680 108.187 142.214 0.028 0.008 0.068 0.704 7059 124.0 3.946 0.137 -0.14 0.14
K03514.01 0.971 0.918 1.023 0.960 0.875 1.161 5681.510 5569.849 5773.198 4.464 4.304 4.530 0.022 -0.150 0.154 9.678 9.243 9.956 668.602 605.651 809.807 0.196 0.097 0.266 0.297 nan nan nan nan nan nan
K03516.01 1.256 1.121 1.452 1.412 1.158 2.019 6358.263 6149.786 6514.603 4.232 3.987 4.365 0.029 -0.143 0.161 9.391 9.236 9.534 1176.331 951.994 1660.573 0.297 0.158 0.399 0.446 nan nan nan nan nan nan
K03517.01 1.046 0.976 1.113 1.066 0.947 1.342 5879.372 5726.103 5978.776 4.404 4.214 4.485 0.050 -0.105 0.191 9.615 9.271 9.828 1168.473 1029.082 1467.914 0.589 0.469 0.657 0.685 nan nan nan nan nan nan
K03518.01 1.492 1.272 1.726 1.801 1.401 2.423 6792.351 6462.130 7149.644 4.101 3.898 4.256 0.022 -0.150 0.164 9.196 9.095 9.357 1328.920 1027.568 1798.081 0.768 0.554 0.961 2.198 nan nan nan nan nan nan
K03520.01 1.390 1.218 1.634 1.623 1.299 2.315 6536.627 6263.120 6805.058 4.158 3.915 4.300 0.082 -0.049 0.228 9.267 9.138 9.435 1083.078 859.922 1538.531 0.450 0.275 0.624 0.753 nan nan nan nan nan nan
K03521.01 0.753 0.701 0.792 0.711 0.668 0.743 4798.730 4693.013 4864.914 4.616 4.583 4.642 -0.087 -0.264 0.096 9.562 9.204 10.009 331.441 309.494 349.142 0.299 0.148 0.379 0.406 nan nan nan nan nan nan
K03523.01 1.097 0.986 1.258 1.161 0.971 1.565 6081.489 5822.063 6316.752 4.349 4.139 4.467 -0.007 -0.196 0.121 9.494 9.240 9.724 708.665 584.670 963.243 0.385 0.187 0.546 0.648 nan nan nan nan nan nan
K03524.01 0.893 0.844 0.944 0.862 0.806 0.951 5423.340 5312.399 5573.093 4.525 4.430 4.570 -0.026 -0.187 0.119 9.674 9.238 10.025 1062.854 985.981 1177.362 0.157 0.049 0.297 0.411 nan nan nan nan nan nan
K03526.01 1.004 0.933 1.077 1.003 0.897 1.241 5799.992 5619.621 5924.456 4.438 4.273 4.515 0.017 -0.157 0.158 9.633 9.251 9.871 1018.179 901.423 1261.032 0.318 0.160 0.413 0.455 nan nan nan nan nan nan
K03527.01 0.958 0.908 0.999 0.930 0.868 1.061 5643.405 5568.607 5716.516 4.486 4.366 4.536 0.003 -0.169 0.145 9.620 9.221 9.951 630.023 585.245 719.218 0.086 0.031 0.140 0.162 nan nan nan nan nan nan
K03528.01 2.339 2.262 2.388 116.573 108.260 122.446 3656.314 3604.340 3732.358 0.675 0.639 0.725 -0.096 -0.196 -0.030 9.045 9.018 9.077 2686.003 2517.702 2868.021 0.210 0.084 0.322 0.381 nan nan nan nan nan nan
K03529.01 0.789 0.748 0.827 0.753 0.718 0.787 4966.254 4905.714 5068.992 4.589 4.545 4.613 -0.056 -0.207 0.082 9.740 9.351 10.056 627.388 595.329 658.621 0.096 0.027 0.226 0.388 nan nan nan nan nan nan
K03530.01 0.930 0.886 0.970 0.904 0.847 1.025 5533.304 5447.076 5608.420 4.501 4.379 4.549 0.027 -0.126 0.161 9.673 9.247 10.019 1181.706 1102.049 1339.810 0.146 0.062 0.200 0.223 nan nan nan nan nan nan
K03531.01 1.006 0.941 1.070 1.000 0.911 1.174 5815.687 5697.305 5947.965 4.444 4.308 4.508 -0.008 -0.190 0.139 9.595 9.228 9.846 921.522 833.131 1083.558 0.138 0.048 0.247 0.299 nan nan nan nan nan nan
K03532.01 0.973 0.920 1.023 0.963 0.881 1.143 5694.464 5571.689 5782.656 4.464 4.313 4.526 0.023 -0.140 0.157 9.663 9.259 9.940 1004.635 913.305 1193.767 0.264 0.160 0.326 0.351 nan nan nan nan nan nan
K03533.01 1.006 0.932 1.081 1.006 0.908 1.171 5885.062 5751.911 6037.476 4.436 4.319 4.508 -0.077 -0.265 0.086 9.572 9.236 9.809 926.326 831.941 1085.641 0.154 0.049 0.270 0.331 nan nan nan nan nan nan
K03534.01 0.853 0.811 0.891 0.813 0.772 0.864 5211.023 5134.275 5267.901 4.556 4.490 4.588 0.024 -0.141 0.179 9.698 9.266 10.043 1154.406 1089.857 1229.327 0.173 0.089 0.222 0.241 nan nan nan nan nan nan
K03535.01 0.841 0.774 0.902 0.809 0.735 0.901 5404.929 5215.887 5567.815 4.554 4.464 4.605 -0.183 -0.401 -0.003 9.677 9.226 10.028 735.710 663.754 827.022 0.410 0.214 0.563 0.655 nan nan nan nan nan nan
K03536.01 1.398 1.221 1.634 1.620 1.282 2.301 6404.855 6088.372 6681.444 4.166 3.924 4.313 0.252 0.072 0.367 9.261 9.113 9.440 821.239 643.272 1166.765 0.816 0.607 0.992 1.148 nan nan nan nan nan nan
K03537.01 0.819 0.763 0.868 0.782 0.727 0.837 5193.496 5086.450 5360.847 4.573 4.513 4.611 -0.127 -0.325 0.037 9.678 9.233 10.032 653.364 603.636 704.652 0.180 0.052 0.353 0.492 nan nan nan nan nan nan
K03538.01 0.742 0.683 0.791 0.709 0.646 0.757 4936.875 4890.413 4987.385 4.612 4.571 4.655 -0.226 -0.464 -0.029 9.698 9.288 10.029 730.625 662.041 782.888 0.062 0.019 0.118 0.152 nan nan nan nan nan nan
K03539.01 1.003 0.947 1.064 1.000 0.914 1.215 5786.970 5704.323 5865.740 4.441 4.281 4.506 0.019 -0.160 0.160 9.647 9.269 9.864 1244.900 1132.284 1510.642 0.109 0.042 0.153 0.17 nan nan nan nan nan nan
K03540.01 1.018 0.951 1.084 1.018 0.913 1.248 5780.745 5590.496 5910.265 4.432 4.264 4.508 0.073 -0.077 0.217 9.628 9.250 9.877 860.797 763.484 1058.198 0.438 0.277 0.539 0.584 nan nan nan nan nan nan
K03542.01 1.130 1.031 1.260 1.192 1.027 1.596 6127.300 5943.615 6228.357 4.336 4.125 4.438 0.026 -0.140 0.161 9.505 9.259 9.661 1107.638 942.958 1473.748 0.567 0.431 0.628 0.652 nan nan nan nan nan nan
K03543.01 1.394 1.250 1.625 1.645 1.345 2.347 6562.487 6361.523 6711.380 4.146 3.905 4.281 0.078 -0.058 0.212 9.275 9.161 9.395 1267.557 1035.709 1795.777 0.281 0.147 0.367 0.405 nan nan nan nan nan nan
K03544.01 0.768 0.729 0.801 0.724 0.692 0.755 4783.175 4679.289 4886.172 4.608 4.575 4.629 -0.003 -0.160 0.147 9.619 9.249 10.006 812.742 771.744 852.363 0.233 0.079 0.372 0.449 nan nan nan nan nan nan
K03545.01 0.703 0.653 0.744 0.672 0.625 0.708 4572.855 4466.532 4714.348 4.634 4.604 4.665 -0.123 -0.296 0.042 9.665 9.281 10.017 596.512 547.311 634.622 0.229 0.067 0.431 0.568 nan nan nan nan nan nan
K03546.01 0.612 0.590 0.648 0.596 0.575 0.625 4181.293 4096.186 4249.301 4.675 4.655 4.694 -0.165 -0.247 0.059 9.760 9.319 10.075 284.181 269.689 301.911 0.237 0.080 0.347 0.387 nan nan nan nan nan nan
K03547.01 0.850 0.803 0.892 0.808 0.761 0.862 5255.108 5153.465 5339.813 4.560 4.496 4.592 -0.041 -0.206 0.110 9.659 9.247 10.019 495.799 464.687 531.000 0.183 0.071 0.268 0.306 nan nan nan nan nan nan
K03548.01 1.080 0.988 1.184 1.115 0.984 1.441 6087.205 5970.366 6253.620 4.371 4.191 4.462 -0.080 -0.302 0.077 9.517 9.234 9.705 881.227 773.866 1149.375 0.121 0.040 0.235 0.321 nan nan nan nan nan nan
K03549.01 0.926 0.871 0.984 0.893 0.825 1.008 5549.455 5377.472 5706.456 4.508 4.401 4.558 -0.007 -0.177 0.128 9.623 9.230 9.970 1154.587 1057.818 1310.278 0.305 0.143 0.445 0.511 nan nan nan nan nan nan
K03550.01 0.729 0.679 0.767 0.689 0.649 0.718 4635.484 4562.066 4695.442 4.628 4.605 4.652 -0.075 -0.241 0.118 9.526 9.189 9.980 608.385 569.093 637.310 0.179 0.069 0.257 0.287 nan nan nan nan nan nan
K03553.01 0.805 0.740 0.859 0.767 0.704 0.825 5244.824 5174.586 5333.644 4.582 4.522 4.624 -0.210 -0.446 -0.036 9.658 9.220 10.023 946.792 862.073 1022.925 0.109 0.034 0.197 0.242 nan nan nan nan nan nan
K03554.01 0.910 0.854 0.961 0.877 0.813 0.964 5563.301 5477.131 5659.953 4.520 4.432 4.564 -0.093 -0.277 0.066 9.589 9.217 9.952 969.186 895.565 1070.100 0.103 0.031 0.185 0.235 nan nan nan nan nan nan
K03555.01 0.803 0.757 0.847 0.765 0.719 0.813 5038.356 4929.744 5140.433 4.584 4.523 4.614 -0.080 -0.290 0.072 9.664 9.278 10.037 179.821 168.392 192.303 0.193 0.067 0.310 0.362 nan nan nan nan nan nan
K03556.01 1.079 1.009 1.166 1.101 0.988 1.361 5928.251 5783.358 6022.602 4.385 4.223 4.466 0.098 -0.056 0.251 9.558 9.237 9.754 1258.544 1120.297 1554.192 0.452 0.335 0.508 0.529 nan nan nan nan nan nan
K03557.01 1.205 1.096 1.433 1.337 1.116 2.008 6280.376 6126.738 6404.332 4.259 3.989 4.390 0.019 -0.156 0.151 9.426 9.244 9.567 752.534 620.005 1120.089 0.202 0.101 0.276 0.311 nan nan nan nan nan nan
K03558.01 0.863 0.821 0.900 0.820 0.779 0.874 5216.735 5134.096 5274.100 4.553 4.486 4.586 0.065 -0.103 0.223 9.677 9.249 10.047 997.384 941.537 1064.770 0.285 0.191 0.331 0.348 nan nan nan nan nan nan
K03560.01 1.354 1.185 1.584 1.569 1.261 2.248 6494.921 6282.752 6762.798 4.173 3.932 4.315 0.041 -0.130 0.176 9.305 9.156 9.463 479.282 380.622 682.895 0.203 0.068 0.378 0.566 nan nan nan nan nan nan
K03562.01 1.120 1.047 1.211 1.168 1.034 1.456 6067.620 5956.793 6154.342 4.350 4.184 4.438 0.046 -0.109 0.189 9.516 9.242 9.664 1008.375 884.988 1254.875 0.146 0.065 0.183 0.199 nan nan nan nan nan nan
K03563.01 0.818 0.766 0.858 0.779 0.726 0.828 5163.363 5081.770 5227.110 4.577 4.519 4.612 -0.092 -0.286 0.071 9.679 9.267 10.036 914.323 848.251 976.011 0.170 0.073 0.232 0.255 nan nan nan nan nan nan
K03564.01 0.725 0.673 0.780 0.685 0.645 0.730 4803.317 4749.298 4849.182 4.628 4.600 4.657 -0.214 -0.380 -0.013 9.538 9.166 9.996 367.788 344.337 394.443 0.128 0.062 0.167 0.181 nan nan nan nan nan nan
K03565.01 0.956 0.908 1.002 0.930 0.865 1.059 5563.232 5441.245 5643.787 4.489 4.365 4.539 0.102 -0.055 0.252 9.647 9.233 9.979 1318.846 1219.047 1503.054 0.289 0.178 0.350 0.374 nan nan nan nan nan nan
K03566.01 1.157 1.058 1.355 1.258 1.075 1.788 6205.274 6041.577 6377.971 4.299 4.066 4.414 0.007 -0.192 0.128 9.453 9.245 9.627 1009.025 852.890 1431.678 0.189 0.071 0.300 0.37 nan nan nan nan nan nan
K03567.01 1.637 1.475 1.843 2.044 1.661 2.500 7397.567 7198.200 7662.646 4.037 3.901 4.173 -0.119 -0.285 0.068 9.093 9.028 9.160 540.986 441.781 661.039 0.139 0.044 0.265 0.352 nan nan nan nan nan nan
K03568.01 0.926 0.872 0.974 0.900 0.831 1.014 5574.110 5462.121 5667.986 4.504 4.391 4.554 -0.024 -0.215 0.123 9.650 9.237 9.989 1900.751 1744.437 2140.494 0.199 0.089 0.272 0.303 nan nan nan nan nan nan
K03569.01 0.719 0.658 0.770 0.689 0.628 0.736 4775.225 4692.809 4911.757 4.623 4.583 4.665 -0.207 -0.458 -0.011 9.717 9.320 10.043 231.012 209.019 248.827 0.158 0.047 0.339 0.613 nan nan nan nan nan nan
K03570.01 1.223 1.109 1.418 1.350 1.135 1.962 6238.555 6066.837 6372.225 4.260 4.001 4.382 0.073 -0.063 0.220 9.429 9.257 9.561 1555.142 1294.992 2240.083 0.417 0.296 0.496 0.53 nan nan nan nan nan nan
K03571.01 1.159 1.084 1.281 1.231 1.083 1.667 6066.932 5950.165 6149.812 4.315 4.093 4.414 0.123 -0.009 0.265 9.513 9.242 9.648 1604.795 1401.973 2164.966 0.519 0.439 0.551 0.563 nan nan nan nan nan nan
K03573.01 1.126 1.051 1.251 1.191 1.049 1.567 6117.375 5999.490 6202.660 4.334 4.138 4.428 0.021 -0.146 0.143 9.519 9.263 9.665 770.234 672.109 1011.586 0.141 0.059 0.191 0.21 nan nan nan nan nan nan
K03574.01 0.896 0.855 0.934 0.864 0.829 0.904 5442.209 5374.244 5527.958 4.520 4.474 4.556 -0.043 -0.152 0.064 9.710 9.328 9.935 463.536 443.031 486.363 0.100 0.034 0.187 0.286 5420 112.0 4.502 0.047 0.0 0.16
K03576.01 1.154 1.067 1.318 1.254 1.072 1.754 6144.167 6028.750 6219.858 4.299 4.068 4.415 0.036 -0.118 0.172 9.508 9.272 9.639 1316.477 1118.840 1835.038 0.504 0.429 0.539 0.552 nan nan nan nan nan nan
K03577.01 0.863 0.810 0.912 0.825 0.770 0.888 5359.414 5219.906 5486.400 4.549 4.480 4.588 -0.077 -0.252 0.084 9.651 9.223 10.001 465.222 430.592 502.847 0.275 0.125 0.393 0.45 nan nan nan nan nan nan
K03578.01 0.817 0.777 0.850 0.770 0.737 0.803 5003.596 4947.444 5053.763 4.584 4.540 4.606 0.034 -0.133 0.193 9.647 9.250 10.017 283.813 270.821 297.109 0.120 0.052 0.165 0.182 nan nan nan nan nan nan
K03579.01 1.373 1.242 1.605 1.593 1.322 2.318 6468.804 6286.811 6594.381 4.168 3.911 4.295 0.131 -0.002 0.287 9.296 9.174 9.415 1571.858 1299.656 2275.027 0.446 0.329 0.516 0.544 nan nan nan nan nan nan
K03580.01 0.841 0.786 0.885 0.801 0.746 0.860 5270.666 5175.198 5334.966 4.564 4.496 4.601 -0.079 -0.278 0.091 9.663 9.240 10.029 843.430 781.081 908.231 0.307 0.199 0.359 0.379 nan nan nan nan nan nan
K03581.01 0.883 0.821 0.955 0.850 0.782 0.952 5363.413 5138.436 5625.203 4.529 4.443 4.581 0.002 -0.162 0.153 9.641 9.237 10.016 1258.874 1143.758 1429.550 1.023 0.780 1.261 2.133 nan nan nan nan nan nan
K03582.01 0.661 0.614 0.715 0.635 0.594 0.671 4304.968 4219.924 4414.855 4.657 4.635 4.684 -0.077 -0.242 0.154 9.556 9.196 9.980 490.435 450.250 526.719 0.159 0.042 0.322 0.409 nan nan nan nan nan nan
K03583.01 1.578 1.415 1.748 1.934 1.563 2.461 7054.368 6879.257 7333.139 4.059 3.902 4.202 -0.026 -0.218 0.124 9.138 9.070 9.226 956.728 773.936 1216.402 0.140 0.045 0.282 0.783 nan nan nan nan nan nan
K03584.01 0.952 0.910 0.993 0.922 0.866 1.052 5544.993 5465.087 5606.963 4.491 4.368 4.539 0.098 -0.052 0.244 9.663 9.234 9.994 1253.716 1171.665 1429.808 0.200 0.128 0.239 0.254 nan nan nan nan nan nan
K03585.01 0.863 0.806 0.922 0.829 0.759 0.913 5421.496 5305.874 5605.119 4.546 4.459 4.596 -0.146 -0.347 0.030 9.606 9.204 9.991 1042.215 948.463 1156.145 0.164 0.055 0.331 0.504 nan nan nan nan nan nan
K03586.01 0.962 0.897 1.047 0.960 0.869 1.149 5722.008 5586.303 5956.661 4.460 4.314 4.532 -0.059 -0.259 0.094 9.610 9.230 9.921 427.704 383.748 515.504 0.157 0.047 0.344 0.654 nan nan nan nan nan nan
K03587.01 0.871 0.820 0.917 0.835 0.777 0.911 5409.682 5316.157 5501.634 4.545 4.457 4.585 -0.099 -0.274 0.063 9.630 9.210 10.017 597.992 554.582 653.623 0.134 0.045 0.219 0.26 nan nan nan nan nan nan
K03588.01 0.835 0.791 0.875 0.793 0.754 0.837 5145.988 5041.072 5263.752 4.569 4.513 4.597 -0.013 -0.165 0.132 9.682 9.275 10.026 1180.419 1113.603 1253.886 0.210 0.076 0.333 0.399 nan nan nan nan nan nan
K03589.01 0.730 0.671 0.785 0.695 0.640 0.745 4880.861 4781.311 4993.140 4.621 4.582 4.660 -0.241 -0.466 -0.038 9.669 9.247 10.026 665.744 608.346 719.435 0.210 0.074 0.354 0.445 nan nan nan nan nan nan
K03591.01 1.041 0.961 1.120 1.058 0.944 1.257 5970.517 5868.184 6105.318 4.406 4.273 4.486 -0.063 -0.275 0.095 9.548 9.236 9.776 1132.257 1004.375 1348.908 0.095 0.028 0.196 0.253 nan nan nan nan nan nan
K03592.01 1.607 1.574 1.641 1.307 1.254 1.360 11612.892 11381.154 12048.733 4.415 4.378 4.445 -2.046 -2.292 -1.885 9.001 9.000 9.057 2802.149 2678.080 2941.948 0.002 0.001 0.006 0.698 nan nan nan nan nan nan
K03593.01 1.368 1.235 1.590 1.612 1.327 2.324 6528.770 6366.043 6659.939 4.156 3.907 4.289 0.060 -0.083 0.189 9.304 9.186 9.411 572.892 470.384 818.683 0.182 0.077 0.251 0.283 nan nan nan nan nan nan
K03594.01 0.905 0.843 0.969 0.877 0.809 0.977 5547.041 5446.101 5729.822 4.517 4.418 4.566 -0.109 -0.298 0.053 9.604 9.212 9.970 1125.670 1030.178 1260.737 0.121 0.035 0.277 0.617 nan nan nan nan nan nan
K03595.01 1.075 1.015 1.163 1.085 0.974 1.376 5721.954 5597.949 5820.012 4.398 4.218 4.479 0.311 0.169 0.407 9.589 9.232 9.783 1141.330 1018.409 1447.115 0.217 0.107 0.295 0.326 nan nan nan nan nan nan
K03596.01 0.957 0.899 1.018 0.936 0.863 1.038 5678.853 5532.764 5836.475 4.480 4.390 4.538 -0.024 -0.204 0.111 9.588 9.210 9.896 2156.524 1970.380 2400.544 0.194 0.065 0.325 0.398 nan nan nan nan nan nan
K03597.01 1.144 1.018 1.366 1.221 1.001 1.705 6130.832 5829.536 6448.537 4.322 4.103 4.453 0.042 -0.107 0.183 9.430 9.202 9.663 990.643 795.547 1395.296 0.495 0.269 0.705 1.242 nan nan nan nan nan nan
K03598.01 0.900 0.869 0.926 0.853 0.824 0.915 5110.140 5042.318 5158.525 4.535 4.459 4.565 0.388 0.297 0.464 9.677 9.211 10.060 2185.625 2092.949 2338.114 0.374 0.294 0.412 0.426 nan nan nan nan nan nan
K03599.01 0.869 0.827 0.909 0.824 0.784 0.869 5130.785 5065.985 5179.769 4.553 4.496 4.585 0.194 -0.009 0.343 9.651 9.238 10.028 1254.797 1190.140 1330.193 0.365 0.288 0.402 0.415 nan nan nan nan nan nan
K03600.01 1.360 1.234 1.574 1.582 1.310 2.253 6476.117 6318.125 6602.721 4.171 3.927 4.299 0.090 -0.039 0.231 9.309 9.179 9.426 1343.405 1113.315 1904.121 0.178 0.074 0.252 0.285 nan nan nan nan nan nan
K03603.01 0.913 0.839 1.009 0.895 0.805 1.062 5551.731 5321.269 5846.203 4.497 4.371 4.566 -0.056 -0.240 0.100 9.647 9.246 9.991 1145.749 1017.522 1383.236 0.813 0.587 1.061 1.536 nan nan nan nan nan nan
K03604.01 1.087 1.003 1.182 1.141 0.998 1.516 6039.851 5944.356 6114.776 4.353 4.146 4.456 -0.018 -0.202 0.118 9.579 9.263 9.735 976.789 849.171 1289.479 0.339 0.273 0.366 0.377 nan nan nan nan nan nan
K03605.01 0.811 0.752 0.862 0.774 0.716 0.830 5149.697 5034.564 5321.890 4.577 4.518 4.616 -0.121 -0.321 0.045 9.687 9.254 10.045 424.962 391.506 459.447 0.195 0.062 0.379 0.566 nan nan nan nan nan nan
K03606.01 1.262 1.149 1.465 1.417 1.199 2.059 6344.225 6195.611 6462.416 4.228 3.976 4.350 0.051 -0.103 0.174 9.393 9.225 9.513 1233.657 1036.382 1771.722 0.175 0.083 0.241 0.268 nan nan nan nan nan nan
K03607.01 0.779 0.715 0.837 0.742 0.676 0.805 5170.575 4988.836 5295.703 4.596 4.537 4.639 -0.232 -0.455 -0.043 9.645 9.214 10.037 919.108 828.510 1006.203 0.806 0.585 0.939 1.001 nan nan nan nan nan nan
K03608.01 0.974 0.910 1.029 0.961 0.879 1.122 5782.349 5711.084 5857.154 4.464 4.329 4.525 -0.079 -0.278 0.082 9.634 9.235 9.890 540.122 491.383 631.350 0.076 0.025 0.123 0.149 nan nan nan nan nan nan
K03609.01 0.959 0.893 1.018 0.936 0.847 1.096 5638.508 5444.625 5794.874 4.483 4.347 4.544 0.019 -0.141 0.153 9.616 9.244 9.952 1571.161 1405.524 1841.531 0.668 0.488 0.794 0.849 nan nan nan nan nan nan
K03610.01 0.815 0.746 0.878 0.779 0.710 0.855 5358.074 5260.318 5515.563 4.572 4.501 4.620 -0.275 -0.508 -0.076 9.641 9.207 10.015 796.329 720.673 878.193 0.134 0.040 0.279 0.464 nan nan nan nan nan nan
K03612.01 0.869 0.826 0.906 0.824 0.786 0.870 5141.504 5086.063 5187.557 4.553 4.493 4.583 0.171 -0.026 0.322 9.678 9.247 10.037 1479.735 1408.033 1567.446 0.158 0.097 0.186 0.196 nan nan nan nan nan nan
K03613.01 0.882 0.822 0.945 0.852 0.785 0.943 5458.396 5258.512 5655.713 4.530 4.445 4.579 -0.082 -0.249 0.069 9.657 9.240 9.982 1010.271 922.045 1126.053 0.434 0.237 0.610 0.725 nan nan nan nan nan nan
K03614.01 0.699 0.648 0.750 0.666 0.625 0.702 4597.905 4540.446 4651.301 4.638 4.615 4.666 -0.161 -0.339 0.037 9.555 9.187 10.002 758.308 703.596 804.571 0.108 0.036 0.170 0.196 nan nan nan nan nan nan
K03615.01 0.939 0.885 1.001 0.918 0.847 1.038 5599.655 5469.089 5783.715 4.492 4.378 4.547 -0.017 -0.179 0.119 9.624 9.218 9.955 552.225 504.923 628.249 0.191 0.065 0.340 0.448 nan nan nan nan nan nan
K03616.01 0.817 0.767 0.859 0.776 0.727 0.821 5106.295 4966.420 5196.787 4.579 4.526 4.611 -0.034 -0.214 0.124 9.653 9.265 10.033 808.760 750.243 860.511 0.509 0.335 0.607 0.647 nan nan nan nan nan nan
K03617.01 1.546 1.430 1.605 1.725 1.508 1.886 7645.539 7494.741 7855.600 4.157 4.087 4.236 -0.250 -0.387 -0.139 9.099 9.048 9.168 2598.180 2274.561 2837.174 0.072 0.020 0.167 0.256 nan nan nan nan nan nan
K03618.01 0.930 0.886 0.975 0.897 0.851 0.933 6098.338 6030.684 6168.547 4.507 4.475 4.539 -0.485 -0.621 -0.355 9.323 9.111 9.617 2832.770 2675.057 2948.224 0.026 0.007 0.065 0.13 nan nan nan nan nan nan
K03619.01 1.001 0.945 1.055 1.003 0.907 1.259 5750.017 5636.761 5837.851 4.435 4.248 4.511 0.047 -0.108 0.182 9.677 9.251 9.916 448.927 403.024 561.631 0.207 0.108 0.266 0.291 nan nan nan nan nan nan
K03620.01 0.883 0.820 0.932 0.853 0.785 0.939 5505.900 5432.072 5600.328 4.531 4.434 4.580 -0.141 -0.338 0.023 9.636 9.221 10.008 949.336 868.124 1045.982 0.093 0.029 0.170 0.217 nan nan nan nan nan nan
K03621.01 0.615 0.578 0.643 0.589 0.554 0.617 3872.908 3809.028 3938.978 4.688 4.664 4.715 0.297 0.182 0.389 9.655 9.239 10.034 411.777 373.163 440.268 0.164 0.065 0.284 0.429 nan nan nan nan nan nan
K03622.01 1.231 1.141 1.433 1.382 1.166 2.008 6217.789 6103.649 6309.738 4.242 3.987 4.370 0.099 -0.026 0.254 9.435 9.245 9.551 591.863 496.598 855.863 0.234 0.156 0.272 0.286 nan nan nan nan nan nan
K03623.01 0.623 0.585 0.667 0.602 0.567 0.637 4155.366 4100.906 4211.916 4.675 4.653 4.701 -0.097 -0.237 0.117 9.615 9.234 9.999 481.877 444.958 520.868 0.079 0.024 0.145 0.177 nan nan nan nan nan nan
K03624.01 1.609 1.449 1.776 2.001 1.623 2.459 7213.240 6940.042 7489.234 4.044 3.908 4.178 -0.035 -0.226 0.132 9.112 9.047 9.198 1828.304 1481.665 2244.244 0.313 0.167 0.446 0.54 nan nan nan nan nan nan
K03625.01 0.922 0.853 0.996 0.910 0.819 1.038 5667.679 5537.131 5893.467 4.492 4.381 4.558 -0.151 -0.364 0.024 9.622 9.239 9.934 1574.624 1407.442 1809.409 0.168 0.055 0.352 0.519 nan nan nan nan nan nan
