koi rprs secthresh maxrad lhood_heb pr_heb lhood_heb_Px2 pr_heb_Px2 lhood_eb pr_eb lhood_eb_Px2 pr_eb_Px2 lhood_beb pr_beb lhood_beb_Px2 pr_beb_Px2 lhood_boxy pr_boxy lhood_long pr_long lhood_pl pr_pl lhood_tot fp FPP
K00033.01 0.015 206 1.77 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.480e-73 9.630e-75 9.260e-02 1.000e+00 4.910e-09 3.360e-08 0.000e+00 0.000e+00 7.920e-03 1.210e-04 1.180e-16 7.800e-16 1.005e-01 0.073 1.000e+00
K00041.01 0.014 14 1.74 6.230e-62 1.560e-63 6.370e-14 7.140e-18 3.280e-09 4.860e-10 1.420e-02 1.490e-05 7.000e-10 3.050e-11 3.100e-12 8.710e-14 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.240e+00 1.000e+00 4.254e+00 0.215 1.490e-05
K00041.02 0.008 11 1.77 9.170e-34 4.930e-35 4.020e-09 1.420e-12 2.280e-13 7.280e-14 4.870e-04 2.030e-06 8.010e-06 1.160e-06 9.900e-12 1.030e-12 1.600e-03 3.110e-06 0.000e+00 0.000e+00 1.940e+00 1.000e+00 1.942e+00 0.128 6.310e-06
K00041.03 0.010 32 1.80 4.280e-16 4.670e-17 2.920e-07 1.440e-10 1.400e-04 8.120e-05 3.550e-03 1.310e-05 9.840e-04 2.770e-04 7.150e-07 1.250e-07 1.560e-05 9.470e-08 0.000e+00 0.000e+00 1.460e+00 1.000e+00 1.465e+00 0.156 3.710e-04
K00042.01 0.017 16 2.61 6.870e-14 4.600e-15 1.880e-07 3.580e-11 9.620e-10 2.230e-10 1.810e-19 1.880e-22 1.000e-29 1.460e-30 4.000e-28 4.140e-29 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.820e+00 1.000e+00 1.820e+00 0.211 2.590e-10
K00043.01 0.073 1058 0.78 3.060e-312 5.980e-311 5.450e-44 2.260e-44 5.470e-06 1.800e-03 4.220e-02 1.960e-01 4.400e-02 5.930e-01 1.360e-06 1.040e-05 0.000e+00 0.000e+00 8.230e-03 8.890e-03 2.580e-03 2.000e-01 9.702e-02 0.176 8.000e-01
K00044.01 0.102 539 0.50 3.580e-07 8.610e-06 2.210e-34 2.840e-35 2.580e-03 2.350e-01 4.570e-22 2.090e-22 5.750e-07 2.700e-06 2.250e-27 2.920e-27 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.870e-02 7.650e-01 8.128e-02 0.012 2.350e-01
K00045.01 0.138 1904 1.14 0.000e+00 0.000e+00 1.370e-161 1.130e-163 4.610e-02 9.780e-01 5.180e-11 5.950e-12 9.260e-03 1.660e-02 3.360e-12 3.560e-12 0.000e+00 0.000e+00 8.620e-03 3.090e-04 1.790e-03 5.480e-03 6.577e-02 0.056 9.950e-01
K00046.01 0.032 22 0.50 0.000e+00 0.000e+00 6.430e-56 4.750e-58 3.420e-48 3.410e-48 6.650e-12 4.280e-13 5.260e-40 1.190e-41 6.230e-32 1.440e-33 0.000e+00 0.000e+00 8.300e-03 1.510e-04 1.560e-01 1.000e+00 1.643e-01 0.172 1.510e-04
K00046.02 0.007 33 3.60 1.630e-143 1.160e-142 1.600e-21 2.770e-22 2.350e-32 1.020e-30 4.230e-08 3.960e-08 3.340e-05 1.230e-03 1.200e-04 3.450e-03 3.550e-03 2.050e-03 5.600e-04 3.230e-04 4.230e-02 9.930e-01 4.656e-02 0.028 7.060e-03
K00048.01 0.280 111 0.50 1.110e-23 9.340e-23 1.920e-02 1.580e-03 7.840e-03 2.930e-01 1.490e-02 1.400e-02 2.680e-02 5.950e-02 3.730e-03 7.640e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.460e+00 6.240e-01 1.532e+00 0.001 3.760e-01
K00049.01 0.026 44 0.50 7.010e-51 7.720e-53 2.620e-11 2.290e-15 3.590e-20 1.580e-21 5.790e-14 2.870e-17 3.290e-08 4.270e-11 1.970e-15 2.110e-18 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.060e+01 1.000e+00 1.060e+01 0.206 4.270e-11
K00051.01 0.462 280 0.66 1.010e-19 2.340e-19 1.400e-08 1.680e-09 2.610e-11 3.770e-10 1.080e-09 1.420e-09 1.050e-01 3.880e-01 3.670e-04 8.560e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.440e+00 6.110e-01 2.545e+00 0.001 3.890e-01
K00052.01 0.199 1555 0.50 8.330e-33 6.820e-35 6.090e-08 1.850e-11 2.090e+00 4.670e-01 1.510e-03 5.390e-06 2.150e-02 1.740e-04 2.630e-20 1.180e-22 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.280e+01 5.330e-01 1.491e+01 0.030 4.670e-01
K00053.01 0.098 896 0.50 0.000e+00 0.000e+00 6.610e-91 4.070e-95 6.050e+00 4.530e-01 9.600e-05 6.420e-08 1.960e-02 1.940e-05 6.990e-19 4.860e-22 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.430e+01 5.470e-01 4.037e+01 0.076 4.530e-01
K00061.01 0.209 20 0.50 6.220e-57 5.790e-54 3.560e-18 4.930e-16 9.410e-23 1.020e-18 2.060e-07 3.520e-04 6.020e-30 1.120e-26 7.770e-04 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.080e-112 1.680e-109 7.772e-04 0.001 1.000e+00
K00063.01 0.059 38 0.50 7.380e-08 6.450e-09 1.320e-10 4.670e-14 1.990e-02 6.860e-03 2.280e-02 7.050e-05 1.000e-04 6.290e-07 5.330e-22 1.780e-24 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.450e+00 9.930e-01 7.493e+00 0.051 6.930e-03
K00064.01 0.039 70 0.50 4.890e-01 1.110e-02 1.760e-01 1.020e-04 2.610e+00 1.400e-01 8.780e-01 3.160e-03 1.360e-01 9.650e-04 5.100e-07 1.860e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.090e+00 8.450e-01 9.379e+00 0.054 1.550e-01
K00066.01 0.291 590 1.44 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
K00068.01 0.231 416 0.50 1.980e-08 1.480e-09 2.850e-03 7.000e-06 1.880e+00 9.540e-01 6.590e-01 2.080e-02 9.810e-01 1.240e-02 1.210e-01 8.510e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.190e-01 1.230e-02 3.763e+00 0.010 9.880e-01
K00069.01 0.016 6 3.60 3.380e-25 1.730e-27 3.490e-04 2.670e-08 3.100e-20 6.830e-22 2.830e-05 9.410e-09 3.450e-04 5.110e-05 3.470e-19 4.840e-20 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.140e+01 1.000e+00 1.140e+01 0.158 5.120e-05
K00070.01 0.030 30 0.50 1.440e-102 1.210e-104 4.760e-12 2.060e-16 9.970e-06 4.310e-07 3.880e-07 1.990e-10 1.260e-03 9.950e-07 1.810e-15 8.470e-19 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.820e+01 1.000e+00 1.820e+01 0.192 1.430e-06
K00070.02 0.018 17 0.50 3.310e-102 1.230e-105 1.930e-31 3.500e-36 8.620e-11 2.360e-13 1.090e-04 2.550e-08 3.860e-03 6.850e-07 3.980e-15 6.250e-19 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.900e+01 1.000e+00 4.900e+01 0.180 7.100e-07
K00070.03 0.026 78 0.50 1.060e-19 5.830e-21 2.420e-23 6.170e-27 1.050e-04 2.660e-05 2.580e-12 8.490e-15 1.120e-06 8.660e-09 1.820e-10 6.830e-13 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.640e+00 1.000e+00 2.640e+00 0.205 2.660e-05
K00070.04 0.008 25 0.90 2.180e-70 2.790e-72 6.720e-15 1.770e-18 3.540e-19 2.960e-20 5.410e-05 1.330e-07 7.220e-03 6.870e-05 1.510e-04 1.000e-06 3.910e-05 3.930e-08 0.000e+00 0.000e+00 1.090e+01 1.000e+00 1.091e+01 0.062 6.990e-05
K00070.05 0.009 42 2.04 1.330e-24 1.300e-25 4.660e-07 3.970e-10 1.770e-07 8.700e-08 1.540e-03 1.200e-05 2.470e-02 5.730e-03 1.180e-03 1.640e-04 3.240e-05 1.950e-07 0.000e+00 0.000e+00 3.020e+00 9.940e-01 3.047e+00 0.075 5.910e-03
K00072.01 0.013 9 1.05 1.150e-42 1.050e-45 0.000e+00 0.000e+00 2.340e-21 6.560e-24 1.410e-04 1.710e-08 1.870e-01 1.120e-04 8.110e-19 3.020e-22 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.020e+01 1.000e+00 5.039e+01 0.145 1.120e-04
K00072.02 0.020 29 1.83 4.980e-23 3.630e-23 4.230e-14 1.160e-16 1.340e-05 3.540e-05 2.100e-15 4.350e-17 1.500e-07 1.230e-07 2.160e-23 7.630e-24 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.550e-01 1.000e+00 2.550e-01 0.214 3.550e-05
K00074.01 0.025 25 1.95 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.400e-14 6.340e-13 1.190e-02 2.820e-03 5.660e-23 1.440e-21 1.100e-27 2.360e-26 0.000e+00 0.000e+00 8.610e-03 1.100e-03 3.050e-02 9.960e-01 5.101e-02 0.122 3.920e-03
K00075.01 0.037 47 2.37 9.170e-17 4.730e-17 7.660e-23 2.230e-25 1.610e-66 4.120e-66 1.780e-67 1.940e-69 3.820e-62 5.100e-62 6.290e-83 4.250e-83 2.970e-03 1.070e-04 0.000e+00 0.000e+00 9.490e-01 1.000e+00 9.520e-01 0.058 1.070e-04
K00076.01 0.033 397 1.77 1.490e-15 5.790e-16 2.220e-20 3.320e-23 1.870e-05 4.440e-05 5.160e-21 4.670e-23 1.060e-75 6.260e-76 5.440e-64 1.520e-64 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.470e+00 1.000e+00 1.470e+00 0.051 4.440e-05
K00080.01 0.267 95 0.50 8.040e-06 2.450e-06 1.200e-04 2.210e-07 5.670e-01 9.650e-01 2.140e-01 5.740e-03 3.810e-01 2.850e-02 9.970e-03 4.310e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.580e-03 1.260e-04 1.180e+00 0.001 1.000e+00
K00081.01 0.038 15 1.38 0.000e+00 0.000e+00 1.190e-287 5.770e-286 6.490e-39 5.090e-34 7.830e-35 5.110e-32 0.000e+00 0.000e+00 1.490e-177 3.290e-173 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.160e-05 1.000e+00 2.160e-05 0.055 0.000e+00
K00082.01 0.031 29 0.50 2.980e-14 5.330e-16 8.320e-07 7.200e-11 5.770e-09 2.660e-10 9.000e-14 2.950e-17 7.930e-03 1.040e-05 2.560e-04 2.060e-07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.550e+00 1.000e+00 9.558e+00 0.210 1.060e-05
K00082.02 0.017 18 0.50 8.620e-19 2.140e-19 5.270e-05 6.620e-08 3.210e-17 2.100e-17 1.450e-08 7.990e-11 1.160e-02 1.800e-04 5.650e-07 5.000e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.230e+00 1.000e+00 1.242e+00 0.128 1.800e-04
K00082.03 0.012 41 1.35 7.310e-17 5.610e-17 2.310e-03 6.790e-06 1.520e-14 3.150e-14 7.410e-05 8.680e-07 2.330e-02 7.280e-03 9.210e-04 2.540e-04 1.840e-05 6.740e-07 0.000e+00 0.000e+00 7.410e-01 9.920e-01 7.676e-01 0.082 7.540e-03
K00082.04 0.008 16 0.99 9.780e-21 1.930e-21 2.070e-03 3.300e-06 7.270e-19 4.650e-19 4.990e-03 1.730e-05 5.360e-02 3.470e-03 3.540e-04 1.780e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.280e+00 9.960e-01 5.341e+00 0.018 3.510e-03
K00082.05 0.006 16 1.26 1.100e-19 2.050e-19 7.700e-03 2.020e-04 5.340e-19 3.440e-18 1.040e-03 5.720e-05 8.260e-03 1.020e-02 2.670e-04 3.290e-04 8.940e-05 1.040e-05 1.660e-06 1.930e-07 6.570e+00 9.890e-01 6.587e+00 0.001 1.080e-02
K00082.06 0.009 37 3.90 2.560e-06 7.170e-07 1.270e-01 2.840e-04 6.230e-06 5.040e-06 6.640e-02 3.890e-04 1.340e-01 1.760e-01 5.490e-02 7.090e-02 5.380e-05 8.990e-07 0.000e+00 0.000e+00 2.300e+00 7.520e-01 2.682e+00 0.039 2.480e-01
K00084.01 0.024 17 0.50 1.900e-62 1.340e-64 3.330e-09 1.220e-13 1.390e-08 3.770e-10 2.000e-09 6.160e-13 1.230e-04 2.090e-07 9.800e-17 1.040e-19 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.110e+01 1.000e+00 2.110e+01 0.219 2.100e-07
K00085.01 0.016 8 1.29 9.250e-214 6.040e-216 5.470e-61 5.510e-65 3.770e-08 1.630e-09 1.060e-07 1.260e-10 1.090e-10 1.310e-12 3.950e-15 3.910e-17 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.980e+00 1.000e+00 5.980e+00 0.208 1.760e-09
K00085.02 0.009 5 1.83 1.400e-141 4.220e-142 3.500e-28 6.840e-31 8.750e-21 1.620e-20 3.200e-06 1.210e-07 3.420e-13 3.360e-13 1.890e-10 1.100e-10 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e-01 1.000e+00 2.000e-01 0.136 1.210e-07
K00085.03 0.010 12 1.41 4.800e-63 5.660e-65 0.000e+00 0.000e+00 2.890e-11 2.740e-12 7.180e-07 6.570e-10 2.840e-04 4.770e-06 5.080e-14 7.380e-16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.310e+00 1.000e+00 7.310e+00 0.153 4.770e-06
K00087.01 0.024 113 1.02 7.550e-16 5.450e-16 9.710e-24 2.990e-26 5.650e-03 2.000e-02 9.000e-15 4.010e-16 2.690e-07 7.910e-08 2.750e-08 6.640e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.520e-01 9.800e-01 2.577e-01 0.211 2.000e-02
K00088.01 0.212 6 0.50 3.280e-23 1.750e-21 3.750e-03 3.510e-03 2.380e-09 6.010e-07 2.680e-02 1.490e-01 2.690e-02 3.990e-01 2.420e-02 4.490e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.350e-27 2.610e-25 8.165e-02 0.011 1.000e+00
K00089.01 0.017 31 0.75 0.000e+00 0.000e+00 4.590e-104 1.200e-106 1.450e-06 1.100e-05 1.850e-05 1.720e-06 3.810e-30 7.110e-30 9.300e-20 6.050e-20 8.870e-05 1.640e-05 0.000e+00 0.000e+00 6.710e-02 1.000e+00 6.721e-02 0.201 2.910e-05
K00089.02 0.023 71 1.02 3.530e-82 5.110e-83 3.780e-21 2.470e-24 1.630e-01 1.420e-01 7.940e-03 8.590e-05 2.280e-05 4.840e-06 1.730e-07 3.380e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.620e-01 8.580e-01 1.033e+00 0.131 1.420e-01
K00090.01 0.011 12 0.50 2.510e-43 2.030e-41 1.040e-12 2.150e-12 2.150e-59 4.320e-57 8.730e-08 1.040e-06 1.490e-08 2.620e-07 8.820e-02 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.220e-43 7.290e-40 8.820e-02 0.123 1.000e+00
K00092.01 0.024 46 0.60 1.100e-03 1.770e-04 4.730e-05 4.830e-08 4.320e-01 2.860e-01 1.160e-02 9.700e-05 5.470e-03 8.360e-05 2.870e-09 1.620e-11 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.870e-01 7.140e-01 1.337e+00 0.197 2.860e-01
K00094.01 0.069 40 0.50 0.000e+00 0.000e+00 2.970e-58 3.320e-61 2.170e-09 1.540e-09 2.270e-05 2.070e-07 2.860e-18 1.990e-19 2.180e-46 1.310e-47 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.210e+00 1.000e+00 2.210e+00 0.062 2.080e-07
K00094.02 0.026 25 0.50 0.000e+00 0.000e+00 3.970e-74 4.200e-77 5.010e-07 5.390e-07 4.340e-08 6.360e-10 1.360e-20 1.070e-21 4.410e-17 1.950e-18 0.000e+00 0.000e+00 0.000e+00 0.000e+00 6.870e-01 1.000e+00 6.870e-01 0.156 5.390e-07
K00094.03 0.042 72 0.50 0.000e+00 0.000e+00 1.540e-90 1.010e-91 5.290e-08 2.780e-06 7.530e-04 4.680e-04 8.850e-12 4.840e-11 5.040e-21 9.200e-21 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.880e-02 1.000e+00 4.955e-02 0.053 4.710e-04
K00094.04 0.010 17 0.63 0.000e+00 0.000e+00 3.850e-245 7.700e-244 5.520e-25 1.680e-21 1.460e-11 4.340e-09 2.990e-106 2.700e-103 1.340e-35 9.380e-33 1.180e-04 5.410e-03 0.000e+00 0.000e+00 6.780e-05 9.950e-01 1.858e-04 0.133 5.410e-03
K00097.01 0.080 54 0.50 0.000e+00 0.000e+00 3.580e-141 1.850e-145 4.130e-06 1.470e-07 2.390e-02 1.220e-05 3.100e-41 4.360e-44 4.000e-29 4.660e-32 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.970e+01 1.000e+00 1.972e+01 0.055 1.240e-05
K00098.01 0.045 23 0.50 0.000e+00 0.000e+00 1.670e-82 1.170e-86 1.860e-05 1.050e-06 4.900e-04 3.510e-07 6.240e-46 8.460e-49 3.540e-82 2.590e-85 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.230e+01 1.000e+00 1.230e+01 0.068 1.410e-06
K00100.01 0.050 41 0.50 3.950e-62 7.090e-61 6.070e-10 5.940e-11 4.070e-04 3.200e-02 1.160e-01 1.890e-01 6.430e-03 2.580e-02 1.490e-03 3.120e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.820e-02 7.500e-01 1.425e-01 0.053 2.500e-01
K00102.01 0.028 12 2.07 4.650e-191 3.150e-193 4.160e-35 5.310e-39 1.960e-06 6.200e-08 8.680e-06 1.760e-08 1.730e-03 1.370e-04 4.420e-30 2.420e-31 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.500e+00 1.000e+00 4.502e+00 0.172 1.370e-04
