,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K02116.01,1.7757e-06,9.92100040913e-07,1.99247e-09,0.0,2.842e-12,2.845e-07,2.8711e-15,1.596e-09,0.0,0.7219,0.196,6.928e-05,0.00517500021196,7.51771e-06,0.0,2.782e-09,0.0004516,1.2225e-11,1.6578e-05,0.0,14.64,1.37600005569e-06,2.7716e-09,0.0,3.942e-12,3.941e-07,3.976e-15,2.209e-09,0.0,1.0
K02117.01,0.010627,2.955e-05,3.134e-06,0.0,2.203385e-15,2.067e-08,3.342095e-17,7.783e-09,0.0,0.003046,0.176,0.3772,0.11102,0.01663,0.0,6.356e-13,0.0003444,2.828604e-14,0.0003551,0.0,0.4902,0.009595,0.0010186,0.0,7.21445e-13,6.746e-06,1.086671e-14,2.525e-06,0.0,0.9892
K02118.01,0.62,0.0006027,0.006321,1.88e-10,5.8082e-06,8.533e-05,5.492e-10,1.795e-06,0.0,0.004294,0.147,47.71,0.02388,0.2855,3.76e-06,0.0014698,0.1799,6.546e-07,0.02574,0.0,0.1938,0.05328,0.5585,1.667e-08,0.00051012,0.007573,4.872e-08,0.0001591,0.0,0.38
K02119.01,0.0002334,0.0008326,3.494e-09,0.0,2.9048e-12,5.003e-05,9.4256e-11,5.0246e-06,0.0,3.801,0.126,0.005857,0.9651,4.51e-06,0.0,3.9386e-09,0.0827,3.2035e-07,0.044309,0.0,98.62,0.0002188,9.211e-10,0.0,7.6891e-13,1.3112e-05,2.4765e-11,1.3222e-06,0.0,1.0
K02120.01,0.979,1.4563e-11,1.3663255e-11,1.22e-07,3.34932e-24,6.75330194e-19,9.58e-13,2.843466e-15,0.0,2.658e-09,0.121,1335.4,1.7107e-08,2.6755821e-08,0.00245,4.12845e-22,6.97828198e-15,4.953e-10,1.315642e-10,0.0,2.905e-07,0.00011553,0.00010913572,0.9786,2.615419e-17,5.38522154e-12,7.65e-06,2.26142e-08,0.0,0.02113
K02121.01,0.000321,6.19e-05,7.073e-07,0.0,1.148351e-11,2.4936e-07,5.663e-17,3.33e-08,0.0,0.1957,0.141,0.009033,0.03012,0.0003402,0.0,2.45644e-09,0.0008173,6.805e-14,0.0007433,0.0,16.4,0.0003158,3.617e-06,0.0,5.88724e-11,1.2724e-06,2.891e-16,1.7013e-07,0.0,1.0
K02122.01,0.0003007,7.931e-08,3.976e-10,2.02e-07,8.855e-08,2.4367115e-10,5.74972e-13,4.0306e-13,0.0,0.001231,0.213,0.01276,9.436e-05,7.736e-07,0.00403,1.3729e-05,2.6608202e-06,5.89591e-10,3.67446e-08,0.0,0.1577,6.425e-05,3.231e-07,0.0001639,7.204e-05,1.9785801e-07,4.67855e-10,3.27575e-10,0.0,1.0
K02123.01,0.01302,2.442e-06,2.1405e-08,1.73e-07,1.8e-05,5.435e-10,7.569e-07,3.201857e-08,0.0,0.001625,0.159,0.4187,0.0005202,6.554e-06,0.00346,0.001916,4.559e-06,0.0003829,0.001338273,0.0,0.2014,0.001486,1.3035e-05,0.0001053,0.010932,3.304e-07,0.0004586,1.929757e-05,0.0,0.987
K02124.01,0.01657,9.642e-06,6.027e-06,2.91e-09,1.0672e-16,8.996e-09,1.745e-20,2.629e-10,0.0,0.0009315,0.102,0.343,0.01684,0.01762,5.83e-05,6.225e-14,0.000391,2.95e-17,3.602e-05,0.0,0.6143,0.010164,0.006363,3.077e-06,1.1371e-13,9.56e-06,1.8416e-17,2.793e-07,0.0,0.9834
K02125.01,0.03466,4.232e-06,4.087e-07,0.0,3.0474e-06,1.7926e-07,4.02095e-09,2.655e-10,0.0,0.0002182,0.157,1.1227,0.007894,0.0009108,0.0,0.0005217,0.0013808,3.24008e-06,1.336e-05,0.0,0.03043,0.01873,0.001819,0.0,0.013267,0.0008089,1.7947e-05,1.172e-06,0.0,0.9652
K02126.01,0.0012992,9.332e-05,4.452e-06,0.0,3.4083e-09,1.3072e-09,8.2219e-16,5.593e-10,0.0,0.07506,0.205,0.05314,0.0235,0.001988,0.0,5.8755e-07,6.686e-06,4.8174e-13,9.844e-06,0.0,7.825,0.0012385,5.923e-05,0.0,4.5245e-08,1.7419e-08,1.0911e-14,7.434e-09,0.0,0.9989
K02127.01,0.008237,0.0001627,0.000129,0.0,5.73e-05,8.092e-05,3.791e-08,8.942e-06,0.0,0.05286,0.213,0.3521,0.6774,0.5169,0.0,0.012551,0.09847,3.975e-05,0.05257,0.0,1.969,0.003058,0.002421,0.0,0.0010734,0.0015163,7.08e-07,0.0001678,0.0,0.9916
