koi has_ttv
K00484.01 True 
K00485.01 False 
K00486.01 False 
K00487.01 False 
K00488.01 False 
K00489.01 False 
K00490.01 False 
K00490.02 False 
K00490.03 False 
K00490.04 False 
K00491.01 False 
K00492.01 False 
K00493.01 False 
K00494.01 False 
K00495.01 False 
K00496.01 False 
K00497.01 False 
K00497.02 False 
K00499.01 False 
K00500.01 True 
K00500.02 True 
K00500.03 True 
K00500.04 True 
K00500.05 True 
K00501.01 False 
K00502.01 False 
K00503.01 False 
K00504.01 False 
K00505.01 False 
K00505.02 False 
K00505.03 False 
K00505.04 False 
K00505.05 False 
K00506.01 False 
K00507.01 False 
K00508.01 False 
K00508.02 False 
K00509.01 True 
K00509.02 True 
K00509.03 True 
K00510.01 False 
K00510.02 False 
K00510.03 False 
K00510.04 False 
K00511.01 False 
K00511.02 False 
K00512.01 False 
K00513.01 False 
K00514.01 False 
K00515.01 False 
K00516.01 False 
K00517.01 False 
K00518.01 False 
K00518.02 False 
K00518.03 False 
K00519.01 False 
K00519.02 False 
K00520.01 True 
K00520.02 True 
K00520.03 True 
K00520.04 True 
K00521.01 False 
K00521.02 False 
K00522.01 False 
K00523.01 False 
K00523.02 False 
K00524.01 True 
K00525.01 True 
K00526.01 False 
K00527.01 False 
K00528.01 True 
K00528.02 True 
K00528.03 True 
K00529.01 False 
K00530.01 False 
K00531.01 False 
K00532.01 False 
K00533.01 False 
K00533.02 False 
K00534.01 False 
K00534.02 False 
K00535.01 False 
K00536.01 True 
K00537.01 False 
K00538.01 False 
K00540.01 False 
K00541.01 False 
K00542.01 False 
K00542.02 False 
K00543.01 False 
K00543.02 False 
K00544.01 False 
K00545.01 False 
K00546.01 False 
K00546.02 False 
K00547.01 False 
K00547.03 False 
K00548.01 False 
K00548.02 False 
K00549.01 False 
K00549.02 False 
K00550.01 False 
K00551.01 False 
K00551.02 False 
K00552.01 False 
K00553.01 False 
K00554.01 False 
K00555.01 False 
K00555.02 False 
K00556.01 False 
K00557.01 False 
K00558.01 False 
K00560.01 False 
K00561.01 False 
K00563.01 False 
K00564.01 True 
K00564.02 True 
K00564.03 True 
K00565.01 False 
K00566.01 False 
K00566.02 False 
K00566.03 False 
K00567.01 False 
K00567.02 False 
K00567.03 False 
K00568.01 False 
K00568.02 False 
K00569.01 False 
K00569.02 False 
K00570.01 False 
K00571.01 False 
K00571.02 False 
K00571.03 False 
K00571.04 False 
K00571.05 False 
K00572.01 False 
K00572.02 False 
K00573.01 False 
K00573.02 False 
K00574.01 False 
K00574.02 False 
K00575.01 False 
K00576.01 False 
K00577.01 False 
K00577.02 False 
K00578.01 False 
K00579.01 False 
K00579.02 False 
K00580.01 False 
K00581.01 False 
K00581.02 False 
K00582.01 False 
K00582.02 False 
K00582.03 False 
K00583.01 False 
K00584.01 False 
K00584.02 False 
K00584.03 False 
K00585.01 False 
K00586.01 False 
K00587.01 False 
K00588.01 False 
K00590.01 False 
K00590.02 False 
K00591.01 False 
K00592.01 True 
K00593.01 False 
K00593.02 False 
K00593.03 False 
K00593.04 False 
K00596.01 False 
K00597.01 False 
K00597.02 False 
K00597.03 False 
K00598.01 True 
K00598.02 True 
K00599.01 False 
K00600.01 False 
K00601.01 False 
K00601.02 False 
K00601.03 False 
K00602.01 False 
K00603.01 False 
K00604.01 False 
K00605.01 False 
K00605.02 False 
K00606.01 False 
K00607.01 False 
K00608.01 False 
K00609.01 True 
K00610.01 False 
K00611.01 False 
K00612.01 False 
