,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00581.01,PROB,KIC 8822216,1.0,1.4e-101,1.573e-06,293.1713,10243.0,UKIRT 44117909936299,0.011,1.0,1.49e-08,1.3e-103,0.011,0.84,133.9343,45.0655,7.0,KIC,dr25,1.0,UKIRT,1.141e-05,45.0656,2315474.0,1309.0,293.1727,14.81,20.68
K00581.02,PROB,KIC 8822216,1.0,7.3e-06,1.125e-05,293.1713,1420.0,UKIRT 44117909936299,0.024,1.0,2.291e-07,5.9e-07,0.024,0.84,143.3098,45.0655,151.87,KIC,dr25,1.0,UKIRT,1.141e-05,45.0656,407346.0,737.0,293.1727,14.81,20.68
K00582.01,PROB,KIC 9020160,1.0,1.8e-12,1.409e-05,291.1834,6503.0,KIC 9020161,0.021,1.0,2.513e-07,4e-13,0.021,0.86,134.8026,45.3242,5.95,KIC,dr25,1.0,KIC,9.565e-06,45.3232,26719.0,792.0,291.1843,14.81,15.61
K00582.02,PROB,KIC 9020160,1.0,1.1e-08,2.714e-05,291.1834,4922.0,KIC 9020161,0.025,1.0,5.822e-07,1.8e-09,0.025,0.86,148.9888,45.3242,17.74,KIC,dr25,1.0,KIC,9.565e-06,45.3232,21326.0,623.0,291.1843,14.81,15.61
K00582.03,PROB,KIC 9020160,1.0,2.2e-05,6.548e-05,291.1834,2044.0,KIC 9020161,0.014,0.88,8.048e-07,3.7e-06,0.014,0.86,131.5848,45.3242,9.94,KIC,dr25,1.0,KIC,9.565e-06,45.3232,8593.0,301.0,291.1843,14.81,15.61
K00583.01,PROB,KIC 9076513,1.0,,5.168e-06,286.005,1600.0,,0.014,1.0,6.118e-08,,0.014,0.91,131.7472,,2.44,KIC,dr25,1.0,,6.291e-06,45.4804,,226.0,,14.57,
K00584.01,PROB,KIC 9146018,1.0,0.00024,4.816e-06,287.9179,5007.0,hiresKIC 22000628,0.022,1.0,9.151e-08,2.4e-05,0.022,0.9,135.9793,45.5925,9.93,KIC,dr25,1.0,hiresKIC,6.178e-06,45.5929,230326.0,718.0,287.9184,14.13,18.23
K00584.02,PROB,KIC 9146018,1.0,8.4e-10,5.103e-06,287.9179,4201.0,hiresKIC 22000628,0.018,1.0,8.135e-08,5.5e-10,0.018,0.9,149.1517,45.5925,21.22,KIC,dr25,1.0,hiresKIC,6.178e-06,45.5929,193200.0,591.0,287.9184,14.13,18.23
K00584.03,PROB,KIC 9146018,0.59,0.41,2.284e-05,287.9179,880.0,hiresKIC 22000628,0.018,0.95,5.608e-07,0.013,0.018,0.9,136.4998,45.5925,6.47,KIC,dr25,0.59,hiresKIC,6.178e-06,45.5929,40495.0,119.0,287.9184,14.13,18.23
K00585.01,PROB,KIC 9279669,1.0,,2.68e-06,291.3546,5507.0,,0.0091,1.0,2.118e-08,,0.0091,0.86,134.3384,,3.72,KIC,dr25,1.0,,9.79e-06,45.7479,,733.0,,14.91,
