,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00574.01,PROB,KIC 8355239,1.0,1e-100,8.101e-06,287.5647,7815.0,KIC 8355242,0.049,1.0,3.403e-07,4.3e-102,0.049,0.89,151.2319,44.3046,20.13,KIC,dr25,1.0,KIC,7.838e-06,44.305,314028.0,1036.0,287.5663,14.86,18.26
K00574.02,PROB,KIC 8355239,1.0,1.6e-20,2.058e-05,287.5647,2080.0,KIC 8355242,0.028,0.99,5.028e-07,3.8e-20,0.028,0.89,141.5117,44.3046,10.4,KIC,dr25,1.0,KIC,7.838e-06,44.305,87534.0,262.0,287.5663,14.86,18.26
K00575.01,PROB,KIC 8367113,1.0,,1.044e-05,292.4274,4590.0,,0.014,1.0,1.226e-07,,0.014,0.84,134.7758,,24.32,KIC,dr25,1.0,,1.074e-05,44.3813,,636.0,,14.69,
K00576.01,MATCH,,,,,,,,0.0,1.0,,,,0.94,,,,,dr25,0.0,,,,,,,,
K00577.01,PROB,KIC 8558011,1.0,9.2e-34,2.021e-05,291.0572,4404.0,KIC 8558021,0.076,1.0,1.323e-06,1.6e-33,0.076,0.86,138.8838,44.6328,39.68,KIC,dr25,1.0,KIC,8.702e-06,44.6324,298939.0,629.0,291.0594,14.4,17.98
K00577.02,PROB,KIC 8558011,1.0,1.3e-56,1.263e-05,291.0572,823.0,KIC 8558020,0.021,1.0,2.257e-07,3.8e-56,0.021,0.86,131.7467,44.6323,0.64,KIC,dr25,1.0,KIC,8.702e-06,44.6324,39582.0,99.0,291.0593,14.4,17.91
K00578.01,PROB,KIC 8565266,1.0,2.1e-78,1.934e-06,293.8829,9312.0,UKIRT 44117909830194,0.012,1.0,1.989e-08,2.4e-78,0.012,0.82,137.8176,44.6377,6.41,KIC,dr25,1.0,UKIRT,1.199e-05,44.6381,1825904.0,1143.0,293.8819,14.68,20.4
K00579.01,PROB,KIC 8616637,1.0,,3.667e-06,288.584,2428.0,,0.015,1.0,4.86e-08,,0.015,0.89,131.6903,,2.02,KIC,dr25,1.0,,6.696e-06,44.7338,,316.0,,14.14,
K00579.02,PROB,KIC 8616637,1.0,,7.595e-06,288.584,2929.0,,0.022,1.0,1.43e-07,,0.022,0.89,132.593,,3.76,KIC,dr25,1.0,,6.696e-06,44.7338,,332.0,,14.14,
K00580.01,PROB,KIC 8625925,1.0,,2.457e-06,292.2203,5861.0,,0.018,1.0,3.904e-08,,0.018,0.84,136.584,,6.52,KIC,dr25,1.0,,1.092e-05,44.7,,760.0,,14.86,
