,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K03591.01,0.00150554530542,2.46702700071e-06,2.66752181648e-07,0.0,0.00734908157527,9.1266946676e-05,9.69134556648e-05,1.87034787317e-05,0.0,3.30657593962e-05,2.28569887277e-19,1.70753233254,0.0135421153772,0.00292914648263,0.0,0.290916177313,0.261532747047,0.022750170329,0.252776519875,0.0,0.262433060248,4.50560145202e-05,3.60120432783e-06,0.0,0.00236643191324,0.0012942372271,0.00121037867812,0.000214564344403,0.0,0.00132094242452
K03592.01,0.174104342916,4.75612312358e-06,1.07196975052e-19,0.0,9.39162185733e-05,2.68356192613e-15,0.0,4.93996443651e-57,0.0,4.95871847244e-06,2.28569887277e-19,0.613355624595,0.0135980061855,4.33992337425e-16,0.0,0.00297595618434,1.79059201586e-11,0.0,4.40523606525e-52,0.0,0.0556053554575,0.0481318680812,9.28848202061e-16,0.0,0.20033072655,1.64545056526e-11,0.0,1.31674129061e-53,0.0,0.174144232686
K03593.01,0.00176698110409,5.26897777246e-10,2.49235858311e-28,0.0,8.68283107952e-05,1.90410098063e-11,6.0415229868e-06,4.09015648845e-16,0.0,8.86002257333e-07,2.28569887277e-19,0.542955901627,4.91306811699e-06,5.02754361935e-24,0.0,0.0171580884716,1.05295934289e-07,0.00625033332444,8.84025981519e-11,0.0,0.0356682242651,4.0497349831e-07,1.98411352901e-25,0.0,0.0135219985374,1.63688490059e-08,0.012163698268,3.28078711592e-13,0.0,0.0016412732185
K03594.01,0.0110860272415,1.92914748011e-06,2.53830569477e-18,0.0,0.000259392452559,8.16699777969e-12,6.73845514772e-05,4.26782132814e-12,0.0,1.21696343413e-05,2.28569887277e-19,0.242386284907,0.00104642247682,2.53703980094e-15,0.0,0.0315601718063,2.60056074596e-08,0.039253717446,5.68187459285e-08,0.0,0.200690474778,0.000739631807801,1.20044675577e-15,0.0,0.0349140213795,3.91936749296e-09,0.0306683260421,1.93276791732e-09,0.0,0.0110981279703
K03595.01,0.00758360805363,2.37534829259e-07,5.67358109917e-19,0.0,0.000129876009246,1.50729902692e-10,1.37602487058e-05,1.27250583932e-12,0.0,4.20185144378e-06,9.14279549109e-19,0.968951896524,0.003052913743,2.26688210741e-14,0.0,0.0315821679644,2.34415094556e-06,0.0155263217365,1.03801305922e-07,0.0,0.0392286743198,0.000159482627406,3.59702977623e-16,0.0,0.0217960241023,1.00424111364e-07,0.0152752523165,8.53908660221e-10,0.0,0.00754147789819
K03596.01,0.00170293863659,0.000246172929282,1.22835745793e-05,0.0,0.0017757940321,9.67138390649e-05,0.000353341194881,1.58319087078e-05,0.0,3.91719854545e-05,2.28569887277e-19,0.206139111605,0.0144071741388,0.00141123844745,0.0,0.111135552867,0.106407236596,0.0860209276862,0.0773475389252,0.0,0.394405318873,0.00591759147702,0.000287374229302,0.0,0.00843339920923,0.00193603403322,0.00655761643689,0.000410998634764,0.0,0.00161644328354
K03597.01,0.000421637021356,1.57848181632e-05,3.23133265669e-27,0.0,0.0113646625799,8.1299643979e-06,0.00465856439499,7.20684339053e-08,0.0,0.000141378137552,2.28569887277e-19,0.586988548062,0.0121504315881,5.61347119388e-24,0.0,0.264996855327,0.00890244435846,0.540679613491,0.000476092316095,0.0,0.395671019353,3.72973710125e-05,7.37702452258e-27,0.0,0.00966609193694,1.79954439913e-05,0.00932380465976,1.63902701574e-07,0.0,0.000392145097863
K03598.01,0.00457529598314,0.000170948335275,1.47491357562e-05,0.0,0.000508882217326,2.3879002864e-05,0.000132406948458,8.57092656731e-05,0.0,2.2124897991e-05,2.28569887277e-19,0.226264348839,0.00759019835782,0.0012232277929,0.0,0.0282968392424,0.0311440095899,0.0394156779298,0.408319373911,0.0,0.356270808359,0.0187275791875,0.00150484999622,0.0,0.0231432735608,0.00278077447246,0.0141076063014,0.00843785122726,0.0,0.00441136159378
K03599.01,0.000316227766017,7.17994893204e-06,3.61644085317e-07,0.0,0.0174801474695,0.000151725644577,0.00211935524787,0.000277810886916,0.0,5.09465951321e-05,2.28569887277e-19,6.41612551831,0.0253543772245,0.00213005581565,0.0,1.07991769234,0.179888979343,0.973881124391,1.05456678836,0.0,0.537897140105,1.23074909439e-05,5.1813920266e-07,0.0,0.00374759181935,0.000237270801687,0.00369738646434,0.000378771405702,0.0,8.54075198355e-05
K03600.01,0.0215159269173,1.06182539917e-18,5.61929570617e-21,0.0,4.2459516316e-09,1.06657082903e-05,7.71542699618e-24,3.90833354655e-07,0.0,1.86157042425e-05,2.28569887277e-19,0.00493333333333,7.4574924157e-17,3.9430105142e-19,0.0,6.12559638494e-07,0.022377329798,5.32926534962e-21,0.00323402632436,0.0,0.101456066025,2.31419613468e-15,1.19740685024e-17,0.0,9.44446149809e-06,0.021565355447,1.79113312676e-20,0.000860020316297,0.0,0.0214996123996
K03603.01,0.0233264961649,2.13400901802e-08,5.16536426703e-10,0.0,4.33028997821e-25,1.54272428645e-06,3.18878296832e-79,4.20812071645e-07,0.0,1.32017843912e-05,2.28569887277e-19,0.0050111060489,3.58607698752e-05,1.27193857294e-06,0.0,6.29742004634e-23,0.00341139679911,2.29663958276e-76,0.00484963809127,0.0,0.110378389592,0.000399443363856,9.77971063478e-06,0.0,5.67374184804e-21,0.0223971514263,5.35323878065e-75,0.00573064013114,0.0,0.0233247603298
K03604.01,0.0112822377607,6.45132672746e-09,1.11836588805e-27,0.0,0.000906926433376,3.61349768999e-12,1.12265682445e-15,9.87897729878e-20,0.0,7.74054261664e-06,2.28569887277e-19,1.66029448526,1.6807956317e-05,4.68579378565e-24,0.0,0.0526316434181,1.7769492083e-08,4.53991962708e-13,2.17945249576e-15,0.0,0.0599496084687,3.33126846044e-06,4.40653950246e-25,0.0,0.0112822377607,2.03105630974e-09,4.23370811334e-13,4.25402679546e-17,0.0,0.0112159806625
K03605.01,2.34055564572e-16,1.46211414663e-06,7.94309382839e-09,0.0,0.000552167446423,3.69103659032e-06,6.37791327769e-05,1.39096489292e-06,0.0,1.42984070597e-06,2.28569887277e-19,1.8392329319,0.00752769700654,5.24677307812e-05,0.0,0.424787528589,0.121803530327,0.175818719772,0.170654166209,0.0,0.0932380465976,8.1697001169e-05,4.13702657043e-07,0.0,0.00462361090251,0.000192485064356,0.00431534728872,7.06355277306e-05,0.0,0.00014820781206
K03606.01,0.0450155528679,1.02249373812e-12,3.90085514273e-06,0.0,2.8729690411e-06,0.000733136337177,8.91846125243e-10,7.30171973655e-05,0.0,0.000267913750632,2.28569887277e-19,0.0252104475697,6.00913642226e-11,0.000373839709003,0.0,0.000397821973026,0.381064299036,3.58215158808e-07,0.270530938876,0.0,0.762233560006,8.11242076368e-11,0.000316428239871,0.0,0.000250700263706,0.0467052221682,7.78430793327e-08,0.00632574984576,0.0,0.0450155528679
K03607.01,0.472334813746,1.34308270824e-09,2.61761999619e-07,0.0,5.71634720648e-59,0.00133550027071,3.54698207652e-89,3.41005174448e-11,0.0,0.000102608689799,2.28569887277e-19,1.14270004776,1.24622129599e-06,0.000518141507913,0.0,3.83982764623e-57,0.924269769023,1.18920534479e-86,7.58963843451e-08,0.0,0.297022427137,4.02603078765e-06,0.00198791041336,0.0,1.43736701817e-55,0.474919218481,2.45769973964e-85,1.06439588923e-07,0.00145053063471,0.472397432607
K03608.01,0.0,6.39753424723e-08,3.86136733986e-10,0.0,0.000118490505949,8.87924546344e-07,6.53537383101e-05,2.82782228736e-07,0.0,7.04035983929e-07,2.28569887277e-19,3.43472463719,0.00417260909584,2.08258047464e-05,0.0,0.0567744073799,0.0173128853748,0.167478025093,0.0314140520574,0.0,0.0496655480858,7.78449313272e-06,4.56222904705e-08,0.0,0.00666749994792,0.000104558383478,0.00691536132261,3.28107367251e-05,0.0,8.0443216688e-05
K03609.01,0.0864233121842,1.38666628205e-28,1.7246726026e-05,0.0,6.53225716977e-57,2.37985499614e-05,3.53828268622e-74,4.35597725856e-16,5.5803195136e-23,4.25234605182e-06,2.28569887277e-19,2.5612540353,1.47019425776e-26,0.00233106745369,0.0,1.17696320017e-54,0.0155876316357,3.01079368527e-71,1.42934397774e-12,1.82855909822e-18,0.0246969741961,3.73314439403e-24,0.238860288129,0.0,9.39851811809e-53,0.294876269888,5.08333041001e-70,7.25647719639e-12,0.0032178124039,0.086331663433
K03610.01,0.00885688683706,5.26840688549e-05,2.91724070542e-07,0.0,0.000618233010729,0.000297949082153,2.07635539668e-17,5.72941726725e-05,0.0,1.05746026981e-05,2.28569887277e-19,1.09872855813,0.0800347146903,0.000730456790113,0.0,0.0539449142902,0.725245161614,1.03229109267e-14,0.527519351936,0.0,0.0857150317428,0.05589881732,9.9169901908e-05,0.0,0.0895931545004,0.0548310536507,7.72744172127e-15,0.0208250810323,0.0,0.00896338849617
K03612.01,0.0,1.74167862835e-05,1.99346264909e-06,0.0,0.00270801280155,1.96646654632e-05,0.00100221975856,7.84899144264e-05,0.0,1.60972737512e-05,2.28569887277e-19,4.28091371348,0.013059266612,0.00287069484426,0.0,0.152388392675,0.0457108414201,0.336544532302,0.759839164268,0.0,0.299510712107,8.2657257529e-05,8.8353834099e-06,0.0,0.00474224513167,8.86522868101e-05,0.00467736868098,0.000338954274202,0.0,7.93305321634e-05
K03613.01,0.0674626645717,5.70945609396e-07,1.74188466259e-07,0.0,7.21718910696e-05,3.01080443293e-05,3.49602088608e-18,5.15221973846e-07,0.0,3.85010880077e-06,2.28569887277e-19,2.76203195935,0.000945955718954,0.000356805805259,0.0,0.0152323783971,0.0362265341673,3.45029609759e-15,0.00280731001336,0.0,0.0271154322604,0.0161259616767,0.00269883971777,0.0,0.352606386722,0.301062917197,5.05229676438e-14,0.00579763679442,0.0,0.0674681496873
K03614.01,0.00103579117179,6.52637077981e-06,5.70544195268e-16,0.0,0.00012423457212,6.00933791228e-33,2.36649474681e-36,8.65295505398e-25,0.0,0.0014944341181,0.0,0.0027260488318,0.0304024871059,5.25751808998e-12,0.0,0.0147789799968,1.1153690116e-29,1.3907055256e-33,3.54685207493e-21,0.0,0.967470929796,5.50120229283e-05,4.81057322639e-15,0.0,0.00104707318202,5.09054139944e-32,2.01601919178e-35,7.30609481655e-24,0.0,0.00110050493461
K03615.01,0.0,1.66261419327e-14,3.89551893562e-06,0.0,6.08073652337e-16,3.75559079536e-07,2.79840684059e-20,2.79312568838e-09,0.0,4.50882209304e-11,2.28569887277e-19,21686.5197505,7.92370589224e-11,0.0177561914084,0.0,1.18724684319e-13,0.000449631009211,2.51469056404e-17,1.28548477669e-05,0.0,3.53887003309e-07,4.46356546821e-09,0.0536200625803,0.0,1.63432997144e-10,0.0531996459888,2.54090937571e-15,0.000958002603801,0.0,6.40264667497e-06
K03616.01,0.00108012344973,1.38572540209e-25,1.33693837704e-05,0.0,1.12161213639e-64,0.000331497363983,6.04395555383e-45,3.22028311385e-08,1.11606390272e-22,2.05478402217e-08,2.28569887277e-19,13799.5030014,1.37642801288e-24,0.000164819084332,0.0,5.64084091638e-62,0.142879518115,9.2044623201e-42,4.82181166967e-05,0.0,4.47906667981e-05,2.76739919039e-21,0.357106849329,0.0,2.89427245222e-61,0.380454065559,6.12885869725e-41,0.0056265276336,0.0193508100273,0.0011206907604
K03617.01,0.0253564666026,3.59652974833e-10,1.36588992967e-09,0.0,2.20307419639e-08,0.000118498272417,1.72902043237e-34,1.15707825788e-19,0.0,0.000144225903052,2.28569887277e-19,0.00533947136285,2.12622570174e-07,1.93331294518e-06,0.0,2.1482557003e-07,0.140471755934,1.81863852923e-32,1.15183718844e-15,0.0,0.368781778292,7.71816087773e-08,3.08637206242e-07,0.0,5.05321367867e-06,0.0253607771212,3.94082294846e-32,2.50529816373e-17,0.0,0.0250989154259
K03618.01,0.0077952977279,1.05225472201e-06,4.87123552773e-09,0.0,0.000704336567274,1.07929658291e-09,9.44276613192e-14,1.70495908408e-14,0.0,2.07495649218e-05,2.28569887277e-19,0.258862898075,0.00673468633271,7.92474898025e-05,0.0,0.0303990131419,1.63569869543e-06,4.98483355345e-11,2.12230389311e-10,0.0,0.272863417197,0.00015877041426,6.97720703434e-07,0.0,0.00795892231677,1.47579855596e-07,1.1334994192e-11,2.00772649905e-12,0.0,0.00786896152968
K03619.01,0.225337894431,3.66802368501e-77,1.32255243122e-27,0.0,9.23965061858e-115,4.49811021186e-21,2.214392029e-138,9.48984129647e-35,5.5803195136e-23,1.18276088708e-06,7.31423639287e-18,11.8578707293,9.64437943155e-74,7.57916947957e-24,0.0,9.86013536018e-113,2.31132410179e-17,9.40137007205e-136,2.78358800721e-30,1.82855909822e-18,0.000166658680142,2.44116766434e-71,1.29806680619e-21,0.0,2.85129171421e-109,2.32530714323e-15,6.13918632177e-133,9.135038109e-29,0.225337894431,0.225337894431
K03620.01,0.0,1.55795449941e-06,3.52081177508e-08,0.0,0.00243255695377,8.61240062029e-06,0.000317804971641,5.73314922185e-06,0.0,3.77712412646e-06,2.28569887277e-19,5.47722557505,0.0233419031881,0.00102900774212,0.0,0.494974746831,0.0597387832335,0.394546152771,0.199042150757,0.0,0.126178885362,2.25151800644e-05,4.47415404791e-07,0.0,0.00611101010018,0.000100093067803,0.00627251500153,6.40143213143e-05,0.0,7.18331399843e-05
K03621.01,0.0,1.28960803692e-06,3.49795178164e-06,0.0,4.4762831804e-12,0.00478887599895,1.09587307152e-16,0.00123450394896,0.0,2.01395134003e-05,2.28569887277e-19,4.91696609258,0.00489802681359,0.0123845782237,0.0,1.12853161232e-09,0.323865541373,1.03904090926e-13,0.309666487262,0.0,0.210873843275,6.29687753308e-06,1.84827246669e-05,0.0,2.19924229376e-11,0.00464758001545,5.03558523135e-16,0.00478887599895,0.0,0.000117572672562
K03622.01,0.0,1.87408525835e-06,1.58772933602e-06,0.0,0.000142657320566,0.000105430335082,2.00584811655e-07,6.67812348893e-06,0.0,1.57776212825e-09,2.28569887277e-19,1631.93817966,0.00698922980974,0.00841374807483,0.0,0.00782122468387,0.0580229839518,6.63224446674e-05,0.0210535850734,0.0,6.88072993544e-06,0.000433052473084,0.000428246087094,0.0,0.0214582281551,0.0217002304135,5.4194710689e-05,0.00185678934364,0.0,6.43252153773e-07
K03623.01,0.00787400787401,2.43903532843e-05,3.15524191008e-06,0.0,6.01106322897e-24,0.00502377679971,2.37911827972e-25,0.000594265185848,0.0,0.00014122641396,2.28569887277e-19,1.34540534991,0.0684670236927,0.0168815997465,0.0,4.60670158376e-22,2.3843305606,7.91264011285e-23,0.922774198936,0.0,0.533988139694,0.00123338558448,0.000139163296965,0.0,2.13409614994e-22,0.0325079477462,1.37463330124e-23,0.0266982001058,0.0,0.00807531217147
